------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Anderson County",20003,8.9,184,"1136 of 3141"
"Brown County",20013,9.0,240,"1149 of 3141"
"Stafford County",20185,9.1,112,"1165 of 3141"
"Kearny County",20093,9.2,83,"1179 of 3141"
"Graham County",20065,9.3,68,"1198 of 3141"
"Osborne County",20141,9.3,91,"1208 of 3141"
"Barber County",20007,10.1,121,"1434 of 3141"
"Meade County",20119,10.4,125,"1501 of 3141"
"Haskell County",20081,10.6,106,"1545 of 3141"
"Harper County",20077,10.7,163,"1583 of 3141"
"Sedgwick County",20173,10.8,13528,"1598 of 3141"
"Woodson County",20207,11.0,95,"1667 of 3141"
"Cowley County",20035,11.1,1006,"1688 of 3141"
"Wilson County",20205,11.2,273,"1704 of 3141"
"Elk County",20049,11.4,84,"1755 of 3141"
"Barton County",20009,11.4,852,"1768 of 3141"
"Sherman County",20181,11.7,207,"1832 of 3141"
"Bourbon County",20011,11.8,446,"1845 of 3141"
"Doniphan County",20043,12.0,248,"1879 of 3141"
"Cherokee County",20021,12.1,662,"1909 of 3141"
"Lyon County",20111,12.1,988,"1920 of 3141"
"Chautauqua County",20019,12.2,107,"1929 of 3141"
"Ford County",20057,12.4,1024,"1969 of 3141"
"Montgomery County",20125,12.6,1113,"2005 of 3141"
"Labette County",20099,12.7,710,"2048 of 3141"
"Finney County",20055,12.9,1200,"2078 of 3141"
"Linn County",20107,12.9,374,"2092 of 3141"
"Geary County",20061,13.1,1229,"2119 of 3141"
"Crawford County",20037,13.4,1191,"2170 of 3141"
"Rice County",20159,13.4,352,"2175 of 3141"
"Atchison County",20005,13.5,499,"2204 of 3141"
"Seward County",20175,13.8,756,"2258 of 3141"
"Decatur County",20039,13.9,107,"2271 of 3141"
"Stevens County",20189,13.9,200,"2275 of 3141"
"Neosho County",20133,16.2,706,"2588 of 3141"
"Wyandotte County",20209,17.3,6542,"2710 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
