------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Gove County",20063,1.9,49,"2007 of 3140"
"Mitchell County",20123,1.9,116,"2005 of 3140"
"Harper County",20077,1.9,107,"2003 of 3140"
"Trego County",20195,1.9,54,"2002 of 3140"
"Logan County",20109,1.9,54,"1963 of 3140"
"Bourbon County",20011,2.1,316,"1843 of 3140"
"Clay County",20027,2.2,178,"1825 of 3140"
"Cheyenne County",20023,2.2,60,"1783 of 3140"
"Dickinson County",20041,2.3,437,"1753 of 3140"
"Cloud County",20029,2.3,213,"1738 of 3140"
"Neosho County",20133,2.4,382,"1729 of 3140"
"Butler County",20015,2.4,1580,"1721 of 3140"
"Norton County",20137,2.5,136,"1691 of 3140"
"Pottawatomie County",20149,2.5,573,"1686 of 3140"
"Washington County",20201,2.6,147,"1604 of 3140"
"Reno County",20155,2.7,1700,"1575 of 3140"
"Ellis County",20051,3.0,863,"1426 of 3140"
"Leavenworth County",20103,3.0,2419,"1400 of 3140"
"Wallace County",20199,3.1,50,"1377 of 3140"
"Sherman County",20181,3.2,192,"1350 of 3140"
"Pratt County",20151,3.2,312,"1345 of 3140"
"Sheridan County",20179,3.2,81,"1340 of 3140"
"Pawnee County",20145,3.4,229,"1300 of 3140"
"Rawlins County",20153,3.4,86,"1287 of 3140"
"Cowley County",20035,3.5,1250,"1255 of 3140"
"Montgomery County",20125,3.5,1171,"1253 of 3140"
"Thomas County",20193,3.6,279,"1242 of 3140"
"Rice County",20159,3.7,364,"1205 of 3140"
"Clark County",20025,3.7,78,"1194 of 3140"
"Crawford County",20037,3.9,1514,"1156 of 3140"
"Harvey County",20079,4.2,1450,"1069 of 3140"
"Shawnee County",20177,4.3,7645,"1043 of 3140"
"Comanche County",20033,4.3,75,"1038 of 3140"
"Hodgeman County",20083,4.8,90,"950 of 3140"
"Kiowa County",20097,5.1,129,"897 of 3140"
"Barton County",20009,5.5,1502,"823 of 3140"
"Stafford County",20185,5.7,241,"793 of 3140"
"Saline County",20169,5.8,3213,"772 of 3140"
"Ness County",20135,6.2,187,"714 of 3140"
"Douglas County",20045,6.4,7594,"681 of 3140"
"Greeley County",20071,7.4,90,"560 of 3140"
"Scott County",20171,7.6,377,"549 of 3140"
"Geary County",20061,7.9,2812,"523 of 3140"
"Riley County",20161,8.3,6245,"484 of 3140"
"Sedgwick County",20173,8.5,43622,"462 of 3140"
"Johnson County",20091,8.6,49571,"458 of 3140"
"Lyon County",20111,9.5,3176,"376 of 3140"
"Meade County",20119,10.2,436,"347 of 3140"
"Kearny County",20093,10.2,400,"345 of 3140"
"Gray County",20069,10.3,618,"335 of 3140"
"Morton County",20129,10.9,319,"291 of 3140"
"Edwards County",20047,11.1,326,"284 of 3140"
"Wichita County",20203,13.1,282,"223 of 3140"
"Stanton County",20187,14.0,294,"202 of 3140"
"Wyandotte County",20209,15.7,25658,"174 of 3140"
"Grant County",20067,16.2,1247,"164 of 3140"
"Stevens County",20189,16.5,948,"155 of 3140"
"Hamilton County",20075,17.8,467,"139 of 3140"
"Haskell County",20081,19.8,806,"113 of 3140"
"Finney County",20055,21.5,7981,"93 of 3140"
"Ford County",20057,27.9,9667,"39 of 3140"
"Seward County",20175,29.9,6865,"29 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
