------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Graham County",20065,5.8,146,"1306 of 3140"
"Hodgeman County",20083,5.8,109,"1339 of 3140"
"Jackson County",20085,5.9,770,"1350 of 3140"
"Morris County",20127,5.9,326,"1364 of 3140"
"Sumner County",20191,5.9,1361,"1388 of 3140"
"Gray County",20069,6.0,354,"1417 of 3140"
"Logan County",20109,6.0,164,"1419 of 3140"
"Woodson County",20207,6.0,188,"1427 of 3140"
"Russell County",20167,6.1,421,"1493 of 3140"
"Pratt County",20151,6.1,586,"1500 of 3140"
"Meade County",20119,6.2,262,"1532 of 3140"
"Thomas County",20193,6.3,487,"1567 of 3140"
"Greenwood County",20073,6.3,389,"1597 of 3140"
"Chase County",20017,6.4,170,"1642 of 3140"
"Coffey County",20031,6.5,534,"1674 of 3140"
"Rooks County",20163,6.6,337,"1725 of 3140"
"Grant County",20067,7.0,536,"1852 of 3140"
"Wichita County",20203,7.3,156,"1999 of 3140"
"Cherokee County",20021,7.3,1492,"2019 of 3140"
"Trego County",20195,7.4,213,"2031 of 3140"
"Rice County",20159,7.4,722,"2049 of 3140"
"Butler County",20015,7.4,4850,"2051 of 3140"
"Neosho County",20133,7.6,1204,"2112 of 3140"
"Harvey County",20079,7.6,2611,"2140 of 3140"
"Leavenworth County",20103,7.8,6079,"2188 of 3140"
"Atchison County",20005,8.0,1299,"2272 of 3140"
"Labette County",20099,8.0,1626,"2279 of 3140"
"McPherson County",20113,8.1,2307,"2298 of 3140"
"Wyandotte County",20209,8.3,13276,"2349 of 3140"
"Norton County",20137,8.6,472,"2445 of 3140"
"Finney County",20055,8.7,3159,"2460 of 3140"
"Geary County",20061,8.9,3110,"2543 of 3140"
"Allen County",20001,9.0,1130,"2552 of 3140"
"Marshall County",20117,9.0,879,"2565 of 3140"
"Ford County",20057,9.2,3144,"2610 of 3140"
"Saline County",20169,9.2,5021,"2621 of 3140"
"Montgomery County",20125,9.4,3115,"2671 of 3140"
"Greeley County",20071,9.5,114,"2685 of 3140"
"Johnson County",20091,9.5,54482,"2689 of 3140"
"Reno County",20155,9.6,6033,"2707 of 3140"
"Scott County",20171,9.7,478,"2727 of 3140"
"Cowley County",20035,9.8,3448,"2742 of 3140"
"Shawnee County",20177,10.0,17716,"2791 of 3140"
"Wilson County",20205,10.2,891,"2817 of 3140"
"Seward County",20175,10.8,2443,"2904 of 3140"
"Hamilton County",20075,10.9,282,"2923 of 3140"
"Cloud County",20029,10.9,988,"2926 of 3140"
"Sedgwick County",20173,11.0,55132,"2933 of 3140"
"Pawnee County",20145,11.0,744,"2943 of 3140"
"Crawford County",20037,11.2,4303,"2952 of 3140"
"Barton County",20009,11.3,3027,"2972 of 3140"
"Riley County",20161,11.3,8434,"2972 of 3140"
"Sherman County",20181,12.9,765,"3084 of 3140"
"Bourbon County",20011,13.6,1977,"3103 of 3140"
"Ellis County",20051,13.6,3900,"3104 of 3140"
"Douglas County",20045,14.4,16756,"3117 of 3140"
"Lyon County",20111,15.0,4931,"3123 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
