------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Graham County",20065,91.6,2347,"1371 of 3141"
"Rice County",20159,91.8,9055,"1356 of 3141"
"Sherman County",20181,92.0,5522,"1315 of 3141"
"Doniphan County",20043,92.1,7174,"1307 of 3141"
"Reno County",20155,92.2,58394,"1296 of 3141"
"Barton County",20009,92.7,25091,"1230 of 3141"
"Bourbon County",20011,92.7,13687,"1220 of 3141"
"Franklin County",20059,92.9,23769,"1210 of 3141"
"Butler County",20015,93.4,61854,"1122 of 3141"
"Elk County",20049,93.5,2414,"1098 of 3141"
"Harvey County",20079,93.5,32441,"1096 of 3141"
"Cheyenne County",20023,93.5,2504,"1094 of 3141"
"Allen County",20001,93.6,11938,"1076 of 3141"
"Clark County",20025,93.7,1958,"1057 of 3141"
"Woodson County",20207,93.7,2979,"1055 of 3141"
"Thomas County",20193,94.1,7381,"1005 of 3141"
"Edwards County",20047,94.3,2777,"974 of 3141"
"Pottawatomie County",20149,94.3,21859,"973 of 3141"
"Wilson County",20205,94.4,8363,"943 of 3141"
"Kiowa County",20097,94.5,2384,"939 of 3141"
"Sumner County",20191,94.5,22042,"938 of 3141"
"Dickinson County",20041,94.5,18107,"928 of 3141"
"Scott County",20171,94.6,4713,"897 of 3141"
"Neosho County",20133,94.6,15341,"893 of 3141"
"Chase County",20017,94.7,2524,"881 of 3141"
"Ellis County",20051,94.7,27354,"876 of 3141"
"McPherson County",20113,94.8,27306,"858 of 3141"
"Cloud County",20029,95.0,8731,"826 of 3141"
"Greenwood County",20073,95.4,5940,"764 of 3141"
"Russell County",20167,95.4,6665,"763 of 3141"
"Trego County",20195,95.5,2768,"741 of 3141"
"Barber County",20007,95.5,4684,"736 of 3141"
"Marion County",20115,95.5,11547,"725 of 3141"
"Hodgeman County",20083,95.6,1793,"705 of 3141"
"Anderson County",20003,95.6,7498,"701 of 3141"
"Stafford County",20185,95.7,4067,"693 of 3141"
"Logan County",20109,95.7,2670,"684 of 3141"
"Miami County",20121,95.7,31562,"680 of 3141"
"Jefferson County",20087,95.8,18069,"654 of 3141"
"Coffey County",20031,95.9,7986,"634 of 3141"
"Morris County",20127,95.9,5376,"628 of 3141"
"Wabaunsee County",20197,96.0,6638,"614 of 3141"
"Linn County",20107,96.1,9227,"582 of 3141"
"Ottawa County",20143,96.1,5727,"577 of 3141"
"Osage County",20139,96.2,15295,"545 of 3141"
"Osborne County",20141,96.3,3548,"523 of 3141"
"Harper County",20077,96.4,5537,"509 of 3141"
"Smith County",20183,96.5,3564,"480 of 3141"
"Rawlins County",20153,96.5,2433,"466 of 3141"
"Rooks County",20163,96.6,4973,"445 of 3141"
"Washington County",20201,96.7,5386,"425 of 3141"
"Clay County",20027,96.7,7932,"414 of 3141"
"Decatur County",20039,96.8,2798,"386 of 3141"
"Wallace County",20199,96.8,1540,"382 of 3141"
"Kingman County",20095,96.8,7334,"379 of 3141"
"Rush County",20165,96.8,3020,"373 of 3141"
"Marshall County",20117,96.8,9547,"371 of 3141"
"Lane County",20101,96.9,1649,"357 of 3141"
"Phillips County",20147,97.0,5282,"329 of 3141"
"Gove County",20063,97.0,2553,"325 of 3141"
"Nemaha County",20131,97.1,9804,"290 of 3141"
"Mitchell County",20123,97.4,6067,"222 of 3141"
"Pratt County",20151,97.4,9421,"211 of 3141"
"Jewell County",20089,97.5,2888,"200 of 3141"
"Sheridan County",20179,97.5,2435,"190 of 3141"
"Republic County",20157,97.8,4601,"134 of 3141"
"Ness County",20135,97.9,2939,"108 of 3141"
"Gray County",20069,98.6,5922,"42 of 3141"
"Lincoln County",20105,98.7,3080,"37 of 3141"
"Comanche County",20033,98.9,1721,"32 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
