------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Russell County",20167,97.2,6794,"1988 of 3141"
"Ottawa County",20143,97.3,5794,"2000 of 3141"
"Doniphan County",20043,97.3,7577,"2002 of 3141"
"Gove County",20063,97.3,2562,"2046 of 3141"
"Decatur County",20039,97.4,2816,"2070 of 3141"
"Linn County",20107,97.4,9355,"2079 of 3141"
"Coffey County",20031,97.5,8117,"2101 of 3141"
"Rooks County",20163,97.5,5019,"2116 of 3141"
"Jefferson County",20087,97.5,18386,"2122 of 3141"
"Bourbon County",20011,97.5,14391,"2129 of 3141"
"Jewell County",20089,97.6,2891,"2147 of 3141"
"Clay County",20027,97.6,8004,"2150 of 3141"
"Cherokee County",20021,97.6,20009,"2163 of 3141"
"Marshall County",20117,97.6,9627,"2184 of 3141"
"Mitchell County",20123,97.8,6091,"2249 of 3141"
"Osborne County",20141,98.0,3611,"2395 of 3141"
"Smith County",20183,98.1,3623,"2437 of 3141"
"Nemaha County",20131,98.2,9918,"2522 of 3141"
"Republic County",20157,98.4,4629,"2599 of 3141"
"Trego County",20195,98.8,2863,"2844 of 3141"
"Woodson County",20207,99.2,3152,"2992 of 3141"
"Anderson County",20003,99.3,7782,"3011 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
