------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Anderson County",20003,28.7,2221,"1982 of 3141"
"Cloud County",20029,28.9,2525,"2000 of 3141"
"Wilson County",20205,29.7,2553,"2094 of 3141"
"Jewell County",20089,29.8,864,"2108 of 3141"
"Finney County",20055,30.1,10997,"2154 of 3141"
"Lyon County",20111,30.9,9798,"2243 of 3141"
"Riley County",20161,31.0,20433,"2250 of 3141"
"Ford County",20057,31.0,10496,"2251 of 3141"
"Seward County",20175,32.1,7201,"2371 of 3141"
"Woodson County",20207,32.2,1004,"2383 of 3141"
"Neosho County",20133,32.7,5131,"2426 of 3141"
"Crawford County",20037,33.9,12638,"2541 of 3141"
"Wyandotte County",20209,34.5,55792,"2595 of 3141"
"Bourbon County",20011,35.4,5048,"2660 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
