------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Beauregard Parish(7,8)",22011,No,42.5 ,34, 52.7,18,stable,-2.0 ,-4.4, 0.5
"Tangipahoa Parish(7,8)",22105,No,42.1 ,37.2, 47.4,57,falling,-2.8 ,-4.1, -1.6
"West Feliciana Parish(7,8)",22125,No,41.9 ,29.2, 58.6,8,stable,-2.3 ,-6.5, 2.0
"Orleans Parish(7,8)",22071,No,41.5 ,38.7, 44.5,169,falling,-2.7 ,-3.4, -2.0
"Grant Parish(7,8)",22043,No,41.2 ,30.6, 54.5,10,stable,-1.3 ,-4.8, 2.3
"Bossier Parish(7,8)",22015,No,40.7 ,35.9, 46,53,falling,-2.8 ,-4.4, -1.1
"East Baton Rouge Parish(7,8)",22033,No,40.7 ,38, 43.4,184,falling,-3.1 ,-3.9, -2.4
"Jefferson Parish(7,8)",22051,No,40.4 ,37.9, 43,213,stable,1.2 ,-3.1, 5.7
"Union Parish(7,8)",22111,No,40.2 ,30.4, 52.4,12,stable,0.0 ,-4.6, 4.9
"Livingston Parish(7,8)",22063,Yes,39.3 ,34.7, 44.4,55,falling,-4.1 ,-5.8, -2.3
"St. Helena Parish(7,8)",22091,Yes,39 ,25.5, 57.7,5,stable,-2.2 ,-6.8, 2.7
"Bienville Parish(7,8)",22013,Yes,38.6 ,26.5, 54.7,7,stable,-3.1 ,-6.5, 0.5
"Ascension Parish(7,8)",22005,Yes,38.5 ,33.3, 44.3,43,falling,-3.3 ,-5.3, -1.4
"St. Charles Parish(7,8)",22089,Yes,37.5 ,30.5, 45.8,21,stable,-1.5 ,-3.4, 0.3
"Lincoln Parish(7,8)",22061,Yes,37.5 ,29.7, 46.8,17,falling,-4.0 ,-5.8, -2.0
"Sabine Parish(7,8)",22085,Yes,37.2 ,28.6, 47.8,13,falling,-3.9 ,-6.6, -1.1
"Plaquemines Parish(7,8)",22075,Yes,36.7 ,26.6, 49.4,9,falling,-3.1 ,-5.7, -0.5
"Red River Parish(7,8)",22081,Yes,28.7 ,16.9, 46.5,4,falling,-5.3 ,-9.6, -0.9

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
7 Source: SEER November 2018 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2017 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2018 data. "

"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
