------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Vernon Parish(7)",22115,Yes,40.8 ,29.6, 54.8,9,33.8
"Allen Parish(7)",22003,Yes,40.1 ,25.9, 59.6,5,41.9
"Assumption Parish(7)",22007,Yes,40.1 ,25.5, 60,5,39.7
"Lincoln Parish(7)",22061,Yes,39.9 ,28.7, 54.1,9,36.9
"Washington Parish(7)",22117,Yes,39.9 ,30.3, 51.9,12,37.1
"St. Bernard Parish(7)",22087,Yes,39.8 ,28.2, 54.6,8,37.7
"Terrebonne Parish(7)",22109,Yes,39.8 ,33, 47.6,25,36.9
"Avoyelles Parish(7)",22009,Yes,39.4 ,28.6, 53,9,38.8
"Tangipahoa Parish(7)",22105,Yes,39.3 ,33, 46.5,29,35.6
"Livingston Parish(7)",22063,Yes,38.9 ,32.6, 46.2,27,32.4
"Jackson Parish(7)",22049,Yes,38.6 ,22.4, 62.3,4,32.8
"West Baton Rouge Parish(7)",22121,Yes,38.1 ,25.2, 55.6,6,32.2
"St. Martin Parish(7)",22099,Yes,36.3 ,27.3, 47.4,12,36.3
"Union Parish(7)",22111,Yes,29.4 ,18.1, 45.8,5,30.3
"Grant Parish(7)",22043,Yes,26.4 ,14.8, 44,3,30.2
"Caldwell Parish(7)",22021,Yes,* ,*, *,3 or fewer,*
"Cameron Parish(7)",22023,Yes,* ,*, *,3 or fewer,*
"Catahoula Parish(7)",22025,Yes,* ,*, *,3 or fewer,*
"East Carroll Parish(7)",22035,Yes,* ,*, *,3 or fewer,*
"La Salle Parish(7)",22059,Yes,* ,*, *,3 or fewer,*
"Red River Parish(7)",22081,Yes,* ,*, *,3 or fewer,*
"Tensas Parish(7)",22107,Yes,* ,*, *,3 or fewer,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."

Rates are computed using cancers classified as malignant based on ICD-O-3. For more information see malignant.html.

"^ Late Stage is defined as cases determined to be regional or distant. Coding is generally based on Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ] but may include other staging variables if necessary."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
3 Source: SEER November 2018 submission.  State Cancer Registry also receives funding from CDC's National Program of Cancer Registries.
7 Source: SEER November 2018 submission.

"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
