------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=003&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '003', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_052.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=003&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Oral Cavity & Pharynx (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"St. Martin Parish(7)",22099,***,6 ,3.6, 9.4,4,46.5
"Allen Parish(7)",22003,***,* ,*, *,3 or fewer,*
"Assumption Parish(7)",22007,***,* ,*, *,3 or fewer,*
"Avoyelles Parish(7)",22009,***,* ,*, *,3 or fewer,*
"Beauregard Parish(7)",22011,***,* ,*, *,3 or fewer,*
"Bienville Parish(7)",22013,***,* ,*, *,3 or fewer,*
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*
"Cameron Parish(7)",22023,***,* ,*, *,3 or fewer,*
"Catahoula Parish(7)",22025,***,* ,*, *,3 or fewer,*
"Claiborne Parish(7)",22027,***,* ,*, *,3 or fewer,*
"Concordia Parish(7)",22029,***,* ,*, *,3 or fewer,*
"East Carroll Parish(7)",22035,***,* ,*, *,3 or fewer,*
"East Feliciana Parish(7)",22037,***,* ,*, *,3 or fewer,*
"Evangeline Parish(7)",22039,***,* ,*, *,3 or fewer,*
"Franklin Parish(7)",22041,***,* ,*, *,3 or fewer,*
"Grant Parish(7)",22043,***,* ,*, *,3 or fewer,*
"Jackson Parish(7)",22049,***,* ,*, *,3 or fewer,*
"La Salle Parish(7)",22059,***,* ,*, *,3 or fewer,*
"Madison Parish(7)",22065,***,* ,*, *,3 or fewer,*
"Morehouse Parish(7)",22067,***,* ,*, *,3 or fewer,*
"Natchitoches Parish(7)",22069,***,* ,*, *,3 or fewer,*
"Plaquemines Parish(7)",22075,***,* ,*, *,3 or fewer,*
"Red River Parish(7)",22081,***,* ,*, *,3 or fewer,*
"Richland Parish(7)",22083,***,* ,*, *,3 or fewer,*
"St. Helena Parish(7)",22091,***,* ,*, *,3 or fewer,*
"St. James Parish(7)",22093,***,* ,*, *,3 or fewer,*
"Tensas Parish(7)",22107,***,* ,*, *,3 or fewer,*
"Union Parish(7)",22111,***,* ,*, *,3 or fewer,*
"West Baton Rouge Parish(7)",22121,***,* ,*, *,3 or fewer,*
"West Carroll Parish(7)",22123,***,* ,*, *,3 or fewer,*
"West Feliciana Parish(7)",22125,***,* ,*, *,3 or fewer,*
"Winn Parish(7)",22127,***,* ,*, *,3 or fewer,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."

Rates are computed using cancers classified as malignant based on ICD-O-3. For more information see malignant.html.

"^ Late Stage is defined as cases determined to be regional or distant. Coding is generally based on Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ] but may include other staging variables if necessary."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
3 Source: SEER November 2018 submission.  State Cancer Registry also receives funding from CDC's National Program of Cancer Registries.
7 Source: SEER November 2018 submission.

"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
