------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Emporia City",51595,94.3,5184,"1189 of 3141"
"Bath County",51017,94.3,4206,"1191 of 3141"
"Chesapeake City",51550,94.4,222201,"1198 of 3141"
"Colonial Heights City",51570,94.5,16611,"1215 of 3141"
"James City County",51095,94.6,69052,"1229 of 3141"
"Hampton City",51650,94.6,128866,"1233 of 3141"
"Henrico County",51087,94.6,306517,"1235 of 3141"
"Charlottesville City",51540,94.8,44056,"1266 of 3141"
"Henry County",51089,94.8,49247,"1271 of 3141"
"Martinsville City",51690,94.9,12586,"1305 of 3141"
"Lexington City",51678,95.2,6770,"1354 of 3141"
"Clarke County",51043,95.2,13646,"1363 of 3141"
"Petersburg City",51730,95.3,30545,"1390 of 3141"
"King George County",51099,95.4,24376,"1393 of 3141"
"Orange County",51137,95.4,33660,"1416 of 3141"
"Caroline County",51033,95.7,28601,"1472 of 3141"
"Lunenburg County",51111,95.7,11840,"1476 of 3141"
"Warren County",51187,95.8,37369,"1516 of 3141"
"Nottoway County",51135,95.9,14904,"1546 of 3141"
"Portsmouth City",51740,95.9,91645,"1548 of 3141"
"Suffolk City",51800,96.0,84530,"1563 of 3141"
"Greensville County",51081,96.1,11150,"1579 of 3141"
"Nelson County",51125,96.1,14282,"1584 of 3141"
"Danville City",51590,96.1,40286,"1595 of 3141"
"Prince Edward County",51147,96.2,22041,"1624 of 3141"
"Lynchburg City",51680,96.3,76336,"1653 of 3141"
"Rappahannock County",51157,96.5,7098,"1685 of 3141"
"Essex County",51057,96.6,10705,"1726 of 3141"
"Gloucester County",51073,96.7,35820,"1761 of 3141"
"Fluvanna County",51065,96.7,25255,"1767 of 3141"
"Salem City",51775,96.8,24706,"1801 of 3141"
"King and Queen County",51097,96.8,6827,"1803 of 3141"
"Dinwiddie County",51053,96.8,27140,"1805 of 3141"
"Carroll County",51035,96.9,28855,"1853 of 3141"
"Grayson County",51077,96.9,15228,"1856 of 3141"
"Montgomery County",51121,96.9,94709,"1859 of 3141"
"New Kent County",51127,97.1,19925,"1914 of 3141"
"Radford City",51750,97.1,16879,"1924 of 3141"
"Sussex County",51183,97.1,11264,"1937 of 3141"
"Staunton City",51790,97.1,23581,"1942 of 3141"
"Roanoke County",51161,97.2,90763,"1946 of 3141"
"Floyd County",51063,97.2,15154,"1956 of 3141"
"Isle of Wight County",51093,97.2,35077,"1962 of 3141"
"Hanover County",51085,97.2,100332,"1973 of 3141"
"Patrick County",51141,97.2,17456,"1974 of 3141"
"Franklin County",51067,97.3,54763,"2033 of 3141"
"Mecklenburg County",51117,97.3,30130,"2038 of 3141"
"Louisa County",51109,97.4,33892,"2051 of 3141"
"Goochland County",51075,97.4,21580,"2082 of 3141"
"Augusta County",51015,97.5,72504,"2098 of 3141"
"Pittsylvania County",51143,97.5,60428,"2125 of 3141"
"Madison County",51113,97.6,12793,"2162 of 3141"
"Poquoson City",51735,97.6,11735,"2170 of 3141"
"Buckingham County",51029,97.6,16647,"2186 of 3141"
"Amherst County",51009,97.7,31099,"2238 of 3141"
"Campbell County",51031,97.9,53975,"2305 of 3141"
"Brunswick County",51025,97.9,16090,"2328 of 3141"
"Charlotte County",51037,97.9,11926,"2355 of 3141"
"Bedford City and County",51917,98.0,75737,"2357 of 3141"
"Covington City",51580,98.0,5559,"2358 of 3141"
"Powhatan County",51145,98.0,27790,"2364 of 3141"
"Lee County",51105,98.0,23936,"2367 of 3141"
"Smyth County",51173,98.0,30676,"2391 of 3141"
"Halifax County with South Boston City",51083,98.0,34334,"2392 of 3141"
"Page County",51139,98.1,23251,"2452 of 3141"
"Charles City County",51036,98.2,6896,"2497 of 3141"
"Lancaster County",51103,98.3,10660,"2531 of 3141"
"Rockbridge County",51163,98.4,22073,"2586 of 3141"
"Pulaski County",51155,98.4,33775,"2598 of 3141"
"Giles County",51071,98.4,16596,"2603 of 3141"
"Botetourt County",51023,98.4,32628,"2622 of 3141"
"Southampton County",51175,98.5,17818,"2683 of 3141"
"Washington County",51191,98.5,53651,"2696 of 3141"
"Alleghany County and Clifton Forge City",51005,98.6,15268,"2736 of 3141"
"Scott County",51169,98.7,22003,"2812 of 3141"
"Russell County",51167,98.7,27373,"2825 of 3141"
"Appomattox County",51011,98.7,15266,"2828 of 3141"
"Wise County",51195,98.8,39057,"2854 of 3141"
"Wythe County",51197,98.9,28716,"2883 of 3141"
"Amelia County",51007,98.9,12660,"2899 of 3141"
"Tazewell County",51185,99.1,42297,"2957 of 3141"
"Norton City",51720,99.1,4008,"2976 of 3141"
"Surry County",51181,99.2,6615,"2988 of 3141"
"Dickenson County",51051,99.2,15056,"2989 of 3141"
"King William County",51101,99.2,16200,"3000 of 3141"
"Buena Vista City",51530,99.3,6449,"3018 of 3141"
"Franklin City",51620,99.3,8275,"3019 of 3141"
"Mathews County",51115,99.3,8770,"3029 of 3141"
"Bristol City",51520,99.5,16984,"3055 of 3141"
"Middlesex County",51119,99.5,10655,"3064 of 3141"
"Bland County",51021,99.5,6491,"3066 of 3141"
"Northumberland County",51133,99.5,12195,"3074 of 3141"
"Buchanan County",51027,99.7,22550,"3108 of 3141"
"Cumberland County",51049,99.9,9783,"3125 of 3141"
"Craig County",51045,100.0,5130,"3130 of 3141"
"Highland County",51091,100.0,2213,"3133 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
