------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Rockbridge County",51163,5.1,865,"1892 of 3141"
"Bland County",51021,5.2,259,"1901 of 3141"
"Essex County",51057,5.2,407,"1940 of 3141"
"Franklin County",51067,5.3,2162,"1969 of 3141"
"Westmoreland County",51193,5.4,697,"1977 of 3141"
"Charles City County",51036,5.4,291,"1980 of 3141"
"Pulaski County",51155,5.4,1378,"1989 of 3141"
"Clarke County",51043,5.4,553,"1990 of 3141"
"Giles County",51071,5.5,664,"2004 of 3141"
"Buena Vista City",51530,5.5,222,"2005 of 3141"
"Amherst County",51009,5.5,1226,"2006 of 3141"
"Rappahannock County",51157,5.5,303,"2011 of 3141"
"Appomattox County",51011,5.6,616,"2057 of 3141"
"Prince William County",51153,5.6,16077,"2063 of 3141"
"Surry County",51181,5.7,282,"2081 of 3141"
"Richmond City",51760,5.7,8561,"2085 of 3141"
"Shenandoah County",51171,5.7,1744,"2100 of 3141"
"Dinwiddie County",51053,5.8,1142,"2128 of 3141"
"Greene County",51079,5.9,785,"2178 of 3141"
"Southampton County",51175,5.9,783,"2185 of 3141"
"Radford City",51750,6.0,455,"2200 of 3141"
"Culpeper County",51047,6.0,1993,"2202 of 3141"
"Louisa County",51109,6.1,1538,"2233 of 3141"
"Pittsylvania County",51143,6.1,2777,"2244 of 3141"
"Madison County",51113,6.2,584,"2272 of 3141"
"Brunswick County",51025,6.3,744,"2274 of 3141"
"Roanoke City",51770,6.3,4349,"2277 of 3141"
"King and Queen County",51097,6.3,328,"2307 of 3141"
"Hopewell City",51670,6.4,946,"2326 of 3141"
"Highland County",51091,6.4,120,"2331 of 3141"
"Martinsville City",51690,6.6,601,"2367 of 3141"
"Washington County",51191,6.7,2658,"2392 of 3141"
"Cumberland County",51049,6.7,463,"2395 of 3141"
"Franklin City",51620,6.7,385,"2406 of 3141"
"Nelson County",51125,6.8,750,"2419 of 3141"
"Northampton County",51131,6.8,598,"2435 of 3141"
"Wythe County",51197,6.9,1457,"2443 of 3141"
"Petersburg City",51730,6.9,1538,"2450 of 3141"
"Lexington City",51678,6.9,181,"2452 of 3141"
"Halifax County with South Boston City",51083,7.0,1765,"2478 of 3141"
"Floyd County",51063,7.1,812,"2488 of 3141"
"Richmond County",51159,7.1,481,"2491 of 3141"
"Accomack County",51001,7.1,1677,"2494 of 3141"
"Smyth County",51173,7.1,1620,"2495 of 3141"
"Danville City",51590,7.2,2084,"2521 of 3141"
"Patrick County",51141,7.2,980,"2529 of 3141"
"Henry County",51089,7.3,2777,"2539 of 3141"
"Manassas Park City",51685,7.4,777,"2555 of 3141"
"Page County",51139,7.4,1276,"2561 of 3141"
"Carroll County",51035,7.7,1683,"2609 of 3141"
"Winchester City",51840,7.8,1417,"2620 of 3141"
"Mecklenburg County",51117,7.8,1775,"2622 of 3141"
"Lunenburg County",51111,7.9,714,"2632 of 3141"
"Amelia County",51007,8.0,720,"2648 of 3141"
"Prince Edward County",51147,8.1,1032,"2660 of 3141"
"Rockingham County",51165,8.1,4356,"2662 of 3141"
"Charlotte County",51037,8.1,688,"2663 of 3141"
"Galax City",51640,8.2,412,"2675 of 3141"
"Sussex County",51183,8.4,748,"2693 of 3141"
"Harrisonburg City",51660,8.5,2234,"2702 of 3141"
"Grayson County",51077,8.5,1008,"2711 of 3141"
"Greensville County",51081,9.0,782,"2773 of 3141"
"Tazewell County",51185,9.0,2793,"2776 of 3141"
"Scott County",51169,9.4,1557,"2813 of 3141"
"Nottoway County",51135,9.6,1051,"2837 of 3141"
"Emporia City",51595,9.8,359,"2856 of 3141"
"Wise County",51195,10.2,2836,"2888 of 3141"
"Lee County",51105,10.7,1948,"2919 of 3141"
"Buckingham County",51029,10.9,1365,"2932 of 3141"
"Manassas City",51683,11.5,3041,"2956 of 3141"
"Russell County",51167,11.5,2337,"2958 of 3141"
"Dickenson County",51051,13.0,1442,"3022 of 3141"
"Buchanan County",51027,14.2,2416,"3044 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
