------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Albemarle County",51003,81.3,84502,"2825 of 3140"
"Salem City",51775,81.7,20646,"2789 of 3140"
"Staunton City",51790,82.0,19714,"2763 of 3140"
"Virginia Beach City",51810,82.1,364568,"2747 of 3140"
"Winchester City",51840,82.2,22168,"2732 of 3140"
"Franklin City",51620,82.2,6768,"2731 of 3140"
"Prince George County",51149,82.4,30750,"2702 of 3140"
"Martinsville City",51690,83.0,10771,"2621 of 3140"
"Hopewell City",51670,83.1,18410,"2607 of 3140"
"Falls Church City",51610,83.3,11438,"2582 of 3140"
"York County",51199,83.3,55565,"2567 of 3140"
"Stafford County",51179,83.7,116723,"2500 of 3140"
"Buena Vista City",51530,83.8,5349,"2482 of 3140"
"Caroline County",51033,83.8,24765,"2471 of 3140"
"Shenandoah County",51171,83.8,35637,"2464 of 3140"
"Colonial Heights City",51570,83.9,14631,"2454 of 3140"
"Manassas City",51683,84.0,34237,"2442 of 3140"
"Henrico County",51087,84.5,270648,"2346 of 3140"
"James City County",51095,84.8,61291,"2272 of 3140"
"Fairfax City",51600,85.2,19786,"2168 of 3140"
"Fairfax County",51059,85.2,960601,"2167 of 3140"
"Prince William County",51153,85.4,379822,"2112 of 3140"
"King George County",51099,85.4,21569,"2101 of 3140"
"Danville City",51590,85.7,35615,"2032 of 3140"
"Patrick County",51141,85.8,15317,"2024 of 3140"
"Suffolk City",51800,86.1,74532,"1924 of 3140"
"Chesapeake City",51550,86.2,199976,"1881 of 3140"
"New Kent County",51127,86.3,17602,"1865 of 3140"
"Loudoun County",51107,86.5,319532,"1804 of 3140"
"Covington City",51580,86.6,4850,"1745 of 3140"
"Page County",51139,86.6,20305,"1740 of 3140"
"Pulaski County",51155,86.7,29518,"1718 of 3140"
"Madison County",51113,86.7,11254,"1714 of 3140"
"Washington County",51191,87.0,47021,"1617 of 3140"
"Dinwiddie County",51053,87.1,24188,"1597 of 3140"
"Prince Edward County",51147,87.1,19715,"1586 of 3140"
"Bland County",51021,87.1,5653,"1566 of 3140"
"Chesterfield County",51041,87.2,289263,"1546 of 3140"
"Richmond County",51159,87.3,7658,"1500 of 3140"
"Roanoke County",51161,87.3,80943,"1493 of 3140"
"Louisa County",51109,87.4,30187,"1468 of 3140"
"Poquoson City",51735,87.4,10451,"1455 of 3140"
"Orange County",51137,87.6,30672,"1413 of 3140"
"Spotsylvania County",51177,87.7,112754,"1389 of 3140"
"Wise County",51195,87.7,34353,"1375 of 3140"
"Culpeper County",51047,87.8,43331,"1335 of 3140"
"Lee County",51105,87.9,21266,"1314 of 3140"
"Fluvanna County",51065,88.0,22727,"1288 of 3140"
"Franklin County",51067,88.0,49060,"1278 of 3140"
"Rockingham County",51165,88.0,68458,"1254 of 3140"
"Giles County",51071,88.1,14699,"1245 of 3140"
"Rockbridge County",51163,88.1,19553,"1244 of 3140"
"Augusta County",51015,88.1,64921,"1232 of 3140"
"Bedford City and County",51917,88.2,67493,"1178 of 3140"
"Frederick County",51069,88.3,73156,"1157 of 3140"
"Nottoway County",51135,88.4,13562,"1140 of 3140"
"Scott County",51169,88.4,19618,"1135 of 3140"
"Warren County",51187,88.4,34030,"1123 of 3140"
"Amherst County",51009,88.4,27893,"1119 of 3140"
"Westmoreland County",51193,88.6,15412,"1058 of 3140"
"Mathews County",51115,88.6,7737,"1051 of 3140"
"Essex County",51057,88.7,9758,"1045 of 3140"
"Lancaster County",51103,88.7,9557,"1044 of 3140"
"Southampton County",51175,88.7,15876,"1029 of 3140"
"Brunswick County",51025,88.7,14441,"1024 of 3140"
"Campbell County",51031,89.0,48671,"921 of 3140"
"Goochland County",51075,89.0,19606,"894 of 3140"
"Craig County",51045,89.1,4487,"888 of 3140"
"Botetourt County",51023,89.3,29444,"832 of 3140"
"Buckingham County",51029,89.3,15113,"825 of 3140"
"Alleghany County and Clifton Forge City",51005,89.3,13682,"818 of 3140"
"Henry County",51089,89.3,45988,"816 of 3140"
"Pittsylvania County",51143,89.4,54988,"812 of 3140"
"Hanover County",51085,89.4,91455,"794 of 3140"
"Smyth County",51173,89.5,27615,"783 of 3140"
"Isle of Wight County",51093,89.5,32041,"767 of 3140"
"Tazewell County",51185,89.6,37803,"748 of 3140"
"Powhatan County",51145,89.6,25140,"738 of 3140"
"Middlesex County",51119,89.9,9564,"654 of 3140"
"Bath County",51017,90.0,3974,"648 of 3140"
"Grayson County",51077,90.1,14054,"613 of 3140"
"Fauquier County",51061,90.1,61052,"597 of 3140"
"Northumberland County",51133,90.5,11063,"512 of 3140"
"Clarke County",51043,90.5,12830,"503 of 3140"
"Amelia County",51007,90.6,11472,"502 of 3140"
"Galax City",51640,90.8,6074,"454 of 3140"
"Carroll County",51035,91.0,26814,"406 of 3140"
"Gloucester County",51073,91.4,33541,"333 of 3140"
"Charlotte County",51037,91.5,11046,"315 of 3140"
"Wythe County",51197,91.6,26423,"301 of 3140"
"Russell County",51167,91.7,25229,"272 of 3140"
"Nelson County",51125,91.8,13500,"254 of 3140"
"King William County",51101,92.1,14854,"226 of 3140"
"Greene County",51079,92.3,17588,"203 of 3140"
"Buchanan County",51027,92.4,20749,"196 of 3140"
"Mecklenburg County",51117,92.5,28366,"187 of 3140"
"Rappahannock County",51157,92.8,6781,"153 of 3140"
"Charles City County",51036,92.9,6456,"144 of 3140"
"Surry County",51181,93.0,6172,"138 of 3140"
"Halifax County with South Boston City",51083,93.3,32387,"119 of 3140"
"Accomack County",51001,93.4,30360,"115 of 3140"
"Floyd County",51063,93.5,14284,"111 of 3140"
"Northampton County",51131,93.9,11162,"84 of 3140"
"Lunenburg County",51111,94.0,11520,"77 of 3140"
"King and Queen County",51097,94.4,6580,"58 of 3140"
"Dickenson County",51051,94.5,14149,"57 of 3140"
"Cumberland County",51049,95.0,9213,"39 of 3140"
"Appomattox County",51011,96.0,14646,"19 of 3140"
"Highland County",51091,97.3,2126,"3 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
