------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Manassas Park City",51685,22.4,3572,"1054 of 3141"
"Middlesex County",51119,22.4,2317,"1059 of 3141"
"Amherst County",51009,23.0,7153,"1146 of 3141"
"Greene County",51079,23.1,4407,"1157 of 3141"
"Essex County",51057,23.2,2558,"1175 of 3141"
"Dinwiddie County",51053,23.3,6393,"1185 of 3141"
"Pulaski County",51155,23.5,7800,"1210 of 3141"
"Campbell County",51031,23.7,12932,"1246 of 3141"
"Staunton City",51790,23.9,5489,"1268 of 3141"
"Winchester City",51840,24.0,6353,"1279 of 3141"
"Southampton County",51175,24.0,3980,"1284 of 3141"
"Nelson County",51125,24.2,3562,"1311 of 3141"
"Hampton City",51650,24.3,31926,"1327 of 3141"
"Franklin County",51067,24.6,13420,"1373 of 3141"
"Fredericksburg City",51630,24.6,6293,"1381 of 3141"
"Floyd County",51063,24.6,3813,"1382 of 3141"
"Colonial Heights City",51570,24.8,4336,"1418 of 3141"
"Appomattox County",51011,25.1,3859,"1458 of 3141"
"Washington County",51191,25.4,13341,"1495 of 3141"
"Surry County",51181,25.5,1704,"1519 of 3141"
"Madison County",51113,25.6,3309,"1528 of 3141"
"Carroll County",51035,26.0,7675,"1591 of 3141"
"Rockbridge County",51163,26.2,5809,"1604 of 3141"
"Wythe County",51197,26.2,7533,"1610 of 3141"
"Tazewell County",51185,26.5,10917,"1662 of 3141"
"Newport News City",51700,26.6,45585,"1672 of 3141"
"Pittsylvania County",51143,26.7,16257,"1696 of 3141"
"Buckingham County",51029,26.8,4018,"1715 of 3141"
"Portsmouth City",51740,27.4,25301,"1795 of 3141"
"Page County",51139,27.5,6451,"1807 of 3141"
"King and Queen County",51097,27.6,1949,"1830 of 3141"
"Waynesboro City",51820,28.4,6035,"1940 of 3141"
"Williamsburg City",51830,28.5,3021,"1958 of 3141"
"Smyth County",51173,28.5,8743,"1961 of 3141"
"Bath County",51017,28.7,1257,"1981 of 3141"
"Mecklenburg County",51117,28.7,8592,"1984 of 3141"
"Alleghany County and Clifton Forge City",51005,28.8,4360,"1994 of 3141"
"Montgomery County",51121,29.8,26377,"2116 of 3141"
"Scott County",51169,30.2,6491,"2168 of 3141"
"Cumberland County",51049,30.4,2942,"2186 of 3141"
"Northampton County",51131,30.6,3573,"2216 of 3141"
"Hopewell City",51670,30.7,6756,"2217 of 3141"
"Sussex County",51183,31.1,2170,"2271 of 3141"
"Covington City",51580,31.1,1737,"2274 of 3141"
"Norfolk City",51710,31.3,68904,"2295 of 3141"
"Halifax County with South Boston City",51083,31.4,10780,"2307 of 3141"
"Russell County",51167,31.5,8627,"2314 of 3141"
"Patrick County",51141,32.0,5642,"2357 of 3141"
"Accomack County",51001,32.2,10403,"2373 of 3141"
"Charlottesville City",51540,32.4,14209,"2398 of 3141"
"Lexington City",51678,32.4,1159,"2402 of 3141"
"Richmond County",51159,32.8,2341,"2429 of 3141"
"Roanoke City",51770,32.8,31996,"2436 of 3141"
"Franklin City",51620,33.0,2709,"2460 of 3141"
"Lynchburg City",51680,33.0,22657,"2464 of 3141"
"Wise County",51195,33.2,12108,"2476 of 3141"
"Brunswick County",51025,33.3,4745,"2482 of 3141"
"Charlotte County",51037,33.3,3979,"2488 of 3141"
"Prince Edward County",51147,33.4,6135,"2495 of 3141"
"Martinsville City",51690,33.8,4307,"2532 of 3141"
"Grayson County",51077,33.9,5098,"2539 of 3141"
"Lunenburg County",51111,34.3,3901,"2570 of 3141"
"Henry County",51089,35.1,17991,"2638 of 3141"
"Bristol City",51520,35.4,5921,"2662 of 3141"
"Norton City",51720,35.5,1415,"2668 of 3141"
"Nottoway County",51135,35.6,5031,"2678 of 3141"
"Danville City",51590,35.7,14322,"2682 of 3141"
"Greensville County",51081,35.8,3045,"2696 of 3141"
"Richmond City",51760,37.0,77763,"2791 of 3141"
"Galax City",51640,38.4,2499,"2858 of 3141"
"Lee County",51105,38.5,8810,"2864 of 3141"
"Buchanan County",51027,38.9,8411,"2880 of 3141"
"Petersburg City",51730,39.1,12268,"2887 of 3141"
"Dickenson County",51051,40.0,5877,"2917 of 3141"
"Harrisonburg City",51660,40.4,18456,"2937 of 3141"
"Buena Vista City",51530,41.9,2522,"2982 of 3141"
"Radford City",51750,47.5,6814,"3079 of 3141"
"Emporia City",51595,49.3,2604,"3092 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
