------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Bristol City",51520,15.6,1907,"2081 of 3141"
"Floyd County",51063,15.7,1797,"2091 of 3141"
"Amherst County",51009,15.9,3568,"2116 of 3141"
"Harrisonburg City",51660,16.1,4239,"2140 of 3141"
"Surry County",51181,16.1,802,"2143 of 3141"
"Winchester City",51840,16.4,2991,"2182 of 3141"
"Lexington City",51678,16.5,430,"2189 of 3141"
"Caroline County",51033,16.5,3371,"2198 of 3141"
"Covington City",51580,16.6,651,"2209 of 3141"
"Wythe County",51197,16.6,3514,"2210 of 3141"
"Norton City",51720,16.7,481,"2227 of 3141"
"Buena Vista City",51530,16.9,686,"2248 of 3141"
"Southampton County",51175,17.0,2238,"2263 of 3141"
"Smyth County",51173,17.0,3866,"2271 of 3141"
"Dinwiddie County",51053,17.4,3430,"2314 of 3141"
"Essex County",51057,17.4,1351,"2322 of 3141"
"Prince Edward County",51147,17.4,2218,"2327 of 3141"
"Rockingham County",51165,17.5,9393,"2335 of 3141"
"Pittsylvania County",51143,17.6,7943,"2343 of 3141"
"Manassas Park City",51685,17.7,1868,"2356 of 3141"
"Accomack County",51001,17.8,4199,"2364 of 3141"
"Franklin City",51620,18.1,1037,"2393 of 3141"
"Mecklenburg County",51117,18.4,4200,"2421 of 3141"
"Cumberland County",51049,18.5,1287,"2427 of 3141"
"Charlotte County",51037,18.6,1579,"2445 of 3141"
"Manassas City",51683,18.7,4947,"2457 of 3141"
"Northampton County",51131,18.9,1649,"2469 of 3141"
"Grayson County",51077,18.9,2238,"2473 of 3141"
"Hopewell City",51670,18.9,2796,"2477 of 3141"
"Page County",51139,19.0,3276,"2490 of 3141"
"Martinsville City",51690,19.1,1741,"2491 of 3141"
"Carroll County",51035,19.1,4177,"2492 of 3141"
"Amelia County",51007,19.2,1724,"2513 of 3141"
"Petersburg City",51730,19.4,4310,"2531 of 3141"
"Danville City",51590,19.5,5620,"2537 of 3141"
"Richmond County",51159,19.5,1319,"2543 of 3141"
"Scott County",51169,20.1,3332,"2611 of 3141"
"Henry County",51089,20.2,7663,"2617 of 3141"
"Halifax County with South Boston City",51083,20.3,5079,"2627 of 3141"
"Tazewell County",51185,20.3,6283,"2630 of 3141"
"Russell County",51167,21.2,4307,"2718 of 3141"
"Brunswick County",51025,21.3,2530,"2722 of 3141"
"Patrick County",51141,21.3,2885,"2728 of 3141"
"Charles City County",51036,21.9,1184,"2780 of 3141"
"Buckingham County",51029,23.1,2887,"2871 of 3141"
"Nottoway County",51135,23.4,2567,"2882 of 3141"
"Emporia City",51595,23.5,859,"2890 of 3141"
"Galax City",51640,23.5,1182,"2892 of 3141"
"Lunenburg County",51111,23.7,2144,"2904 of 3141"
"Wise County",51195,24.4,6780,"2938 of 3141"
"Greensville County",51081,24.7,2152,"2954 of 3141"
"Lee County",51105,25.4,4618,"2979 of 3141"
"Dickenson County",51051,25.5,2815,"2981 of 3141"
"Sussex County",51183,26.7,2393,"3027 of 3141"
"Buchanan County",51027,28.4,4823,"3058 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
