------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Staunton City",51790,13.3,3050,"1186 of 3141"
"Amherst County",51009,13.4,4172,"1219 of 3141"
"Northumberland County",51133,13.5,1654,"1239 of 3141"
"Surry County",51181,13.6,909,"1257 of 3141"
"Pulaski County",51155,13.9,4623,"1329 of 3141"
"Appomattox County",51011,14.4,2210,"1418 of 3141"
"Carroll County",51035,14.6,4296,"1449 of 3141"
"Washington County",51191,14.6,7671,"1452 of 3141"
"Pittsylvania County",51143,14.7,8949,"1468 of 3141"
"Dinwiddie County",51053,14.8,4062,"1490 of 3141"
"Franklin County",51067,14.8,8106,"1498 of 3141"
"Nelson County",51125,14.9,2195,"1511 of 3141"
"Hampton City",51650,14.9,19633,"1521 of 3141"
"Wythe County",51197,15.2,4373,"1578 of 3141"
"King and Queen County",51097,15.6,1100,"1650 of 3141"
"Rockbridge County",51163,15.6,3465,"1651 of 3141"
"Tazewell County",51185,15.6,6430,"1656 of 3141"
"Fredericksburg City",51630,16.3,4169,"1786 of 3141"
"Newport News City",51700,16.4,28194,"1813 of 3141"
"Franklin City",51620,16.6,1361,"1848 of 3141"
"Buckingham County",51029,16.6,2492,"1867 of 3141"
"Mecklenburg County",51117,16.9,5043,"1917 of 3141"
"Page County",51139,17.0,3988,"1939 of 3141"
"Greensville County",51081,17.0,1447,"1944 of 3141"
"Smyth County",51173,17.4,5316,"2015 of 3141"
"Waynesboro City",51820,17.4,3691,"2018 of 3141"
"Richmond County",51159,17.4,1246,"2032 of 3141"
"Russell County",51167,17.6,4829,"2071 of 3141"
"Scott County",51169,17.7,3797,"2078 of 3141"
"Portsmouth City",51740,17.7,16302,"2080 of 3141"
"Sussex County",51183,17.8,1244,"2112 of 3141"
"Lunenburg County",51111,18.6,2118,"2243 of 3141"
"Halifax County with South Boston City",51083,18.7,6423,"2264 of 3141"
"Henry County",51089,19.2,9843,"2319 of 3141"
"Alleghany County and Clifton Forge City",51005,19.3,2917,"2339 of 3141"
"Accomack County",51001,19.8,6416,"2413 of 3141"
"Covington City",51580,19.9,1108,"2417 of 3141"
"Wise County",51195,19.9,7269,"2424 of 3141"
"Patrick County",51141,20.2,3561,"2452 of 3141"
"Grayson County",51077,20.2,3044,"2455 of 3141"
"Northampton County",51131,20.3,2367,"2463 of 3141"
"Buena Vista City",51530,20.8,1248,"2509 of 3141"
"Brunswick County",51025,20.9,2981,"2527 of 3141"
"Norfolk City",51710,21.0,46251,"2543 of 3141"
"Hopewell City",51670,21.2,4670,"2566 of 3141"
"Galax City",51640,21.2,1381,"2567 of 3141"
"Bristol City",51520,21.3,3565,"2579 of 3141"
"Prince Edward County",51147,21.4,3933,"2584 of 3141"
"Lexington City",51678,21.4,764,"2586 of 3141"
"Danville City",51590,21.5,8629,"2598 of 3141"
"Williamsburg City",51830,21.5,2278,"2602 of 3141"
"Nottoway County",51135,21.5,3039,"2606 of 3141"
"Roanoke City",51770,21.6,21046,"2618 of 3141"
"Cumberland County",51049,21.8,2107,"2630 of 3141"
"Lynchburg City",51680,22.3,15311,"2680 of 3141"
"Charlotte County",51037,22.7,2709,"2712 of 3141"
"Dickenson County",51051,23.0,3388,"2746 of 3141"
"Montgomery County",51121,23.8,21058,"2797 of 3141"
"Martinsville City",51690,24.0,3053,"2805 of 3141"
"Charlottesville City",51540,24.5,10759,"2836 of 3141"
"Richmond City",51760,25.2,52942,"2869 of 3141"
"Norton City",51720,25.7,1026,"2904 of 3141"
"Lee County",51105,26.2,5994,"2920 of 3141"
"Buchanan County",51027,26.5,5726,"2941 of 3141"
"Petersburg City",51730,27.6,8646,"2980 of 3141"
"Harrisonburg City",51660,29.0,13231,"3012 of 3141"
"Emporia City",51595,30.9,1631,"3048 of 3141"
"Radford City",51750,37.5,5377,"3111 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
