------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Pittsylvania County",51143,0.4,247,"2155 of 3141"
"Franklin County",51067,0.4,226,"2143 of 3141"
"Buckingham County",51029,0.4,69,"2139 of 3141"
"Nelson County",51125,0.4,61,"2126 of 3141"
"Surry County",51181,0.4,28,"2099 of 3141"
"Dinwiddie County",51053,0.5,131,"1974 of 3141"
"Buchanan County",51027,0.5,107,"1956 of 3141"
"Wise County",51195,0.5,198,"1876 of 3141"
"Westmoreland County",51193,0.5,89,"1861 of 3141"
"Tazewell County",51185,0.5,230,"1786 of 3141"
"Brunswick County",51025,0.5,89,"1776 of 3141"
"Smyth County",51173,0.6,173,"1754 of 3141"
"Page County",51139,0.6,135,"1725 of 3141"
"Louisa County",51109,0.6,202,"1704 of 3141"
"Nottoway County",51135,0.6,91,"1694 of 3141"
"Washington County",51191,0.6,328,"1663 of 3141"
"Amherst County",51009,0.6,193,"1652 of 3141"
"Gloucester County",51073,0.6,231,"1611 of 3141"
"Henry County",51089,0.7,339,"1556 of 3141"
"Augusta County",51015,0.7,495,"1529 of 3141"
"Fluvanna County",51065,0.7,175,"1523 of 3141"
"Accomack County",51001,0.7,229,"1472 of 3141"
"Pulaski County",51155,0.7,243,"1447 of 3141"
"Halifax County with South Boston City",51083,0.7,254,"1417 of 3141"
"Wythe County",51197,0.7,215,"1377 of 3141"
"Rockbridge County",51163,0.8,173,"1338 of 3141"
"Shenandoah County",51171,0.8,341,"1304 of 3141"
"Lancaster County",51103,0.8,89,"1272 of 3141"
"Staunton City",51790,0.8,204,"1253 of 3141"
"Botetourt County",51023,0.9,283,"1234 of 3141"
"Rockingham County",51165,0.9,674,"1228 of 3141"
"Isle of Wight County",51093,0.9,325,"1176 of 3141"
"Orange County",51137,0.9,322,"1166 of 3141"
"Campbell County",51031,0.9,514,"1144 of 3141"
"Northampton County",51131,1.0,114,"1126 of 3141"
"Charles City County",51036,1.0,67,"1122 of 3141"
"Caroline County",51033,1.0,286,"1118 of 3141"
"New Kent County",51127,1.0,203,"1088 of 3141"
"Danville City",51590,1.0,430,"1046 of 3141"
"Clarke County",51043,1.0,149,"1032 of 3141"
"Prince Edward County",51147,1.1,249,"985 of 3141"
"King William County",51101,1.1,180,"973 of 3141"
"King George County",51099,1.1,289,"954 of 3141"
"Petersburg City",51730,1.2,370,"932 of 3141"
"Goochland County",51075,1.2,261,"917 of 3141"
"Warren County",51187,1.2,464,"903 of 3141"
"Rappahannock County",51157,1.2,88,"898 of 3141"
"Waynesboro City",51820,1.2,260,"893 of 3141"
"Madison County",51113,1.2,159,"885 of 3141"
"Greene County",51079,1.3,241,"846 of 3141"
"Poquoson City",51735,1.3,153,"837 of 3141"
"Hopewell City",51670,1.3,290,"821 of 3141"
"Bedford City and County",51917,1.3,1038,"802 of 3141"
"Fauquier County",51061,1.4,953,"771 of 3141"
"Culpeper County",51047,1.4,702,"762 of 3141"
"Portsmouth City",51740,1.5,1388,"736 of 3141"
"Frederick County",51069,1.5,1251,"714 of 3141"
"Hanover County",51085,1.6,1642,"668 of 3141"
"Radford City",51750,1.6,286,"649 of 3141"
"Suffolk City",51800,1.7,1483,"631 of 3141"
"Covington City",51580,1.7,99,"615 of 3141"
"Salem City",51775,1.9,490,"567 of 3141"
"Richmond County",51159,2.0,181,"522 of 3141"
"Richmond City",51760,2.1,4651,"507 of 3141"
"Winchester City",51840,2.2,605,"484 of 3141"
"Prince George County",51149,2.3,868,"462 of 3141"
"Fredericksburg City",51630,2.5,703,"428 of 3141"
"James City County",51095,2.5,1837,"425 of 3141"
"Hampton City",51650,2.5,3436,"422 of 3141"
"Spotsylvania County",51177,2.7,3527,"378 of 3141"
"Lynchburg City",51680,2.8,2224,"363 of 3141"
"Roanoke County",51161,2.9,2668,"356 of 3141"
"Roanoke City",51770,3.2,3145,"306 of 3141"
"Stafford County",51179,3.2,4548,"299 of 3141"
"Lunenburg County",51111,3.2,401,"296 of 3141"
"Chesapeake City",51550,3.4,7904,"285 of 3141"
"Newport News City",51700,3.4,6120,"280 of 3141"
"Chesterfield County",51041,3.5,11815,"270 of 3141"
"Norfolk City",51710,3.7,8980,"258 of 3141"
"Norton City",51720,3.7,149,"254 of 3141"
"Colonial Heights City",51570,3.8,675,"242 of 3141"
"Harrisonburg City",51660,4.0,2147,"220 of 3141"
"Lexington City",51678,4.4,310,"198 of 3141"
"Albemarle County",51003,5.0,5260,"164 of 3141"
"Manassas City",51683,5.4,2252,"141 of 3141"
"York County",51199,5.6,3793,"133 of 3141"
"Williamsburg City",51830,5.8,858,"129 of 3141"
"Alexandria City",51510,6.2,9657,"107 of 3141"
"Montgomery County",51121,6.5,6351,"98 of 3141"
"Virginia Beach City",51810,6.7,30042,"94 of 3141"
"Charlottesville City",51540,7.3,3387,"81 of 3141"
"Buena Vista City",51530,7.3,475,"80 of 3141"
"Henrico County",51087,8.0,26017,"68 of 3141"
"Prince William County",51153,8.2,37132,"63 of 3141"
"Falls Church City",51610,9.3,1282,"56 of 3141"
"Arlington County",51013,10.4,23770,"50 of 3141"
"Manassas Park City",51685,10.5,1694,"44 of 3141"
"Fairfax City",51600,16.1,3795,"26 of 3141"
"Loudoun County",51107,17.3,64753,"20 of 3141"
"Fairfax County",51059,18.9,216157,"17 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
