------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Bedford City and County",51917,4.9,3764,"885 of 3140"
"Warren County",51187,4.9,1896,"888 of 3140"
"Campbell County",51031,4.9,2694,"889 of 3140"
"Culpeper County",51047,5.0,2491,"938 of 3140"
"Frederick County",51069,5.1,4188,"944 of 3140"
"Martinsville City",51690,5.2,671,"994 of 3140"
"Winchester City",51840,5.2,1415,"1039 of 3140"
"Spotsylvania County",51177,5.3,6855,"1083 of 3140"
"Washington County",51191,5.4,2925,"1122 of 3140"
"Botetourt County",51023,5.4,1789,"1127 of 3140"
"Augusta County",51015,5.5,4052,"1156 of 3140"
"Louisa County",51109,5.6,1941,"1223 of 3140"
"Suffolk City",51800,5.6,4882,"1233 of 3140"
"Salem City",51775,5.6,1425,"1234 of 3140"
"Southampton County",51175,5.7,1019,"1259 of 3140"
"Lancaster County",51103,5.7,615,"1265 of 3140"
"Essex County",51057,5.7,628,"1266 of 3140"
"Craig County",51045,5.7,289,"1281 of 3140"
"Loudoun County",51107,5.8,21339,"1300 of 3140"
"Alleghany County and Clifton Forge City",51005,5.8,891,"1320 of 3140"
"Chesterfield County",51041,5.9,19457,"1354 of 3140"
"Waynesboro City",51820,5.9,1262,"1375 of 3140"
"Tazewell County",51185,5.9,2506,"1399 of 3140"
"Smyth County",51173,6.0,1846,"1422 of 3140"
"Radford City",51750,6.0,1043,"1448 of 3140"
"Scott County",51169,6.4,1414,"1616 of 3140"
"Amelia County",51007,6.4,808,"1622 of 3140"
"Alexandria City",51510,6.4,9714,"1626 of 3140"
"Manassas City",51683,6.4,2626,"1650 of 3140"
"Madison County",51113,6.5,841,"1666 of 3140"
"Franklin County",51067,6.5,3629,"1684 of 3140"
"Patrick County",51141,6.6,1182,"1727 of 3140"
"Caroline County",51033,6.7,1970,"1746 of 3140"
"Prince William County",51153,6.7,29757,"1755 of 3140"
"Pittsylvania County",51143,6.7,4141,"1770 of 3140"
"Fredericksburg City",51630,6.8,1865,"1781 of 3140"
"Albemarle County",51003,6.8,7025,"1782 of 3140"
"Fairfax County",51059,6.8,76439,"1793 of 3140"
"Rockingham County",51165,6.9,5365,"1832 of 3140"
"Pulaski County",51155,7.0,2379,"1861 of 3140"
"Wise County",51195,7.0,2752,"1883 of 3140"
"Dinwiddie County",51053,7.1,1964,"1897 of 3140"
"Giles County",51071,7.1,1182,"1901 of 3140"
"Buena Vista City",51530,7.2,458,"1942 of 3140"
"Arlington County",51013,7.5,16950,"2076 of 3140"
"Lee County",51105,7.6,1837,"2122 of 3140"
"Shenandoah County",51171,7.7,3267,"2161 of 3140"
"Hopewell City",51670,7.8,1722,"2190 of 3140"
"Henrico County",51087,7.9,25184,"2220 of 3140"
"Hampton City",51650,8.2,11018,"2329 of 3140"
"Danville City",51590,8.2,3409,"2333 of 3140"
"Bristol City",51520,8.5,1436,"2410 of 3140"
"Portsmouth City",51740,8.7,8175,"2471 of 3140"
"Page County",51139,8.9,2075,"2519 of 3140"
"Virginia Beach City",51810,8.9,39451,"2524 of 3140"
"Charlottesville City",51540,9.1,4177,"2584 of 3140"
"Newport News City",51700,9.4,16850,"2669 of 3140"
"Lynchburg City",51680,9.6,7481,"2699 of 3140"
"Franklin City",51620,10.6,869,"2875 of 3140"
"Harrisonburg City",51660,10.8,5689,"2912 of 3140"
"Norfolk City",51710,11.6,28068,"3005 of 3140"
"Richmond City",51760,11.6,25310,"3010 of 3140"
"Roanoke City",51770,11.7,11439,"3014 of 3140"
"Montgomery County",51121,12.1,11692,"3041 of 3140"
"Petersburg City",51730,12.2,3864,"3045 of 3140"
"Williamsburg City",51830,13.2,1937,"3089 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
