------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Otter Tail County",27111,2.9,1181,"818 of 3141"
"Winona County",27169,2.9,904,"825 of 3141"
"Nicollet County",27103,3.0,646,"866 of 3141"
"Lincoln County",27081,3.0,120,"872 of 3141"
"Lac qui Parle County",27073,3.0,150,"883 of 3141"
"Waseca County",27161,3.0,389,"891 of 3141"
"Meeker County",27093,3.0,475,"899 of 3141"
"Kittson County",27069,3.0,95,"925 of 3141"
"Wilkin County",27167,3.1,138,"934 of 3141"
"McLeod County",27085,3.1,760,"938 of 3141"
"Steele County",27147,3.1,763,"962 of 3141"
"Lyon County",27083,3.3,544,"1052 of 3141"
"Norman County",27107,3.3,151,"1068 of 3141"
"Roseau County",27135,3.3,348,"1084 of 3141"
"Polk County",27119,3.4,709,"1098 of 3141"
"Hennepin County",27053,3.4,28565,"1111 of 3141"
"Swift County",27151,3.5,231,"1158 of 3141"
"Lake of the Woods County",27077,3.8,107,"1325 of 3141"
"Wadena County",27159,3.8,352,"1350 of 3141"
"Mahnomen County",27087,3.8,129,"1371 of 3141"
"Yellow Medicine County",27173,3.9,270,"1386 of 3141"
"Brown County",27015,3.9,677,"1395 of 3141"
"Freeborn County",27047,4.0,872,"1427 of 3141"
"Rice County",27131,4.0,1660,"1446 of 3141"
"Morrison County",27097,4.0,917,"1448 of 3141"
"Faribault County",27043,4.1,408,"1464 of 3141"
"Stearns County",27145,4.1,3934,"1499 of 3141"
"Redwood County",27127,4.2,438,"1512 of 3141"
"Stevens County",27149,4.5,258,"1657 of 3141"
"Cottonwood County",27033,4.5,356,"1669 of 3141"
"Sibley County",27143,4.5,462,"1673 of 3141"
"Fillmore County",27045,4.5,649,"1676 of 3141"
"Marshall County",27089,4.7,306,"1740 of 3141"
"Rock County",27133,4.8,307,"1796 of 3141"
"Renville County",27129,5.0,513,"1851 of 3141"
"Clearwater County",27029,5.0,304,"1870 of 3141"
"Big Stone County",27011,5.1,186,"1875 of 3141"
"Traverse County",27155,5.2,125,"1900 of 3141"
"Ramsey County",27123,5.4,19194,"1988 of 3141"
"Murray County",27101,5.6,340,"2060 of 3141"
"Kandiyohi County",27067,5.8,1663,"2140 of 3141"
"Chippewa County",27023,6.0,497,"2204 of 3141"
"Pipestone County",27117,6.2,392,"2269 of 3141"
"Mower County",27099,6.5,1732,"2354 of 3141"
"Todd County",27153,6.6,1103,"2370 of 3141"
"Watonwan County",27165,8.8,646,"2756 of 3141"
"Nobles County",27105,14.1,1969,"3042 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
