------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Cook County",27031,50.5,2661,"1676 of 3141"
"Washington County",27163,50.5,126772,"1693 of 3141"
"Cottonwood County",27033,50.5,5777,"1694 of 3141"
"Big Stone County",27011,50.6,2550,"1806 of 3141"
"Winona County",27169,50.6,25809,"1820 of 3141"
"Hennepin County",27053,50.6,620134,"1859 of 3141"
"Clay County",27027,50.7,31427,"1893 of 3141"
"Dakota County",27037,50.8,210639,"2051 of 3141"
"Rock County",27133,50.8,4792,"2053 of 3141"
"Olmsted County",27109,51.1,77477,"2330 of 3141"
"Ramsey County",27123,51.3,276110,"2550 of 3141"
"Pipestone County",27117,51.4,4748,"2623 of 3141"
"Waseca County",27161,52.5,9920,"3003 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
