------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=03&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '03', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=03&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"Amer. Indian/Alaskan Native (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Matanuska-Susitna Borough(6,10)",02170,***,554 ,441.9, 683.9,27,stable,-3.7 ,-26.6, 26.4
"Valdez-Cordova Census Area(6,10)",02261,***,548.5 ,371.4, 777,7,stable,-3.3 ,-8.9, 2.5
"Ketchikan Gateway Borough(6,10)",02130,***,536.1 ,399.7, 702.2,11,stable,-6.1 ,-40.1, 47.1
"Wrangell-Petersburg Census Area(6,10)",02280,***,530.7 ,354.5, 766.6,6,stable,-5.2 ,-26.4, 22.2
"Lake and Peninsula Borough(6,10)",02164,***,480.7 ,302.3, 724.3,5,stable,-16.5 ,-42.0, 20.1
"Dillingham Census Area(6,10)",02070,***,463 ,355.7, 591.4,14,stable,-3.6 ,-24.8, 23.7
"Aleutians East Borough(6,10)",02013,***,399.6 ,224, 658.1,3,stable,-4.1 ,-35.5, 42.6
"Northwest Arctic Borough(6,10)",02188,***,395.4 ,314.6, 489.6,17,stable,-7.3 ,-22.2, 10.5
"Bethel Census Area(6,10)",02050,***,380.6 ,322.4, 445.6,36,stable,13.2 ,-15.6, 51.8
"Wade Hampton Census Area(6,10)",02270,***,369.2 ,288, 464.7,16,stable,8.5 ,-23.2, 53.4
"Skagway-Hoonah-Angoon Census Area(6,10)",02232,***,365.2 ,225.4, 565,5,stable,0.8 ,-53.6, 119.1
"Sitka City and Borough(6,10)",02220,***,333.8 ,226.3, 475.9,6,stable,-14.3 ,-51.7, 52.0
"Bristol Bay Borough(6,10)",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough(6,10)",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Haines Borough(6,10)",02100,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough(6,10)",02282,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.

*** No Healthy People 2020 Objective for this cancer.

"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission.

"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

 Statistics for minorities may be affected by inconsistent race identification between the cancer case reports (sources for numerator of rate) and data from the Census Bureau (source for denominator of rate); and from undercounts of some population groups in the census.
Data for United States does not include Puerto Rico.
