------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Adair County",19001,9.5,661,"452 of 3141"
"O'Brien County",19141,9.7,1328,"483 of 3141"
"Iowa County",19095,9.8,1555,"495 of 3141"
"Lucas County",19117,9.9,828,"514 of 3141"
"Kossuth County",19109,10.0,1488,"540 of 3141"
"Greene County",19073,10.0,892,"545 of 3141"
"Guthrie County",19077,10.1,1063,"549 of 3141"
"Worth County",19195,10.1,741,"550 of 3141"
"Winnebago County",19189,10.1,998,"552 of 3141"
"Carroll County",19027,10.3,2053,"579 of 3141"
"Ida County",19093,10.3,701,"590 of 3141"
"Clayton County",19043,10.4,1806,"600 of 3141"
"Harrison County",19085,10.4,1452,"614 of 3141"
"Muscatine County",19139,10.5,4442,"629 of 3141"
"Poweshiek County",19157,10.7,1777,"657 of 3141"
"Ringgold County",19159,10.9,518,"684 of 3141"
"Monroe County",19135,10.9,846,"692 of 3141"
"Taylor County",19173,11.0,668,"709 of 3141"
"Fremont County",19071,11.0,748,"712 of 3141"
"Louisa County",19115,11.0,1222,"716 of 3141"
"Audubon County",19009,11.1,614,"738 of 3141"
"Keokuk County",19107,11.2,1130,"752 of 3141"
"Pottawattamie County",19155,11.2,10191,"754 of 3141"
"Marshall County",19127,11.2,4422,"755 of 3141"
"Adams County",19003,11.2,418,"760 of 3141"
"Cerro Gordo County",19033,11.3,4773,"783 of 3141"
"Osceola County",19143,11.4,689,"793 of 3141"
"Allamakee County",19005,11.4,1550,"794 of 3141"
"Howard County",19089,11.6,1051,"839 of 3141"
"Polk County",19153,11.7,53570,"861 of 3141"
"Tama County",19171,11.8,1968,"873 of 3141"
"Clay County",19041,11.8,1879,"876 of 3141"
"Cherokee County",19035,11.9,1307,"901 of 3141"
"Dubuque County",19061,11.9,11051,"908 of 3141"
"Jackson County",19097,12.0,2293,"924 of 3141"
"Henry County",19087,12.2,2255,"958 of 3141"
"Scott County",19163,12.3,20615,"964 of 3141"
"Wright County",19197,12.6,1585,"1020 of 3141"
"Fayette County",19065,12.8,2472,"1054 of 3141"
"Humboldt County",19091,13.0,1226,"1114 of 3141"
"Clinton County",19045,13.1,6094,"1142 of 3141"
"Pocahontas County",19151,13.2,898,"1160 of 3141"
"Page County",19145,13.6,1963,"1259 of 3141"
"Davis County",19051,13.7,1196,"1287 of 3141"
"Buena Vista County",19021,13.7,2654,"1289 of 3141"
"Union County",19175,13.8,1682,"1300 of 3141"
"Emmet County",19063,13.8,1212,"1307 of 3141"
"Van Buren County",19177,14.0,1014,"1346 of 3141"
"Woodbury County",19193,14.0,13969,"1350 of 3141"
"Mahaska County",19123,14.4,3116,"1420 of 3141"
"Monona County",19133,14.9,1284,"1508 of 3141"
"Cass County",19029,15.1,1970,"1550 of 3141"
"Jefferson County",19101,15.2,2510,"1570 of 3141"
"Calhoun County",19025,15.3,1381,"1596 of 3141"
"Des Moines County",19057,15.3,5985,"1597 of 3141"
"Clarke County",19039,15.4,1394,"1610 of 3141"
"Floyd County",19067,15.6,2438,"1645 of 3141"
"Franklin County",19069,15.6,1586,"1648 of 3141"
"Wayne County",19185,15.9,1001,"1718 of 3141"
"Black Hawk County",19013,15.9,20292,"1722 of 3141"
"Webster County",19187,16.2,5539,"1775 of 3141"
"Lee County",19111,16.3,5504,"1789 of 3141"
"Montgomery County",19137,16.5,1653,"1827 of 3141"
"Wapello County",19179,17.0,5862,"1942 of 3141"
"Appanoose County",19007,17.1,2108,"1959 of 3141"
"Johnson County",19103,17.7,24026,"2073 of 3141"
"Crawford County",19047,18.5,3136,"2234 of 3141"
"Decatur County",19053,19.1,1403,"2311 of 3141"
"Story County",19169,22.0,18822,"2649 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
