------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Cherokee County",19035,96.6,11184,"1731 of 3141"
"Clay County",19041,96.7,15845,"1755 of 3141"
"Story County",19169,96.7,92755,"1771 of 3141"
"Page County",19145,96.8,14898,"1790 of 3141"
"Linn County",19113,96.9,213218,"1839 of 3141"
"Poweshiek County",19157,96.9,17860,"1843 of 3141"
"Clinton County",19045,97.0,46139,"1864 of 3141"
"Des Moines County",19057,97.1,38708,"1909 of 3141"
"Jefferson County",19101,97.1,17427,"1923 of 3141"
"Mills County",19129,97.2,14510,"1949 of 3141"
"Worth County",19195,97.2,7290,"1953 of 3141"
"Shelby County",19165,97.2,11442,"1965 of 3141"
"Union County",19175,97.2,12150,"1981 of 3141"
"Monroe County",19135,97.2,7694,"1991 of 3141"
"Sac County",19161,97.3,9666,"2015 of 3141"
"Greene County",19073,97.3,8802,"2030 of 3141"
"Decatur County",19053,97.3,7888,"2039 of 3141"
"Warren County",19181,97.4,47362,"2063 of 3141"
"Fremont County",19071,97.5,6808,"2099 of 3141"
"Boone County",19015,97.5,25716,"2111 of 3141"
"Lyon County",19119,97.5,11450,"2114 of 3141"
"Floyd County",19067,97.5,15505,"2115 of 3141"
"Iowa County",19095,97.5,15830,"2134 of 3141"
"Cass County",19029,97.6,13005,"2154 of 3141"
"Palo Alto County",19147,97.6,8893,"2172 of 3141"
"Guthrie County",19077,97.6,10412,"2178 of 3141"
"Carroll County",19027,97.6,19947,"2183 of 3141"
"Dubuque County",19061,97.7,94343,"2210 of 3141"
"Fayette County",19065,97.7,19684,"2240 of 3141"
"Kossuth County",19109,97.8,14828,"2251 of 3141"
"Ringgold County",19159,97.8,4875,"2252 of 3141"
"Chickasaw County",19037,97.8,11873,"2268 of 3141"
"Winneshiek County",19191,97.8,20129,"2284 of 3141"
"Ida County",19093,97.9,6821,"2349 of 3141"
"Mahaska County",19123,98.0,21853,"2372 of 3141"
"Jasper County",19099,98.0,36051,"2376 of 3141"
"Dickinson County",19059,98.1,16679,"2441 of 3141"
"Cedar County",19031,98.1,18022,"2443 of 3141"
"Clayton County",19043,98.1,17379,"2451 of 3141"
"Marion County",19125,98.1,32513,"2462 of 3141"
"Calhoun County",19025,98.2,9634,"2471 of 3141"
"Madison County",19121,98.2,15432,"2472 of 3141"
"Appanoose County",19007,98.2,12320,"2488 of 3141"
"Jones County",19105,98.2,20102,"2502 of 3141"
"Adair County",19001,98.3,7068,"2538 of 3141"
"Harrison County",19085,98.4,13967,"2600 of 3141"
"Howard County",19089,98.5,9177,"2650 of 3141"
"Keokuk County",19107,98.5,10069,"2673 of 3141"
"Buchanan County",19019,98.5,20789,"2698 of 3141"
"Bremer County",19017,98.6,24388,"2736 of 3141"
"Benton County",19011,98.6,25286,"2749 of 3141"
"Delaware County",19055,98.6,17085,"2760 of 3141"
"Jackson County",19097,98.6,19140,"2762 of 3141"
"Van Buren County",19177,98.6,7208,"2767 of 3141"
"Mitchell County",19131,98.7,10521,"2786 of 3141"
"Davis County",19051,98.7,8719,"2802 of 3141"
"Butler County",19023,98.7,14631,"2811 of 3141"
"Grundy County",19075,98.8,12206,"2862 of 3141"
"Adams County",19003,98.8,3740,"2866 of 3141"
"Monona County",19133,99.2,8794,"2997 of 3141"
"Wayne County",19185,99.5,6370,"3054 of 3141"
"Audubon County",19009,99.6,5687,"3081 of 3141"
"Lucas County",19117,99.9,8590,"3128 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
