------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Mills County",19129,7.4,760,"420 of 3141"
"Plymouth County",19149,7.4,1240,"431 of 3141"
"Hamilton County",19079,7.4,792,"437 of 3141"
"Iowa County",19095,7.5,843,"454 of 3141"
"O'Brien County",19141,7.6,731,"465 of 3141"
"Butler County",19023,7.6,790,"470 of 3141"
"Guthrie County",19077,7.6,571,"479 of 3141"
"Scott County",19163,7.6,8781,"481 of 3141"
"Lee County",19111,7.7,1873,"494 of 3141"
"Worth County",19195,7.7,403,"502 of 3141"
"Greene County",19073,7.7,490,"505 of 3141"
"Keokuk County",19107,7.7,553,"508 of 3141"
"Dubuque County",19061,7.7,4960,"511 of 3141"
"Jones County",19105,7.7,1126,"513 of 3141"
"Sac County",19161,7.9,555,"539 of 3141"
"Pocahontas County",19151,7.9,394,"546 of 3141"
"Henry County",19087,7.9,1080,"553 of 3141"
"Des Moines County",19057,8.0,2202,"562 of 3141"
"Harrison County",19085,8.0,791,"570 of 3141"
"Ringgold County",19159,8.0,281,"588 of 3141"
"Mahaska County",19123,8.1,1220,"613 of 3141"
"Hardin County",19083,8.2,986,"617 of 3141"
"Humboldt County",19091,8.2,548,"619 of 3141"
"Clinton County",19045,8.3,2717,"630 of 3141"
"Winnebago County",19189,8.4,614,"661 of 3141"
"Jackson County",19097,8.5,1160,"678 of 3141"
"Polk County",19153,8.6,26441,"691 of 3141"
"Washington County",19183,8.6,1284,"692 of 3141"
"Delaware County",19055,8.6,1016,"698 of 3141"
"Webster County",19187,8.6,2133,"707 of 3141"
"Union County",19175,8.7,738,"715 of 3141"
"Clayton County",19043,8.8,1105,"736 of 3141"
"Tama County",19171,8.9,1039,"752 of 3141"
"Montgomery County",19137,8.9,633,"754 of 3141"
"Monona County",19133,8.9,577,"762 of 3141"
"Shelby County",19165,8.9,739,"765 of 3141"
"Black Hawk County",19013,8.9,7433,"766 of 3141"
"Taylor County",19173,9.0,390,"778 of 3141"
"Fayette County",19065,9.0,1256,"802 of 3141"
"Chickasaw County",19037,9.2,766,"826 of 3141"
"Cherokee County",19035,9.3,770,"852 of 3141"
"Clarke County",19039,9.4,596,"880 of 3141"
"Lyon County",19119,9.4,718,"894 of 3141"
"Audubon County",19009,9.5,392,"899 of 3141"
"Mitchell County",19131,9.5,689,"907 of 3141"
"Wright County",19197,9.5,855,"927 of 3141"
"Monroe County",19135,9.8,527,"983 of 3141"
"Sioux County",19167,10.0,2063,"1034 of 3141"
"Floyd County",19067,10.1,1114,"1044 of 3141"
"Page County",19145,10.2,1129,"1070 of 3141"
"Emmet County",19063,10.3,668,"1093 of 3141"
"Pottawattamie County",19155,10.3,6499,"1123 of 3141"
"Appanoose County",19007,10.4,928,"1128 of 3141"
"Howard County",19089,10.4,663,"1145 of 3141"
"Cass County",19029,10.6,994,"1177 of 3141"
"Wayne County",19185,10.7,469,"1207 of 3141"
"Franklin County",19069,10.8,775,"1225 of 3141"
"Van Buren County",19177,12.4,630,"1569 of 3141"
"Wapello County",19179,12.6,3029,"1604 of 3141"
"Osceola County",19143,12.6,540,"1609 of 3141"
"Muscatine County",19139,13.0,3685,"1671 of 3141"
"Allamakee County",19005,13.1,1283,"1697 of 3141"
"Decatur County",19053,14.0,685,"1819 of 3141"
"Woodbury County",19193,14.2,9247,"1862 of 3141"
"Davis County",19051,14.7,820,"1938 of 3141"
"Marshall County",19127,14.9,3997,"1974 of 3141"
"Louisa County",19115,18.5,1420,"2422 of 3141"
"Buena Vista County",19021,20.6,2630,"2652 of 3141"
"Crawford County",19047,21.3,2368,"2719 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:57 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
