------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Palo Alto County",19147,1.3,115,"982 of 3140"
"Marshall County",19127,1.3,525,"1032 of 3140"
"Fayette County",19065,1.4,268,"1073 of 3140"
"Buchanan County",19019,1.4,283,"1081 of 3140"
"Cass County",19029,1.4,179,"1082 of 3140"
"Ringgold County",19159,1.4,67,"1088 of 3140"
"Union County",19175,1.4,171,"1126 of 3140"
"Warren County",19181,1.4,676,"1144 of 3140"
"Adair County",19001,1.4,103,"1188 of 3140"
"Sac County",19161,1.5,145,"1220 of 3140"
"Worth County",19195,1.5,111,"1250 of 3140"
"Davis County",19051,1.5,132,"1290 of 3140"
"Monona County",19133,1.5,135,"1295 of 3140"
"Hamilton County",19079,1.5,232,"1304 of 3140"
"Guthrie County",19077,1.6,168,"1348 of 3140"
"Harrison County",19085,1.6,228,"1393 of 3140"
"Cerro Gordo County",19033,1.6,701,"1423 of 3140"
"O'Brien County",19141,1.7,227,"1440 of 3140"
"Monroe County",19135,1.7,130,"1444 of 3140"
"Cherokee County",19035,1.7,191,"1452 of 3140"
"Appanoose County",19007,1.7,208,"1463 of 3140"
"Madison County",19121,1.7,263,"1478 of 3140"
"Clayton County",19043,1.7,299,"1489 of 3140"
"Van Buren County",19177,1.7,125,"1519 of 3140"
"Bremer County",19017,1.8,449,"1627 of 3140"
"Hardin County",19083,1.8,315,"1653 of 3140"
"Wapello County",19179,1.9,644,"1654 of 3140"
"Lucas County",19117,1.9,161,"1685 of 3140"
"Black Hawk County",19013,2.0,2627,"1787 of 3140"
"Greene County",19073,2.0,182,"1813 of 3140"
"Allamakee County",19005,2.0,282,"1823 of 3140"
"Floyd County",19067,2.1,328,"1859 of 3140"
"Plymouth County",19149,2.2,544,"1958 of 3140"
"Jefferson County",19101,2.2,395,"1977 of 3140"
"Taylor County",19173,2.2,137,"1980 of 3140"
"Clinton County",19045,2.3,1085,"2026 of 3140"
"Dickinson County",19059,2.3,393,"2053 of 3140"
"Lee County",19111,2.4,808,"2066 of 3140"
"Webster County",19187,2.4,864,"2071 of 3140"
"Wright County",19197,2.4,305,"2100 of 3140"
"Shelby County",19165,2.4,281,"2106 of 3140"
"Washington County",19183,2.5,535,"2135 of 3140"
"Mahaska County",19123,2.5,552,"2150 of 3140"
"Kossuth County",19109,2.5,375,"2162 of 3140"
"Linn County",19113,2.5,5512,"2183 of 3140"
"Henry County",19087,2.5,499,"2190 of 3140"
"Winnebago County",19189,2.6,273,"2238 of 3140"
"Polk County",19153,2.7,12382,"2275 of 3140"
"Scott County",19163,2.8,4741,"2343 of 3140"
"Dallas County",19049,2.8,2265,"2364 of 3140"
"Buena Vista County",19021,2.9,582,"2393 of 3140"
"Howard County",19089,2.9,269,"2413 of 3140"
"Clay County",19041,2.9,474,"2420 of 3140"
"Wayne County",19185,2.9,186,"2423 of 3140"
"Poweshiek County",19157,3.0,555,"2468 of 3140"
"Boone County",19015,3.1,811,"2496 of 3140"
"Woodbury County",19193,3.1,3161,"2507 of 3140"
"Montgomery County",19137,3.1,319,"2517 of 3140"
"Osceola County",19143,3.2,192,"2530 of 3140"
"Decatur County",19053,3.4,277,"2641 of 3140"
"Page County",19145,3.5,530,"2658 of 3140"
"Mills County",19129,3.5,520,"2659 of 3140"
"Fremont County",19071,3.6,246,"2683 of 3140"
"Des Moines County",19057,3.7,1457,"2723 of 3140"
"Sioux County",19167,3.8,1306,"2753 of 3140"
"Winneshiek County",19191,3.9,800,"2779 of 3140"
"Dubuque County",19061,4.0,3837,"2800 of 3140"
"Pottawattamie County",19155,4.1,3810,"2829 of 3140"
"Emmet County",19063,4.4,424,"2887 of 3140"
"Johnson County",19103,4.9,7042,"2962 of 3140"
"Story County",19169,5.3,5065,"3004 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
