------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Ripley County",18137,97.2,27567,"278 of 3141"
"Pike County",18125,97.2,12120,"274 of 3141"
"Rush County",18139,97.2,16297,"267 of 3141"
"Ohio County",18115,97.2,5747,"265 of 3141"
"DeKalb County",18033,97.2,41354,"258 of 3141"
"Steuben County",18151,97.3,33515,"254 of 3141"
"Crawford County",18025,97.3,10309,"251 of 3141"
"Owen County",18119,97.3,20391,"242 of 3141"
"Morgan County",18109,97.4,67705,"225 of 3141"
"Clay County",18021,97.4,25694,"213 of 3141"
"Blackford County",18009,97.4,11901,"207 of 3141"
"Jay County",18075,97.5,20584,"189 of 3141"
"Martin County",18101,97.5,9966,"188 of 3141"
"Scott County",18143,97.6,23142,"182 of 3141"
"Fountain County",18045,97.6,16223,"169 of 3141"
"Benton County",18007,97.7,8482,"159 of 3141"
"LaGrange County",18087,97.8,37883,"123 of 3141"
"Greene County",18055,97.9,31737,"119 of 3141"
"Vermillion County",18165,97.9,15321,"107 of 3141"
"Warren County",18171,98.0,8100,"102 of 3141"
"Washington County",18175,98.2,27306,"65 of 3141"
"Franklin County",18047,99.0,22600,"26 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
