------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Sullivan County",18153,87.9,18119,"1295 of 3140"
"Randolph County",18135,88.0,21903,"1286 of 3140"
"Wells County",18179,88.0,24197,"1262 of 3140"
"Elkhart County",18039,88.0,175830,"1259 of 3140"
"Warrick County",18173,88.1,53851,"1219 of 3140"
"Hancock County",18059,88.2,63651,"1204 of 3140"
"Pulaski County",18131,88.3,11180,"1169 of 3140"
"Daviess County",18027,88.6,28606,"1081 of 3140"
"Jay County",18075,88.6,18511,"1069 of 3140"
"Dearborn County",18029,88.7,43554,"1050 of 3140"
"Clark County",18019,88.7,100604,"1036 of 3140"
"Jasper County",18073,88.8,29305,"995 of 3140"
"Perry County",18123,88.9,16899,"965 of 3140"
"Marshall County",18099,88.9,41139,"948 of 3140"
"Clay County",18021,89.0,23171,"944 of 3140"
"LaGrange County",18087,89.0,33965,"940 of 3140"
"Fulton County",18049,89.0,17850,"921 of 3140"
"Shelby County",18145,89.0,38981,"900 of 3140"
"Tipton County",18159,89.3,13513,"831 of 3140"
"Carroll County",18015,89.4,17699,"798 of 3140"
"Pike County",18125,89.6,11051,"746 of 3140"
"Gibson County",18051,89.6,29747,"731 of 3140"
"Orange County",18117,89.7,17376,"722 of 3140"
"Starke County",18149,89.7,20341,"720 of 3140"
"Floyd County",18043,89.9,67996,"650 of 3140"
"Blackford County",18009,90.0,10823,"647 of 3140"
"Lawrence County",18093,90.0,40530,"639 of 3140"
"Brown County",18013,90.1,13390,"596 of 3140"
"Ripley County",18137,90.2,25284,"583 of 3140"
"Washington County",18175,90.4,24865,"538 of 3140"
"Franklin County",18047,90.9,20547,"434 of 3140"
"Posey County",18129,90.9,23043,"425 of 3140"
"Martin County",18101,91.0,9187,"408 of 3140"
"Spencer County",18147,91.3,18628,"356 of 3140"
"Vermillion County",18165,91.5,14190,"310 of 3140"
"Dubois County",18037,91.7,38220,"276 of 3140"
"Harrison County",18061,91.9,35913,"247 of 3140"
"Crawford County",18025,92.2,9655,"213 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
