------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"McDonald County",29119,1.8,418,"1672 of 3141"
"Lincoln County",29113,1.9,1022,"1665 of 3141"
"Texas County",29215,2.0,511,"1633 of 3141"
"Shelby County",29205,2.0,121,"1631 of 3141"
"Clinton County",29049,2.0,409,"1629 of 3141"
"Lafayette County",29107,2.0,662,"1624 of 3141"
"Jasper County",29097,2.2,2572,"1587 of 3141"
"Warren County",29219,2.3,779,"1552 of 3141"
"Macon County",29121,2.4,362,"1545 of 3141"
"Washington County",29221,2.4,594,"1542 of 3141"
"Chariton County",29041,2.4,181,"1538 of 3141"
"Adair County",29001,2.4,617,"1528 of 3141"
"Ste. Genevieve County",29186,2.6,456,"1492 of 3141"
"Nodaway County",29147,2.7,606,"1473 of 3141"
"Phelps County",29161,2.7,1223,"1463 of 3141"
"Livingston County",29117,2.8,417,"1453 of 3141"
"Pettis County",29159,2.8,1203,"1438 of 3141"
"Lewis County",29111,2.9,297,"1417 of 3141"
"Greene County",29077,3.3,9408,"1363 of 3141"
"Moniteau County",29135,3.4,545,"1340 of 3141"
"Monroe County",29137,3.4,299,"1329 of 3141"
"Cass County",29037,3.7,3795,"1301 of 3141"
"St. Charles County",29183,4.3,16439,"1219 of 3141"
"Callaway County",29027,4.3,1937,"1211 of 3141"
"St. Francois County",29187,4.4,2883,"1206 of 3141"
"Johnson County",29101,4.5,2445,"1189 of 3141"
"Saline County",29195,4.7,1084,"1172 of 3141"
"Howard County",29089,5.1,514,"1133 of 3141"
"Marion County",29127,5.3,1518,"1107 of 3141"
"Butler County",29023,5.4,2305,"1100 of 3141"
"Buchanan County",29021,5.6,4964,"1083 of 3141"
"Clay County",29047,5.7,13471,"1069 of 3141"
"Randolph County",29175,5.8,1442,"1063 of 3141"
"Audrain County",29007,6.1,1572,"1027 of 3141"
"Pike County",29163,6.2,1154,"1016 of 3141"
"Cooper County",29053,6.5,1144,"996 of 3141"
"Platte County",29165,6.8,6555,"981 of 3141"
"Cape Girardeau County",29031,7.9,6172,"903 of 3141"
"Boone County",29019,8.5,14901,"872 of 3141"
"Dunklin County",29069,9.7,3003,"807 of 3141"
"DeKalb County",29063,9.8,1231,"802 of 3141"
"Scott County",29201,11.4,4441,"727 of 3141"
"Cole County",29051,11.7,8946,"717 of 3141"
"Pulaski County",29169,12.5,6620,"697 of 3141"
"New Madrid County",29143,16.1,2906,"588 of 3141"
"Jackson County",29095,23.6,162606,"434 of 3141"
"St. Louis County",29189,23.7,237302,"428 of 3141"
"Mississippi County",29133,24.1,3357,"423 of 3141"
"Pemiscot County",29155,27.2,4717,"371 of 3141"
"St. Louis City",29510,47.6,149895,"117 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
