------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Montgomery County",29139,12.9,1054,"2681 of 3141"
"Dent County",29065,12.9,1414,"2680 of 3141"
"Clark County",29045,13.2,626,"2626 of 3141"
"Ralls County",29173,13.2,958,"2625 of 3141"
"St. Francois County",29187,13.3,6149,"2619 of 3141"
"Ozark County",29153,13.6,946,"2570 of 3141"
"Maries County",29125,13.6,862,"2569 of 3141"
"Scott County",29201,13.6,3590,"2563 of 3141"
"St. Clair County",29185,13.6,954,"2562 of 3141"
"Laclede County",29105,13.7,3298,"2550 of 3141"
"Audrain County",29007,13.7,2417,"2540 of 3141"
"Texas County",29215,13.8,2463,"2530 of 3141"
"Cedar County",29039,13.8,1327,"2529 of 3141"
"Schuyler County",29197,14.0,407,"2501 of 3141"
"Stoddard County",29207,14.1,2918,"2471 of 3141"
"Shannon County",29203,14.2,829,"2454 of 3141"
"Lewis County",29111,14.4,941,"2429 of 3141"
"Monroe County",29137,14.4,888,"2426 of 3141"
"Ray County",29177,14.4,2270,"2424 of 3141"
"DeKalb County",29063,14.5,1365,"2399 of 3141"
"Harrison County",29081,14.5,859,"2394 of 3141"
"Randolph County",29175,14.6,2505,"2373 of 3141"
"Linn County",29115,14.8,1244,"2343 of 3141"
"Bates County",29013,15.0,1678,"2315 of 3141"
"Dade County",29057,15.1,821,"2286 of 3141"
"Macon County",29121,15.3,1612,"2257 of 3141"
"Howell County",29091,15.4,4178,"2231 of 3141"
"Pike County",29163,15.5,1983,"2205 of 3141"
"Ste. Genevieve County",29186,15.6,1954,"2200 of 3141"
"Lincoln County",29113,15.7,5622,"2187 of 3141"
"Webster County",29225,15.7,3829,"2176 of 3141"
"Shelby County",29205,15.7,659,"2173 of 3141"
"Knox County",29103,15.9,428,"2140 of 3141"
"Henry County",29083,15.9,2470,"2128 of 3141"
"Lawrence County",29109,15.9,4059,"2126 of 3141"
"Butler County",29023,15.9,4674,"2123 of 3141"
"Miller County",29131,16.0,2727,"2108 of 3141"
"Perry County",29157,16.3,2123,"2048 of 3141"
"Chariton County",29041,16.4,876,"2040 of 3141"
"Carroll County",29033,17.1,1057,"1916 of 3141"
"Gasconade County",29073,17.1,1816,"1910 of 3141"
"Vernon County",29217,17.3,2395,"1881 of 3141"
"Daviess County",29061,17.3,957,"1879 of 3141"
"Barton County",29011,17.4,1408,"1862 of 3141"
"Caldwell County",29025,17.4,1082,"1851 of 3141"
"Moniteau County",29135,17.5,1884,"1843 of 3141"
"Mercer County",29129,17.6,437,"1826 of 3141"
"Pettis County",29159,17.7,4965,"1810 of 3141"
"Taney County",29213,17.8,6621,"1800 of 3141"
"Grundy County",29079,17.9,1220,"1775 of 3141"
"Putnam County",29171,18.1,623,"1738 of 3141"
"Lafayette County",29107,18.3,4127,"1702 of 3141"
"Stone County",29209,18.4,4447,"1688 of 3141"
"Clinton County",29049,18.5,2609,"1673 of 3141"
"Warren County",29219,18.7,4310,"1635 of 3141"
"Saline County",29195,18.7,2833,"1625 of 3141"
"Osage County",29151,18.8,1733,"1610 of 3141"
"Livingston County",29117,18.8,2005,"1608 of 3141"
"Worth County",29227,19.1,284,"1563 of 3141"
"Newton County",29145,19.4,7581,"1503 of 3141"
"Jefferson County",29099,19.8,30072,"1441 of 3141"
"Buchanan County",29021,19.9,12015,"1413 of 3141"
"Gentry County",29075,20.0,903,"1405 of 3141"
"Polk County",29167,20.3,4056,"1347 of 3141"
"Franklin County",29071,20.4,14311,"1332 of 3141"
"Cooper County",29053,20.7,2518,"1278 of 3141"
"Marion County",29127,20.9,4033,"1248 of 3141"
"Callaway County",29027,21.6,6541,"1162 of 3141"
"Holt County",29087,21.7,729,"1141 of 3141"
"Camden County",29029,22.0,7401,"1118 of 3141"
"Jasper County",29097,22.7,17518,"1022 of 3141"
"Atchison County",29005,23.3,916,"954 of 3141"
"Andrew County",29003,25.1,3026,"792 of 3141"
"Howard County",29089,25.5,1679,"768 of 3141"
"Cass County",29037,25.8,17656,"746 of 3141"
"Pulaski County",29169,25.8,7541,"742 of 3141"
"Nodaway County",29147,26.8,3369,"662 of 3141"
"Christian County",29043,27.9,15413,"591 of 3141"
"Johnson County",29101,28.4,8775,"569 of 3141"
"Phelps County",29161,28.7,7981,"552 of 3141"
"Cape Girardeau County",29031,29.8,14932,"497 of 3141"
"Jackson County",29095,30.2,140179,"474 of 3141"
"Greene County",29077,30.5,56813,"456 of 3141"
"Adair County",29001,31.0,4166,"423 of 3141"
"Cole County",29051,31.4,16445,"403 of 3141"
"Clay County",29047,31.9,50594,"375 of 3141"
"St. Louis City",29510,34.1,75108,"295 of 3141"
"St. Charles County",29183,37.1,96078,"216 of 3141"
"Platte County",29165,41.5,27267,"133 of 3141"
"St. Louis County",29189,42.8,294837,"114 of 3141"
"Boone County",29019,45.9,47549,"82 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
