------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Perry County",29157,1.4,106,"2132 of 3141"
"Reynolds County",29179,1.4,37,"2132 of 3141"
"Carroll County",29033,1.4,51,"2130 of 3141"
"Boone County",29019,1.4,982,"2110 of 3141"
"Butler County",29023,1.4,238,"2096 of 3141"
"DeKalb County",29063,1.5,58,"2019 of 3141"
"Camden County",29029,1.5,246,"2018 of 3141"
"St. Clair County",29185,1.5,63,"1998 of 3141"
"Gasconade County",29073,1.5,94,"1984 of 3141"
"Moniteau County",29135,1.5,83,"1974 of 3141"
"Miller County",29131,1.5,147,"1973 of 3141"
"Stone County",29209,1.6,203,"1937 of 3141"
"Livingston County",29117,1.6,93,"1920 of 3141"
"Jackson County",29095,1.6,4491,"1917 of 3141"
"Greene County",29077,1.6,1943,"1889 of 3141"
"Jefferson County",29099,1.6,1367,"1878 of 3141"
"Howard County",29089,1.6,61,"1868 of 3141"
"Gentry County",29075,1.7,44,"1860 of 3141"
"Cape Girardeau County",29031,1.7,491,"1852 of 3141"
"Marion County",29127,1.7,188,"1847 of 3141"
"Franklin County",29071,1.7,680,"1835 of 3141"
"Ste. Genevieve County",29186,1.7,121,"1825 of 3141"
"Chariton County",29041,1.7,48,"1813 of 3141"
"Phelps County",29161,1.7,293,"1808 of 3141"
"Pulaski County",29169,1.7,263,"1790 of 3141"
"Ralls County",29173,1.8,70,"1756 of 3141"
"St. Louis City",29510,1.8,2510,"1717 of 3141"
"Ray County",29177,1.8,156,"1713 of 3141"
"Madison County",29123,1.8,88,"1699 of 3141"
"Cass County",29037,1.8,703,"1690 of 3141"
"Lewis County",29111,1.9,70,"1632 of 3141"
"Vernon County",29217,1.9,153,"1621 of 3141"
"Ripley County",29181,1.9,102,"1604 of 3141"
"Lafayette County",29107,1.9,256,"1563 of 3141"
"Christian County",29043,1.9,597,"1558 of 3141"
"Henry County",29083,2.0,182,"1540 of 3141"
"Lincoln County",29113,2.0,367,"1537 of 3141"
"Benton County",29015,2.0,161,"1482 of 3141"
"Dade County",29057,2.1,65,"1410 of 3141"
"Howell County",29091,2.1,339,"1410 of 3141"
"Newton County",29145,2.1,466,"1395 of 3141"
"Jasper County",29097,2.1,971,"1388 of 3141"
"Dent County",29065,2.1,129,"1377 of 3141"
"Wayne County",29223,2.2,121,"1295 of 3141"
"Shelby County",29205,2.2,54,"1294 of 3141"
"Montgomery County",29139,2.2,107,"1292 of 3141"
"Texas County",29215,2.2,206,"1286 of 3141"
"Johnson County",29101,2.2,444,"1267 of 3141"
"Buchanan County",29021,2.2,744,"1262 of 3141"
"Dunklin County",29069,2.3,296,"1181 of 3141"
"Dallas County",29059,2.3,143,"1177 of 3141"
"St. Francois County",29187,2.4,580,"1154 of 3141"
"Taney County",29213,2.4,521,"1151 of 3141"
"Pettis County",29159,2.4,380,"1131 of 3141"
"Maries County",29125,2.4,87,"1129 of 3141"
"Washington County",29221,2.4,219,"1094 of 3141"
"Polk County",29167,2.4,287,"1066 of 3141"
"New Madrid County",29143,2.5,181,"1043 of 3141"
"Bollinger County",29017,2.5,120,"1019 of 3141"
"Pemiscot County",29155,2.5,175,"986 of 3141"
"Bates County",29013,2.6,174,"957 of 3141"
"Iron County",29093,2.6,107,"936 of 3141"
"Saline County",29195,2.6,231,"933 of 3141"
"Douglas County",29067,2.7,140,"879 of 3141"
"Crawford County",29055,2.9,265,"798 of 3141"
"Ozark County",29153,2.9,120,"768 of 3141"
"Lawrence County",29109,3.0,438,"747 of 3141"
"Laclede County",29105,3.0,417,"733 of 3141"
"Barton County",29011,3.0,150,"718 of 3141"
"Sullivan County",29211,3.2,72,"656 of 3141"
"Barry County",29009,3.2,413,"654 of 3141"
"Caldwell County",29025,3.2,119,"639 of 3141"
"Harrison County",29081,3.2,114,"622 of 3141"
"Daviess County",29061,3.3,103,"576 of 3141"
"Wright County",29229,3.7,277,"460 of 3141"
"Scott County",29201,3.7,570,"446 of 3141"
"Scotland County",29199,3.8,71,"430 of 3141"
"Shannon County",29203,3.9,123,"406 of 3141"
"Carter County",29035,3.9,94,"403 of 3141"
"Grundy County",29079,3.9,158,"395 of 3141"
"Mercer County",29129,4.0,56,"371 of 3141"
"Warren County",29219,4.1,496,"353 of 3141"
"Webster County",29225,4.2,554,"341 of 3141"
"Mississippi County",29133,4.5,230,"282 of 3141"
"McDonald County",29119,6.5,531,"128 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
