------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Crawford County",29055,86.4,20754,"1844 of 3140"
"Cooper County",29053,86.4,15034,"1815 of 3140"
"Cass County",29037,86.5,87170,"1813 of 3140"
"Madison County",29123,86.5,10475,"1783 of 3140"
"Carroll County",29033,86.5,7548,"1771 of 3140"
"Stoddard County",29207,86.6,25401,"1759 of 3140"
"Ray County",29177,86.7,19534,"1697 of 3140"
"Ripley County",29181,86.8,11858,"1683 of 3140"
"Grundy County",29079,87.0,8665,"1629 of 3140"
"Stone County",29209,87.0,27194,"1615 of 3140"
"Caldwell County",29025,87.0,7820,"1603 of 3140"
"Jasper County",29097,87.1,102064,"1595 of 3140"
"McDonald County",29119,87.2,19519,"1540 of 3140"
"Holt County",29087,87.3,3872,"1510 of 3140"
"Knox County",29103,87.4,3434,"1465 of 3140"
"Warren County",29219,87.6,29068,"1398 of 3140"
"Franklin County",29071,87.7,88882,"1382 of 3140"
"Scotland County",29199,87.8,4182,"1347 of 3140"
"Miller County",29131,87.8,21608,"1344 of 3140"
"Ozark County",29153,87.8,8120,"1326 of 3140"
"Jefferson County",29099,87.8,193345,"1325 of 3140"
"Dallas County",29059,88.0,14264,"1263 of 3140"
"Daviess County",29061,88.1,7226,"1221 of 3140"
"Laclede County",29105,88.2,30872,"1201 of 3140"
"Shelby County",29205,88.3,5336,"1151 of 3140"
"Oregon County",29149,88.3,9395,"1150 of 3140"
"Schuyler County",29197,88.4,3870,"1129 of 3140"
"New Madrid County",29143,88.6,15790,"1062 of 3140"
"St. Charles County",29183,88.7,338117,"1031 of 3140"
"Andrew County",29003,88.7,15248,"1013 of 3140"
"Bollinger County",29017,88.9,10841,"979 of 3140"
"Montgomery County",29139,88.9,10217,"969 of 3140"
"Reynolds County",29179,89.1,5641,"890 of 3140"
"Wayne County",29223,89.2,11770,"868 of 3140"
"Gentry County",29075,89.2,5877,"848 of 3140"
"Atchison County",29005,89.3,4715,"823 of 3140"
"Mercer County",29129,89.4,3266,"791 of 3140"
"Monroe County",29137,89.5,7690,"774 of 3140"
"Ste. Genevieve County",29186,89.5,15899,"761 of 3140"
"Worth County",29227,89.6,1828,"743 of 3140"
"Lincoln County",29113,89.6,48518,"737 of 3140"
"Perry County",29157,89.7,16973,"718 of 3140"
"Osage County",29151,89.9,12057,"662 of 3140"
"Barton County",29011,90.0,10622,"635 of 3140"
"Howard County",29089,90.3,9079,"551 of 3140"
"Clark County",29045,90.5,6092,"523 of 3140"
"Macon County",29121,90.8,13783,"462 of 3140"
"Linn County",29115,91.0,11055,"411 of 3140"
"Putnam County",29171,91.3,4369,"354 of 3140"
"Washington County",29221,91.7,22682,"279 of 3140"
"Chariton County",29041,91.9,6894,"248 of 3140"
"Ralls County",29173,92.5,9206,"186 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
