------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Jasper County",29097,4.3,3319,"1567 of 3141"
"Audrain County",29007,4.3,757,"1574 of 3141"
"Osage County",29151,4.3,398,"1584 of 3141"
"Hickory County",29085,4.3,316,"1597 of 3141"
"Dade County",29057,4.4,238,"1610 of 3141"
"Macon County",29121,4.4,465,"1619 of 3141"
"Newton County",29145,4.4,1725,"1626 of 3141"
"Ste. Genevieve County",29186,4.4,559,"1643 of 3141"
"Howard County",29089,4.5,293,"1647 of 3141"
"Laclede County",29105,4.5,1075,"1648 of 3141"
"Gentry County",29075,4.5,202,"1654 of 3141"
"Carroll County",29033,4.5,280,"1678 of 3141"
"Callaway County",29027,4.6,1380,"1698 of 3141"
"Worth County",29227,4.6,68,"1702 of 3141"
"Gasconade County",29073,4.6,485,"1708 of 3141"
"Perry County",29157,4.6,600,"1719 of 3141"
"Texas County",29215,4.6,825,"1724 of 3141"
"St. Francois County",29187,4.7,2172,"1745 of 3141"
"Benton County",29015,4.7,682,"1746 of 3141"
"Lawrence County",29109,4.7,1205,"1766 of 3141"
"Linn County",29115,4.8,406,"1806 of 3141"
"Miller County",29131,4.9,829,"1819 of 3141"
"Randolph County",29175,4.9,836,"1828 of 3141"
"Ozark County",29153,5.1,355,"1881 of 3141"
"Butler County",29023,5.2,1516,"1902 of 3141"
"Phelps County",29161,5.2,1440,"1903 of 3141"
"Pike County",29163,5.5,706,"2029 of 3141"
"Clark County",29045,5.6,266,"2067 of 3141"
"Scott County",29201,5.6,1481,"2070 of 3141"
"Shannon County",29203,5.6,328,"2074 of 3141"
"Barton County",29011,5.6,456,"2076 of 3141"
"Douglas County",29067,5.7,548,"2092 of 3141"
"Webster County",29225,5.7,1391,"2103 of 3141"
"Montgomery County",29139,5.8,471,"2119 of 3141"
"Grundy County",29079,5.8,397,"2147 of 3141"
"Schuyler County",29197,5.9,171,"2163 of 3141"
"St. Clair County",29185,6.0,421,"2210 of 3141"
"Iron County",29093,6.1,454,"2246 of 3141"
"Carter County",29035,6.3,266,"2282 of 3141"
"Reynolds County",29179,6.3,292,"2298 of 3141"
"Maries County",29125,6.3,402,"2310 of 3141"
"Mercer County",29129,6.4,160,"2335 of 3141"
"Cedar County",29039,6.5,623,"2341 of 3141"
"Barry County",29009,6.7,1631,"2398 of 3141"
"Pettis County",29159,6.7,1886,"2407 of 3141"
"Oregon County",29149,6.9,523,"2441 of 3141"
"Ripley County",29181,6.9,666,"2448 of 3141"
"Harrison County",29081,6.9,411,"2456 of 3141"
"Stoddard County",29207,7.0,1442,"2462 of 3141"
"Saline County",29195,7.0,1060,"2466 of 3141"
"Dallas County",29059,7.0,800,"2479 of 3141"
"New Madrid County",29143,7.2,890,"2503 of 3141"
"Bollinger County",29017,7.2,622,"2504 of 3141"
"Madison County",29123,7.3,627,"2547 of 3141"
"Moniteau County",29135,7.5,809,"2572 of 3141"
"Knox County",29103,7.9,213,"2633 of 3141"
"Daviess County",29061,7.9,436,"2637 of 3141"
"Crawford County",29055,8.1,1362,"2657 of 3141"
"McDonald County",29119,8.2,1218,"2671 of 3141"
"Sullivan County",29211,8.6,383,"2737 of 3141"
"Wayne County",29223,8.7,835,"2742 of 3141"
"Wright County",29229,8.9,1101,"2767 of 3141"
"Washington County",29221,9.1,1566,"2782 of 3141"
"Dent County",29065,9.4,1034,"2820 of 3141"
"Morgan County",29141,9.5,1362,"2828 of 3141"
"Mississippi County",29133,10.1,993,"2879 of 3141"
"Dunklin County",29069,10.3,2100,"2895 of 3141"
"Pemiscot County",29155,11.8,1318,"2969 of 3141"
"Scotland County",29199,13.2,411,"3026 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
