------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Cape Girardeau County",29031,0.2,160,"2135 of 3141"
"Adair County",29001,0.2,56,"2067 of 3141"
"Chariton County",29041,0.2,17,"2049 of 3141"
"Audrain County",29007,0.2,58,"2044 of 3141"
"Jefferson County",29099,0.2,539,"1981 of 3141"
"Lafayette County",29107,0.2,80,"1969 of 3141"
"Clark County",29045,0.2,17,"1953 of 3141"
"Saline County",29195,0.3,58,"1940 of 3141"
"Boone County",29019,0.3,460,"1881 of 3141"
"Lincoln County",29113,0.3,145,"1872 of 3141"
"Macon County",29121,0.3,41,"1860 of 3141"
"Madison County",29123,0.3,34,"1817 of 3141"
"Nodaway County",29147,0.3,64,"1806 of 3141"
"St. Louis City",29510,0.3,887,"1804 of 3141"
"St. Francois County",29187,0.3,203,"1700 of 3141"
"Buchanan County",29021,0.3,279,"1670 of 3141"
"Webster County",29225,0.3,121,"1633 of 3141"
"Cole County",29051,0.3,250,"1617 of 3141"
"Cooper County",29053,0.3,61,"1543 of 3141"
"Howell County",29091,0.4,142,"1509 of 3141"
"Ripley County",29181,0.4,50,"1489 of 3141"
"Dunklin County",29069,0.4,114,"1465 of 3141"
"Atchison County",29005,0.4,20,"1446 of 3141"
"Gasconade County",29073,0.4,57,"1417 of 3141"
"Jackson County",29095,0.4,2977,"1294 of 3141"
"Wayne County",29223,0.4,58,"1290 of 3141"
"Platte County",29165,0.4,421,"1288 of 3141"
"Clay County",29047,0.4,1051,"1267 of 3141"
"New Madrid County",29143,0.4,81,"1260 of 3141"
"Callaway County",29027,0.5,202,"1257 of 3141"
"Butler County",29023,0.5,196,"1243 of 3141"
"Osage County",29151,0.5,63,"1235 of 3141"
"Bates County",29013,0.5,77,"1223 of 3141"
"Greene County",29077,0.5,1351,"1218 of 3141"
"Ralls County",29173,0.5,49,"1201 of 3141"
"Pike County",29163,0.5,89,"1199 of 3141"
"Scott County",29201,0.5,188,"1190 of 3141"
"Warren County",29219,0.5,163,"1186 of 3141"
"Caldwell County",29025,0.5,44,"1184 of 3141"
"Randolph County",29175,0.5,123,"1173 of 3141"
"Christian County",29043,0.5,411,"1166 of 3141"
"Ray County",29177,0.5,114,"1160 of 3141"
"Sullivan County",29211,0.5,32,"1156 of 3141"
"Howard County",29089,0.5,52,"1136 of 3141"
"Clinton County",29049,0.5,107,"1121 of 3141"
"Morgan County",29141,0.5,105,"1119 of 3141"
"Lawrence County",29109,0.5,205,"1101 of 3141"
"Cass County",29037,0.6,568,"1077 of 3141"
"Vernon County",29217,0.6,117,"1062 of 3141"
"Camden County",29029,0.6,256,"1056 of 3141"
"Perry County",29157,0.6,110,"1054 of 3141"
"Washington County",29221,0.6,145,"1046 of 3141"
"Laclede County",29105,0.6,215,"1012 of 3141"
"Johnson County",29101,0.6,333,"996 of 3141"
"Livingston County",29117,0.6,94,"986 of 3141"
"Lewis County",29111,0.6,65,"951 of 3141"
"Bollinger County",29017,0.7,81,"943 of 3141"
"Iron County",29093,0.7,68,"938 of 3141"
"DeKalb County",29063,0.7,85,"922 of 3141"
"Barry County",29009,0.7,244,"906 of 3141"
"Daviess County",29061,0.7,58,"893 of 3141"
"Dade County",29057,0.7,53,"891 of 3141"
"Henry County",29083,0.7,156,"878 of 3141"
"Gentry County",29075,0.7,48,"874 of 3141"
"St. Clair County",29185,0.7,69,"856 of 3141"
"Benton County",29015,0.7,140,"852 of 3141"
"Moniteau County",29135,0.7,118,"851 of 3141"
"Taney County",29213,0.8,437,"796 of 3141"
"Reynolds County",29179,0.8,53,"776 of 3141"
"Phelps County",29161,0.9,388,"752 of 3141"
"Dent County",29065,0.9,138,"736 of 3141"
"Mississippi County",29133,0.9,124,"732 of 3141"
"Maries County",29125,0.9,83,"713 of 3141"
"Pulaski County",29169,0.9,498,"706 of 3141"
"Dallas County",29059,1.0,158,"690 of 3141"
"Grundy County",29079,1.0,104,"653 of 3141"
"Oregon County",29149,1.0,111,"652 of 3141"
"Polk County",29167,1.1,335,"621 of 3141"
"Stone County",29209,1.1,349,"599 of 3141"
"Miller County",29131,1.2,305,"546 of 3141"
"Carter County",29035,1.4,85,"507 of 3141"
"Jasper County",29097,1.4,1651,"496 of 3141"
"Shannon County",29203,1.4,119,"486 of 3141"
"Holt County",29087,1.6,72,"444 of 3141"
"Hickory County",29085,1.7,162,"426 of 3141"
"Barton County",29011,1.9,231,"394 of 3141"
"Texas County",29215,2.2,558,"367 of 3141"
"Newton County",29145,2.4,1371,"343 of 3141"
"McDonald County",29119,2.6,584,"318 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
