------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"McIntosh County",13191,20.3,2829,"2457 of 3141"
"Rabun County",13241,20.3,3259,"2464 of 3141"
"Jeff Davis County",13161,20.6,3079,"2496 of 3141"
"Lamar County",13171,20.8,3525,"2508 of 3141"
"Pierce County",13229,21.0,3994,"2544 of 3141"
"Treutlen County",13283,21.0,1347,"2546 of 3141"
"Troup County",13285,21.3,14430,"2577 of 3141"
"Wayne County",13305,21.3,5863,"2580 of 3141"
"Johnson County",13167,21.5,2037,"2597 of 3141"
"Worth County",13321,21.5,4447,"2611 of 3141"
"Spalding County",13255,21.6,13624,"2623 of 3141"
"Muscogee County",13215,21.7,41295,"2625 of 3141"
"Brantley County",13025,21.8,3970,"2629 of 3141"
"Pulaski County",13235,21.8,2143,"2633 of 3141"
"Wilcox County",13315,21.8,1491,"2637 of 3141"
"Greene County",13133,21.9,3623,"2638 of 3141"
"Clayton County",13063,21.9,58701,"2640 of 3141"
"Schley County",13249,22.2,1148,"2669 of 3141"
"Dodge County",13091,22.2,4229,"2670 of 3141"
"Elbert County",13105,22.4,4246,"2685 of 3141"
"Chattooga County",13055,22.5,5152,"2690 of 3141"
"Screven County",13251,22.6,3092,"2709 of 3141"
"Meriwether County",13199,22.7,4735,"2713 of 3141"
"Upson County",13293,22.7,5817,"2718 of 3141"
"Quitman County",13239,22.8,488,"2720 of 3141"
"Bleckley County",13023,23.0,2591,"2740 of 3141"
"Lincoln County",13181,23.0,1773,"2743 of 3141"
"Charlton County",13049,23.1,2719,"2751 of 3141"
"Marion County",13197,23.1,1952,"2756 of 3141"
"Bacon County",13005,23.2,2466,"2757 of 3141"
"Dooly County",13093,23.2,2837,"2758 of 3141"
"Wilkinson County",13319,23.3,2112,"2772 of 3141"
"Miller County",13201,23.3,1332,"2773 of 3141"
"Butts County",13035,23.5,4892,"2780 of 3141"
"Brooks County",13027,23.6,3641,"2783 of 3141"
"Berrien County",13019,23.7,4445,"2787 of 3141"
"Tattnall County",13267,23.7,4553,"2790 of 3141"
"Coffee County",13069,23.9,9348,"2802 of 3141"
"Decatur County",13087,24.1,6233,"2811 of 3141"
"Cook County",13075,24.2,4099,"2812 of 3141"
"Richmond County",13245,24.2,46692,"2817 of 3141"
"Toombs County",13279,24.4,6532,"2824 of 3141"
"Irwin County",13155,24.5,2204,"2835 of 3141"
"Appling County",13001,24.7,4435,"2847 of 3141"
"Ware County",13299,24.8,8240,"2852 of 3141"
"Lowndes County",13185,25.0,27410,"2858 of 3141"
"Colquitt County",13071,25.4,11444,"2887 of 3141"
"Grady County",13131,25.4,6284,"2889 of 3141"
"Franklin County",13119,25.4,5503,"2890 of 3141"
"Seminole County",13253,25.5,2149,"2894 of 3141"
"McDuffie County",13189,26.0,5503,"2912 of 3141"
"Evans County",13109,26.0,2657,"2914 of 3141"
"Wilkes County",13317,26.5,2595,"2942 of 3141"
"Bibb County",13021,26.7,39473,"2954 of 3141"
"Warren County",13301,26.8,1427,"2957 of 3141"
"Jefferson County",13163,26.9,4162,"2960 of 3141"
"Mitchell County",13205,27.1,5438,"2964 of 3141"
"Washington County",13303,27.1,5074,"2965 of 3141"
"Twiggs County",13289,27.3,2244,"2970 of 3141"
"Laurens County",13175,27.3,12683,"2973 of 3141"
"Atkinson County",13003,27.4,2262,"2975 of 3141"
"Early County",13099,27.5,2812,"2977 of 3141"
"Telfair County",13271,27.7,3608,"2985 of 3141"
"Baldwin County",13009,27.8,11610,"2987 of 3141"
"Tift County",13277,27.8,10725,"2989 of 3141"
"Turner County",13287,27.9,2137,"2991 of 3141"
"Echols County",13101,28.2,1130,"2996 of 3141"
"Taylor County",13269,28.2,2285,"2998 of 3141"
"Macon County",13193,28.6,3364,"3007 of 3141"
"Lanier County",13173,28.7,2875,"3009 of 3141"
"Emanuel County",13107,29.2,6329,"3016 of 3141"
"Burke County",13033,29.2,6504,"3017 of 3141"
"Wheeler County",13309,29.3,1780,"3019 of 3141"
"Hancock County",13141,30.0,1804,"3031 of 3141"
"Ben Hill County",13017,30.4,5139,"3038 of 3141"
"Bulloch County",13031,30.4,20153,"3039 of 3141"
"Dougherty County",13095,30.5,26759,"3041 of 3141"
"Jenkins County",13165,30.7,2720,"3046 of 3141"
"Taliaferro County",13265,31.0,571,"3051 of 3141"
"Crisp County",13081,31.2,7025,"3052 of 3141"
"Candler County",13043,31.5,3341,"3058 of 3141"
"Calhoun County",13037,32.2,1474,"3068 of 3141"
"Sumter County",13261,33.4,9560,"3082 of 3141"
"Clarke County",13059,34.1,38618,"3087 of 3141"
"Randolph County",13243,35.1,2449,"3095 of 3141"
"Terrell County",13273,35.3,3047,"3096 of 3141"
"Clinch County",13065,39.5,2641,"3120 of 3141"
"Clay County",13061,41.4,1230,"3127 of 3141"
"Stewart County",13259,41.5,1640,"3128 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
