------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '066', 'stage': '211', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_055.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Prostate (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"De Soto Parish(7)",22031,***,22.6 ,13.7, 35.8,4,16.7
"Natchitoches Parish(7)",22069,***,22.5 ,14.3, 34,5,18.3
"St. Tammany Parish(7)",22103,***,22 ,18.6, 25.9,32,18.5
"Calcasieu Parish(7)",22019,***,22 ,18.2, 26.4,25,18.1
"Tangipahoa Parish(7)",22105,***,21.9 ,17, 27.8,15,19.2
"Union Parish(7)",22111,***,21 ,12.1, 34.8,3,19.8
"Morehouse Parish(7)",22067,***,20.8 ,12.6, 33.2,4,16.9
"Terrebonne Parish(7)",22109,***,20.2 ,15.2, 26.3,12,15.3
"St. John the Baptist Parish(7)",22095,***,19.1 ,12.2, 28.9,5,18.3
"Bossier Parish(7)",22015,***,19 ,14.4, 24.6,12,18.3
"LaFourche Parish(7)",22057,***,18.8 ,13.9, 24.9,10,16.3
"St. Bernard Parish(7)",22087,***,17.6 ,10.2, 28.5,4,17.0
"Vernon Parish(7)",22115,***,17.6 ,10.4, 27.7,4,16.8
"Iberville Parish(7)",22047,***,17.3 ,9.8, 28.5,3,11.0
"Livingston Parish(7)",22063,***,15 ,10.9, 20.2,10,14.7
"Assumption Parish(7)",22007,***,* ,*, *,3 or fewer,*
"Bienville Parish(7)",22013,***,* ,*, *,3 or fewer,*
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*
"Cameron Parish(7)",22023,***,* ,*, *,3 or fewer,*
"Catahoula Parish(7)",22025,***,* ,*, *,3 or fewer,*
"Concordia Parish(7)",22029,***,* ,*, *,3 or fewer,*
"East Carroll Parish(7)",22035,***,* ,*, *,3 or fewer,*
"Evangeline Parish(7)",22039,***,* ,*, *,3 or fewer,*
"Franklin Parish(7)",22041,***,* ,*, *,3 or fewer,*
"Jackson Parish(7)",22049,***,* ,*, *,3 or fewer,*
"Jefferson Davis Parish(7)",22053,***,* ,*, *,3 or fewer,*
"La Salle Parish(7)",22059,***,* ,*, *,3 or fewer,*
"Madison Parish(7)",22065,***,* ,*, *,3 or fewer,*
"Pointe Coupee Parish(7)",22077,***,* ,*, *,3 or fewer,*
"Red River Parish(7)",22081,***,* ,*, *,3 or fewer,*
"Richland Parish(7)",22083,***,* ,*, *,3 or fewer,*
"St. Helena Parish(7)",22091,***,* ,*, *,3 or fewer,*
"Tensas Parish(7)",22107,***,* ,*, *,3 or fewer,*
"West Carroll Parish(7)",22123,***,* ,*, *,3 or fewer,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."

Rates are computed using cancers classified as malignant based on ICD-O-3. For more information see malignant.html.

"^ Late Stage is defined as cases determined to be regional or distant. Coding is generally based on Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ] but may include other staging variables if necessary."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
3 Source: SEER November 2018 submission.  State Cancer Registry also receives funding from CDC's National Program of Cancer Registries.
7 Source: SEER November 2018 submission.

"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
