------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Knox County",39083,1.2,274,"2403 of 3141"
"Richland County",39139,1.2,571,"2389 of 3141"
"Williams County",39171,1.2,182,"2385 of 3141"
"Trumbull County",39155,1.2,1043,"2373 of 3141"
"Huron County",39077,1.2,277,"2368 of 3141"
"Allen County",39003,1.2,489,"2367 of 3141"
"Wyandot County",39175,1.2,113,"2342 of 3141"
"Montgomery County",39113,1.2,2772,"2332 of 3141"
"Washington County",39167,1.3,322,"2308 of 3141"
"Morgan County",39115,1.3,78,"2295 of 3141"
"Harrison County",39067,1.3,79,"2293 of 3141"
"Clark County",39023,1.3,712,"2261 of 3141"
"Lawrence County",39087,1.3,312,"2235 of 3141"
"Perry County",39127,1.3,181,"2213 of 3141"
"Preble County",39135,1.4,218,"2196 of 3141"
"Auglaize County",39011,1.4,250,"2184 of 3141"
"Tuscarawas County",39157,1.4,513,"2142 of 3141"
"Brown County",39015,1.4,244,"2134 of 3141"
"Butler County",39017,1.4,1944,"2111 of 3141"
"Madison County",39097,1.5,217,"2078 of 3141"
"Licking County",39089,1.5,941,"2074 of 3141"
"Champaign County",39021,1.5,227,"2038 of 3141"
"Muskingum County",39119,1.6,539,"1945 of 3141"
"Fairfield County",39045,1.6,872,"1943 of 3141"
"Hamilton County",39061,1.6,5429,"1915 of 3141"
"Pickaway County",39129,1.6,313,"1908 of 3141"
"Fulton County",39051,1.7,274,"1841 of 3141"
"Scioto County",39145,1.7,506,"1834 of 3141"
"Highland County",39071,1.7,283,"1806 of 3141"
"Marion County",39101,1.7,421,"1795 of 3141"
"Guernsey County",39059,1.7,275,"1788 of 3141"
"Hardin County",39065,1.8,201,"1747 of 3141"
"Jackson County",39079,1.8,232,"1726 of 3141"
"Adams County",39001,1.8,199,"1662 of 3141"
"Ross County",39141,1.9,528,"1651 of 3141"
"Pike County",39131,1.9,205,"1641 of 3141"
"Shelby County",39149,1.9,348,"1633 of 3141"
"Meigs County",39105,1.9,176,"1603 of 3141"
"Hocking County",39073,1.9,214,"1601 of 3141"
"Gallia County",39053,1.9,220,"1585 of 3141"
"Ashland County",39005,2.0,414,"1480 of 3141"
"Ashtabula County",39007,2.0,778,"1470 of 3141"
"Logan County",39091,2.0,378,"1467 of 3141"
"Vinton County",39163,2.0,103,"1460 of 3141"
"Columbiana County",39029,2.0,849,"1458 of 3141"
"Clinton County",39027,2.0,334,"1454 of 3141"
"Geauga County",39055,2.1,726,"1434 of 3141"
"Morrow County",39117,2.1,266,"1419 of 3141"
"Coshocton County",39031,2.1,304,"1382 of 3141"
"Franklin County",39049,2.2,10843,"1314 of 3141"
"Athens County",39009,2.3,513,"1219 of 3141"
"Carroll County",39019,2.4,264,"1096 of 3141"
"Wayne County",39169,2.4,1061,"1067 of 3141"
"Paulding County",39125,2.7,205,"884 of 3141"
"Holmes County",39075,4.4,556,"296 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
