------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Miami County",39109,94.1,97929,"1001 of 3141"
"Clinton County",39027,94.2,39428,"992 of 3141"
"Shelby County",39149,94.3,46103,"969 of 3141"
"Scioto County",39145,94.4,72541,"956 of 3141"
"Huron County",39077,94.4,55212,"952 of 3141"
"Champaign County",39021,94.5,36849,"932 of 3141"
"Gallia County",39053,94.5,28535,"931 of 3141"
"Henry County",39069,94.6,25982,"900 of 3141"
"Putnam County",39137,94.7,32232,"885 of 3141"
"Logan County",39091,94.9,43028,"837 of 3141"
"Paulding County",39125,95.0,17996,"832 of 3141"
"Columbiana County",39029,95.0,99332,"829 of 3141"
"Wayne County",39169,95.1,110182,"820 of 3141"
"Clermont County",39025,95.4,192854,"762 of 3141"
"Lawrence County",39087,95.4,58250,"757 of 3141"
"Ottawa County",39123,95.5,38928,"740 of 3141"
"Williams County",39171,95.5,35399,"727 of 3141"
"Medina County",39103,95.6,168584,"714 of 3141"
"Guernsey County",39059,95.7,37713,"690 of 3141"
"Pike County",39131,95.9,27134,"631 of 3141"
"Harrison County",39067,95.9,14770,"622 of 3141"
"Highland County",39071,96.0,41289,"616 of 3141"
"Washington County",39167,96.1,58526,"572 of 3141"
"Hardin County",39065,96.3,30417,"515 of 3141"
"Van Wert County",39161,96.4,27254,"493 of 3141"
"Knox County",39083,96.6,58851,"459 of 3141"
"Geauga County",39055,96.7,90792,"415 of 3141"
"Tuscarawas County",39157,96.8,89586,"377 of 3141"
"Coshocton County",39031,96.8,35445,"368 of 3141"
"Jackson County",39079,96.9,31602,"361 of 3141"
"Crawford County",39033,96.9,40916,"356 of 3141"
"Ashland County",39005,96.9,51640,"355 of 3141"
"Auglaize County",39011,97.0,44405,"324 of 3141"
"Wyandot County",39175,97.0,21525,"322 of 3141"
"Hocking County",39073,97.1,27714,"301 of 3141"
"Mercer County",39107,97.1,39541,"300 of 3141"
"Preble County",39135,97.2,40161,"277 of 3141"
"Brown County",39015,97.2,42576,"268 of 3141"
"Morrow County",39117,97.3,33988,"245 of 3141"
"Vinton County",39163,97.3,12791,"235 of 3141"
"Perry County",39127,97.4,35033,"229 of 3141"
"Carroll County",39019,97.4,27103,"218 of 3141"
"Meigs County",39105,97.4,22636,"210 of 3141"
"Darke County",39037,97.5,50608,"197 of 3141"
"Adams County",39001,97.5,27231,"192 of 3141"
"Holmes County",39075,98.5,43130,"49 of 3141"
"Monroe County",39111,99.3,14146,"16 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
