------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Knox County",39083,3.6,1444,"1255 of 3141"
"Brown County",39015,3.7,1115,"1276 of 3141"
"Harrison County",39067,4.1,454,"1495 of 3141"
"Morgan County",39115,4.1,433,"1505 of 3141"
"Ashland County",39005,4.2,1470,"1516 of 3141"
"Ashtabula County",39007,4.4,3043,"1631 of 3141"
"Huron County",39077,4.7,1827,"1738 of 3141"
"Scioto County",39145,4.8,2521,"1785 of 3141"
"Highland County",39071,4.8,1391,"1787 of 3141"
"Tuscarawas County",39157,5.2,3322,"1917 of 3141"
"Jackson County",39079,5.3,1181,"1964 of 3141"
"Vinton County",39163,5.8,530,"2143 of 3141"
"Geauga County",39055,5.9,3732,"2158 of 3141"
"Coshocton County",39031,5.9,1496,"2186 of 3141"
"Pike County",39131,6.1,1178,"2221 of 3141"
"Gallia County",39053,6.9,1420,"2444 of 3141"
"Wayne County",39169,7.0,5309,"2465 of 3141"
"Adams County",39001,7.5,1427,"2575 of 3141"
"Holmes County",39075,34.7,8691,"3140 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
