------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Morgan County",39115,13.3,1394,"1734 of 3141"
"Madison County",39097,13.4,4161,"1747 of 3141"
"Harrison County",39067,13.6,1507,"1775 of 3141"
"Tuscarawas County",39157,13.7,8750,"1778 of 3141"
"Noble County",39121,13.8,1513,"1788 of 3141"
"Brown County",39015,13.8,4181,"1796 of 3141"
"Lawrence County",39087,14.1,6029,"1848 of 3141"
"Wayne County",39169,14.2,10796,"1866 of 3141"
"Ashtabula County",39007,14.3,9816,"1874 of 3141"
"Coshocton County",39031,14.5,3652,"1901 of 3141"
"Perry County",39127,15.4,3746,"2043 of 3141"
"Meigs County",39105,15.6,2562,"2076 of 3141"
"Guernsey County",39059,15.7,4291,"2092 of 3141"
"Scioto County",39145,16.0,8483,"2133 of 3141"
"Highland County",39071,16.1,4711,"2147 of 3141"
"Jackson County",39079,16.2,3596,"2155 of 3141"
"Gallia County",39053,19.0,3907,"2482 of 3141"
"Pike County",39131,19.6,3806,"2564 of 3141"
"Vinton County",39163,20.1,1835,"2610 of 3141"
"Adams County",39001,21.0,3991,"2696 of 3141"
"Holmes County",39075,41.8,10472,"3135 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
