------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Summit County",39153,2.0,10574,"2408 of 3141"
"Fayette County",39047,2.0,566,"2401 of 3141"
"Fairfield County",39045,2.0,3072,"2363 of 3141"
"Tuscarawas County",39157,2.4,2251,"2146 of 3141"
"Delaware County",39041,2.4,4723,"2144 of 3141"
"Marion County",39101,2.5,1638,"2118 of 3141"
"Warren County",39165,2.6,5778,"2076 of 3141"
"Greene County",39057,2.7,4450,"2027 of 3141"
"Montgomery County",39113,2.7,14451,"2016 of 3141"
"Wyandot County",39175,2.7,608,"1998 of 3141"
"Allen County",39003,2.9,2995,"1927 of 3141"
"Hamilton County",39061,3.0,24454,"1873 of 3141"
"Van Wert County",39161,3.0,856,"1871 of 3141"
"Clark County",39023,3.2,4300,"1810 of 3141"
"Ashtabula County",39007,4.0,3937,"1567 of 3141"
"Lake County",39085,4.0,9302,"1551 of 3141"
"Williams County",39171,4.2,1545,"1512 of 3141"
"Erie County",39043,4.2,3147,"1510 of 3141"
"Butler County",39017,4.5,16872,"1428 of 3141"
"Paulding County",39125,4.6,867,"1410 of 3141"
"Seneca County",39147,4.9,2719,"1341 of 3141"
"Ottawa County",39123,4.9,2006,"1336 of 3141"
"Hancock County",39063,5.2,3894,"1283 of 3141"
"Franklin County",39049,5.2,65494,"1267 of 3141"
"Wood County",39173,5.3,6923,"1251 of 3141"
"Mahoning County",39099,5.6,12882,"1207 of 3141"
"Cuyahoga County",39035,5.6,70325,"1200 of 3141"
"Putnam County",39137,6.0,2040,"1130 of 3141"
"Huron County",39077,6.2,3639,"1094 of 3141"
"Lucas County",39095,6.8,29559,"1014 of 3141"
"Henry County",39069,7.5,2048,"945 of 3141"
"Fulton County",39051,8.4,3571,"856 of 3141"
"Lorain County",39093,9.5,29089,"772 of 3141"
"Defiance County",39039,9.6,3694,"763 of 3141"
"Sandusky County",39143,9.7,5777,"758 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
