------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Ohio County",18115,3.6,157,"1221 of 3141"
"Lawrence County",18093,3.7,1172,"1266 of 3141"
"Pulaski County",18131,3.8,334,"1317 of 3141"
"St. Joseph County",18141,3.8,6560,"1318 of 3141"
"Miami County",18103,3.8,943,"1340 of 3141"
"Martin County",18101,3.8,270,"1346 of 3141"
"White County",18181,4.0,663,"1420 of 3141"
"Perry County",18123,4.0,542,"1422 of 3141"
"Allen County",18003,4.0,9534,"1441 of 3141"
"Fountain County",18045,4.1,472,"1479 of 3141"
"Wayne County",18177,4.1,1879,"1483 of 3141"
"Randolph County",18135,4.2,737,"1540 of 3141"
"Fulton County",18049,4.2,595,"1542 of 3141"
"Dubois County",18037,4.3,1214,"1548 of 3141"
"Lake County",18089,4.3,13928,"1548 of 3141"
"Owen County",18119,4.3,638,"1554 of 3141"
"Jackson County",18071,4.4,1298,"1612 of 3141"
"Jennings County",18079,4.6,851,"1699 of 3141"
"Rush County",18139,4.7,540,"1743 of 3141"
"Orange County",18117,4.7,634,"1756 of 3141"
"Washington County",18175,4.7,901,"1767 of 3141"
"Marion County",18097,4.9,30159,"1836 of 3141"
"Parke County",18121,4.9,593,"1844 of 3141"
"Switzerland County",18155,4.9,353,"1845 of 3141"
"Franklin County",18047,5.2,806,"1922 of 3141"
"Starke County",18149,5.2,822,"1926 of 3141"
"Crawford County",18025,5.2,390,"1928 of 3141"
"Fayette County",18041,5.3,864,"1952 of 3141"
"Jay County",18075,5.5,768,"2033 of 3141"
"Kosciusko County",18085,5.6,2917,"2061 of 3141"
"Clinton County",18023,5.9,1263,"2188 of 3141"
"Marshall County",18099,6.1,1880,"2227 of 3141"
"Scott County",18143,6.3,1020,"2289 of 3141"
"Noble County",18113,6.4,1993,"2314 of 3141"
"Cass County",18017,6.6,1719,"2378 of 3141"
"Adams County",18001,8.5,1784,"2705 of 3141"
"Elkhart County",18039,8.5,10890,"2709 of 3141"
"Daviess County",18027,14.9,3012,"3059 of 3141"
"LaGrange County",18087,28.8,6445,"3138 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
