------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Lake County",18089,11.9,39003,"1478 of 3141"
"Ripley County",18137,12.0,2310,"1490 of 3141"
"Morgan County",18109,12.1,5739,"1495 of 3141"
"Perry County",18123,12.1,1650,"1503 of 3141"
"St. Joseph County",18141,12.1,21142,"1506 of 3141"
"LaPorte County",18091,12.1,9368,"1511 of 3141"
"Vigo County",18167,12.2,8422,"1521 of 3141"
"Blackford County",18009,12.3,1058,"1541 of 3141"
"Jasper County",18073,12.3,2746,"1553 of 3141"
"Madison County",18095,12.3,11086,"1554 of 3141"
"Franklin County",18047,12.4,1928,"1573 of 3141"
"Greene County",18055,13.0,2945,"1663 of 3141"
"Grant County",18053,13.0,5791,"1674 of 3141"
"Jackson County",18071,13.1,3866,"1688 of 3141"
"Sullivan County",18153,13.5,2017,"1752 of 3141"
"Clinton County",18023,13.8,2932,"1793 of 3141"
"Newton County",18111,13.9,1370,"1813 of 3141"
"Fulton County",18049,14.0,1957,"1820 of 3141"
"Pike County",18125,14.0,1229,"1822 of 3141"
"Randolph County",18135,14.2,2478,"1871 of 3141"
"Marion County",18097,14.4,88424,"1887 of 3141"
"Wayne County",18177,14.5,6663,"1907 of 3141"
"Parke County",18121,14.5,1752,"1910 of 3141"
"Jennings County",18079,14.6,2724,"1914 of 3141"
"Owen County",18119,14.7,2186,"1925 of 3141"
"Miami County",18103,14.7,3649,"1930 of 3141"
"Washington County",18175,14.9,2835,"1963 of 3141"
"Marshall County",18099,14.9,4602,"1972 of 3141"
"Noble County",18113,15.0,4694,"1978 of 3141"
"Scott County",18143,15.1,2453,"1994 of 3141"
"Kosciusko County",18085,15.2,7918,"2016 of 3141"
"Rush County",18139,15.2,1758,"2018 of 3141"
"Adams County",18001,16.4,3450,"2178 of 3141"
"Martin County",18101,16.5,1170,"2188 of 3141"
"Orange County",18117,16.7,2246,"2222 of 3141"
"Cass County",18017,16.9,4374,"2250 of 3141"
"Starke County",18149,16.9,2668,"2255 of 3141"
"Jay County",18075,17.2,2381,"2292 of 3141"
"Switzerland County",18155,17.4,1247,"2325 of 3141"
"Fayette County",18041,18.0,2946,"2385 of 3141"
"Crawford County",18025,18.1,1354,"2394 of 3141"
"Elkhart County",18039,19.2,24561,"2505 of 3141"
"Daviess County",18027,25.9,5248,"3002 of 3141"
"LaGrange County",18087,36.7,8195,"3128 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
