------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Howard County",18067,20.4,11598,"1334 of 3141"
"Posey County",18129,20.7,3689,"1282 of 3141"
"Tipton County",18159,21.3,2308,"1196 of 3141"
"Dubois County",18037,21.4,6091,"1191 of 3141"
"Lake County",18089,21.4,69969,"1186 of 3141"
"Dearborn County",18029,21.7,7379,"1146 of 3141"
"Kosciusko County",18085,22.3,11582,"1078 of 3141"
"Vigo County",18167,23.5,16257,"925 of 3141"
"Delaware County",18035,23.9,17048,"880 of 3141"
"Brown County",18013,25.5,2865,"770 of 3141"
"Vanderburgh County",18163,26.2,32271,"715 of 3141"
"Allen County",18003,27.5,65203,"615 of 3141"
"Porter County",18127,27.5,31240,"613 of 3141"
"Floyd County",18043,28.4,14760,"571 of 3141"
"St. Joseph County",18141,28.4,49624,"564 of 3141"
"Warrick County",18173,29.2,12272,"526 of 3141"
"Marion County",18097,29.7,183024,"502 of 3141"
"Hancock County",18059,30.1,14908,"479 of 3141"
"Johnson County",18081,30.9,30551,"431 of 3141"
"Bartholomew County",18005,31.2,17141,"409 of 3141"
"Hendricks County",18063,35.3,36833,"255 of 3141"
"Tippecanoe County",18157,36.9,37825,"221 of 3141"
"Monroe County",18105,45.8,37498,"84 of 3141"
"Boone County",18011,47.2,19562,"71 of 3141"
"Hamilton County",18057,57.5,114874,"16 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
