------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Champaign County",39021,8.7,3380,"2480 of 3140"
"Gallia County",39053,8.8,2614,"2489 of 3140"
"Scioto County",39145,8.8,6707,"2506 of 3140"
"Tuscarawas County",39157,8.8,8057,"2515 of 3140"
"Stark County",39151,8.9,33126,"2542 of 3140"
"Lorain County",39093,9.0,27225,"2560 of 3140"
"Ross County",39141,9.0,6891,"2564 of 3140"
"Hardin County",39065,9.0,2820,"2570 of 3140"
"Butler County",39017,9.1,33691,"2583 of 3140"
"Fayette County",39047,9.2,2617,"2620 of 3140"
"Shelby County",39149,9.5,4567,"2681 of 3140"
"Wood County",39173,9.5,12180,"2684 of 3140"
"Miami County",39109,9.6,9877,"2704 of 3140"
"Williams County",39171,10.0,3673,"2790 of 3140"
"Allen County",39003,10.3,10652,"2842 of 3140"
"Hancock County",39063,10.4,7772,"2857 of 3140"
"Marion County",39101,10.6,6868,"2885 of 3140"
"Richland County",39139,10.8,13028,"2914 of 3140"
"Cuyahoga County",39035,11.5,142878,"2996 of 3140"
"Hamilton County",39061,11.6,92276,"3001 of 3140"
"Muskingum County",39119,11.8,9992,"3020 of 3140"
"Clark County",39023,12.2,16334,"3044 of 3140"
"Lucas County",39095,12.2,52366,"3048 of 3140"
"Montgomery County",39113,12.4,65172,"3059 of 3140"
"Athens County",39009,12.4,8083,"3061 of 3140"
"Franklin County",39049,13.3,164706,"3095 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
