------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Clinton County",39027,86.2,35586,"1889 of 3140"
"Erie County",39043,86.3,64308,"1864 of 3140"
"Wayne County",39169,86.5,98954,"1799 of 3140"
"Crawford County",39033,86.5,36114,"1794 of 3140"
"Scioto County",39145,86.5,65783,"1772 of 3140"
"Coshocton County",39031,86.7,31413,"1702 of 3140"
"Jefferson County",39081,86.8,58102,"1659 of 3140"
"Pike County",39131,86.9,24296,"1643 of 3140"
"Columbiana County",39029,86.9,90039,"1634 of 3140"
"Warren County",39165,87.0,192659,"1619 of 3140"
"Tuscarawas County",39157,87.0,79294,"1602 of 3140"
"Stark County",39151,87.1,322446,"1589 of 3140"
"Huron County",39077,87.2,50503,"1552 of 3140"
"Shelby County",39149,87.4,42079,"1479 of 3140"
"Logan County",39091,87.4,39109,"1472 of 3140"
"Mahoning County",39099,87.4,200778,"1464 of 3140"
"Wyandot County",39175,87.5,19130,"1425 of 3140"
"Highland County",39071,87.6,37304,"1399 of 3140"
"Jackson County",39079,87.7,28357,"1378 of 3140"
"Guernsey County",39059,87.9,34164,"1310 of 3140"
"Fulton County",39051,87.9,36722,"1304 of 3140"
"Van Wert County",39161,87.9,24595,"1291 of 3140"
"Preble County",39135,88.0,35958,"1279 of 3140"
"Hocking County",39073,88.3,25008,"1166 of 3140"
"Delaware County",39041,88.3,168779,"1164 of 3140"
"Summit County",39153,88.4,473894,"1118 of 3140"
"Lawrence County",39087,88.5,53426,"1114 of 3140"
"Darke County",39037,88.5,45416,"1095 of 3140"
"Perry County",39127,88.5,31545,"1088 of 3140"
"Auglaize County",39011,88.6,39981,"1079 of 3140"
"Henry County",39069,88.6,24060,"1055 of 3140"
"Sandusky County",39143,88.7,52271,"1027 of 3140"
"Clermont County",39025,88.8,177408,"1002 of 3140"
"Meigs County",39105,88.8,20394,"989 of 3140"
"Ashtabula County",39007,88.9,86649,"982 of 3140"
"Vinton County",39163,89.0,11583,"926 of 3140"
"Mercer County",39107,89.1,35764,"877 of 3140"
"Carroll County",39019,89.4,24713,"789 of 3140"
"Belmont County",39013,89.6,61331,"747 of 3140"
"Washington County",39167,89.6,53973,"729 of 3140"
"Harrison County",39067,89.8,13674,"703 of 3140"
"Paulding County",39125,90.0,16843,"642 of 3140"
"Trumbull County",39155,90.1,180735,"610 of 3140"
"Lake County",39085,90.1,205015,"601 of 3140"
"Medina County",39103,90.2,157439,"586 of 3140"
"Adams County",39001,90.2,25006,"584 of 3140"
"Ottawa County",39123,90.3,36541,"563 of 3140"
"Putnam County",39137,90.3,30374,"555 of 3140"
"Brown County",39015,90.4,39107,"536 of 3140"
"Morrow County",39117,91.0,31577,"414 of 3140"
"Monroe County",39111,91.4,12897,"337 of 3140"
"Morgan County",39115,91.9,13453,"239 of 3140"
"Geauga County",39055,92.0,85428,"235 of 3140"
"Holmes County",39075,92.5,39656,"190 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
