------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Licking County",39089,24.6,28220,"829 of 3141"
"Lucas County",39095,25.6,74544,"755 of 3141"
"Fairfield County",39045,26.6,27099,"682 of 3141"
"Montgomery County",39113,26.8,97112,"665 of 3141"
"Hancock County",39063,27.1,13930,"638 of 3141"
"Lake County",39085,27.2,44657,"633 of 3141"
"Portage County",39133,27.5,28529,"614 of 3141"
"Clermont County",39025,28.3,38964,"574 of 3141"
"Athens County",39009,29.6,10713,"512 of 3141"
"Butler County",39017,29.6,70800,"511 of 3141"
"Union County",39159,30.8,11236,"438 of 3141"
"Cuyahoga County",39035,31.5,275155,"401 of 3141"
"Summit County",39153,31.6,119093,"392 of 3141"
"Medina County",39103,32.1,39068,"372 of 3141"
"Wood County",39173,32.2,25694,"367 of 3141"
"Hamilton County",39061,36.3,197239,"233 of 3141"
"Geauga County",39055,38.0,24198,"196 of 3141"
"Franklin County",39049,38.7,321291,"186 of 3141"
"Greene County",39057,38.8,42631,"184 of 3141"
"Warren County",39165,41.9,62589,"124 of 3141"
"Delaware County",39041,53.8,67556,"27 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
