------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Wayne County",39169,13.0,14611,"1123 of 3141"
"Wood County",39173,13.4,16409,"1213 of 3141"
"Williams County",39171,13.5,4835,"1240 of 3141"
"Sandusky County",39143,13.6,7916,"1248 of 3141"
"Summit County",39153,13.6,72232,"1249 of 3141"
"Lorain County",39093,13.7,40477,"1270 of 3141"
"Logan County",39091,13.7,6116,"1276 of 3141"
"Knox County",39083,13.8,7914,"1297 of 3141"
"Tuscarawas County",39157,13.8,12610,"1308 of 3141"
"Stark County",39151,14.0,50921,"1336 of 3141"
"Belmont County",39013,14.1,9153,"1361 of 3141"
"Hocking County",39073,14.2,3947,"1377 of 3141"
"Ashland County",39005,14.2,7230,"1380 of 3141"
"Huron County",39077,14.2,8224,"1390 of 3141"
"Portage County",39133,14.5,22493,"1439 of 3141"
"Clinton County",39027,14.7,5962,"1474 of 3141"
"Carroll County",39019,14.8,4053,"1488 of 3141"
"Coshocton County",39031,15.0,5424,"1537 of 3141"
"Allen County",39003,15.0,15088,"1545 of 3141"
"Seneca County",39147,15.2,7954,"1558 of 3141"
"Columbiana County",39029,15.4,15538,"1617 of 3141"
"Washington County",39167,15.5,9120,"1624 of 3141"
"Richland County",39139,15.6,17674,"1642 of 3141"
"Harrison County",39067,15.7,2371,"1671 of 3141"
"Crawford County",39033,16.2,6751,"1778 of 3141"
"Marion County",39101,16.6,9846,"1839 of 3141"
"Hardin County",39065,16.6,4844,"1845 of 3141"
"Muskingum County",39119,16.6,13877,"1855 of 3141"
"Clark County",39023,16.6,21956,"1858 of 3141"
"Franklin County",39049,16.7,203877,"1871 of 3141"
"Hamilton County",39061,17.0,134499,"1941 of 3141"
"Trumbull County",39155,17.2,34254,"1980 of 3141"
"Jefferson County",39081,17.6,11413,"2062 of 3141"
"Mahoning County",39099,17.6,39616,"2067 of 3141"
"Fayette County",39047,17.7,4944,"2076 of 3141"
"Brown County",39015,17.8,7641,"2093 of 3141"
"Montgomery County",39113,17.9,92085,"2115 of 3141"
"Ross County",39141,18.2,12925,"2187 of 3141"
"Cuyahoga County",39035,18.3,225265,"2198 of 3141"
"Lawrence County",39087,18.6,11201,"2246 of 3141"
"Perry County",39127,19.2,6838,"2326 of 3141"
"Monroe County",39111,19.7,2772,"2395 of 3141"
"Lucas County",39095,19.8,83744,"2404 of 3141"
"Ashtabula County",39007,19.8,18854,"2409 of 3141"
"Pike County",39131,20.0,5565,"2434 of 3141"
"Guernsey County",39059,20.2,7857,"2456 of 3141"
"Jackson County",39079,20.6,6627,"2497 of 3141"
"Gallia County",39053,20.9,6143,"2530 of 3141"
"Vinton County",39163,21.1,2747,"2552 of 3141"
"Morgan County",39115,21.5,3110,"2609 of 3141"
"Highland County",39071,21.6,9150,"2619 of 3141"
"Meigs County",39105,22.5,5179,"2695 of 3141"
"Adams County",39001,23.8,6537,"2796 of 3141"
"Scioto County",39145,23.9,17432,"2803 of 3141"
"Athens County",39009,30.2,16837,"3032 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
