------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_033.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Washington Parish",22117,No,212.2 ,195.6, 230,125,falling,-0.9 ,-1.3, -0.4
"Allen Parish",22003,No,210.4 ,186.8, 236.3,59,stable,-1.2 ,-2.5, 0.1
"Vernon Parish",22115,No,206.2 ,187.3, 226.5,90,stable,0.0 ,-0.7, 0.8
"St. Landry Parish",22097,No,205.2 ,192.4, 218.7,198,falling,-0.7 ,-1.0, -0.4
"Terrebonne Parish",22109,No,204.9 ,193.2, 217.1,239,falling,-0.8 ,-1.2, -0.5
"Winn Parish",22127,No,202.9 ,174.4, 234.9,38,falling,-1.0 ,-1.8, -0.2
"Evangeline Parish",22039,No,201.8 ,181.6, 223.7,75,falling,-0.8 ,-1.4, -0.2
"St. Bernard Parish",22087,No,201.7 ,181.1, 223.9,77,falling,-4.7 ,-8.5, -0.7
"Morehouse Parish",22067,No,200.7 ,179.6, 223.7,69,falling,-0.6 ,-1.2, -0.1
"Webster Parish",22119,No,200.6 ,184.1, 218.3,112,falling,-1.0 ,-1.5, -0.6
"Acadia Parish",22001,No,199.2 ,184.3, 214.9,137,falling,-1.0 ,-1.4, -0.5
"St. Mary Parish",22101,No,196.9 ,181.3, 213.6,121,falling,-1.3 ,-1.8, -0.8
"Avoyelles Parish",22009,No,196.5 ,179.3, 215.1,98,stable,-0.4 ,-1.0, 0.2
"St. Martin Parish",22099,No,196.5 ,180.2, 213.9,113,falling,-1.3 ,-1.8, -0.7
"De Soto Parish",22031,No,195.8 ,175, 218.5,67,falling,-1.0 ,-1.8, -0.3
"Iberia Parish",22045,No,195.2 ,181.4, 209.7,155,falling,-1.1 ,-1.6, -0.6
"Ouachita Parish",22073,No,195 ,185.5, 204.8,326,falling,-0.9 ,-1.3, -0.6
"Jackson Parish",22049,No,194.4 ,168.7, 223.2,43,stable,-0.8 ,-1.7, 0.1
"West Baton Rouge Parish",22121,No,193.6 ,170, 219.6,51,falling,-1.8 ,-2.8, -0.8
"St. Helena Parish",22091,No,193.6 ,161.1, 231.1,27,stable,-0.6 ,-1.8, 0.5
"Caddo Parish",22017,No,192.8 ,185.7, 200.1,579,falling,-1.0 ,-1.1, -0.8
"Grant Parish",22043,No,192.4 ,167.8, 219.6,46,falling,-1.1 ,-2.0, -0.3
"Beauregard Parish",22011,No,192.2 ,173.3, 212.5,79,stable,-0.7 ,-1.4, 0.0
"Assumption Parish",22007,No,191.5 ,168.6, 216.7,53,falling,-1.4 ,-2.1, -0.7
"Tangipahoa Parish",22105,No,191 ,180.3, 202.1,252,falling,-1.3 ,-1.7, -1.0
"Madison Parish",22065,No,190.7 ,157.5, 228.9,24,falling,-1.4 ,-2.5, -0.3
"Calcasieu Parish",22019,No,189.5 ,181.3, 198,416,falling,-1.2 ,-1.5, -0.8
"Natchitoches Parish",22069,No,188.8 ,170.8, 208.3,84,falling,-1.2 ,-1.8, -0.6
"St. James Parish",22093,No,188.2 ,164.7, 214.2,49,falling,-1.2 ,-2.0, -0.5
"LaFourche Parish",22057,No,187.2 ,175.7, 199.3,204,falling,-0.9 ,-1.3, -0.4
"Pointe Coupee Parish",22077,No,187 ,165.3, 211,57,falling,-1.3 ,-2.1, -0.5
"Union Parish",22111,No,186 ,164.3, 210,57,falling,-1.5 ,-2.3, -0.7
"Lincoln Parish",22061,No,185.4 ,168, 204.2,86,falling,-1.0 ,-1.5, -0.4
"Plaquemines Parish",22075,No,184.6 ,160.4, 211.4,43,falling,-1.8 ,-2.8, -0.7
"Rapides Parish",22079,No,181.8 ,172.3, 191.8,279,falling,-1.3 ,-1.7, -0.9
"St. Charles Parish",22089,No,181 ,164.4, 198.8,93,falling,-0.9 ,-1.5, -0.3
"St. John the Baptist Parish",22095,No,180.6 ,162.9, 199.6,83,falling,-0.9 ,-1.7, -0.1
"Livingston Parish",22063,No,176.2 ,165.7, 187.2,227,falling,-1.7 ,-2.1, -1.4
"Richland Parish",22083,No,175 ,152.2, 200.4,44,falling,-1.7 ,-2.4, -0.9
"Lafayette Parish",22055,No,173.9 ,166.1, 182,391,falling,-2.3 ,-3.1, -1.5
"Jefferson Parish",22051,No,173.1 ,168, 178.3,912,falling,-2.0 ,-2.5, -1.5
"East Baton Rouge Parish",22033,No,172.3 ,166.7, 177.9,769,falling,-1.3 ,-1.5, -1.1
"Orleans Parish",22071,No,171.3 ,165.4, 177.4,682,falling,-3.5 ,-4.4, -2.6
"Claiborne Parish",22027,No,171.1 ,147.3, 197.9,38,falling,-1.1 ,-1.7, -0.4
"West Feliciana Parish",22125,No,168.1 ,140.9, 199.3,30,falling,-2.5 ,-3.6, -1.3
"St. Tammany Parish",22103,No,167.1 ,160.3, 174.2,475,falling,-1.4 ,-1.7, -1.1
"La Salle Parish",22059,No,167 ,141.4, 196.2,31,falling,-1.1 ,-2.1, -0.1
"Vermilion Parish",22113,No,166.3 ,152.7, 180.9,112,falling,-3.3 ,-5.0, -1.5
"Sabine Parish",22085,No,165.2 ,145.7, 186.9,55,falling,-1.2 ,-2.0, -0.4
"Bossier Parish",22015,No,164.6 ,154.7, 174.9,211,falling,-1.8 ,-2.3, -1.3
"Ascension Parish",22005,No,161.5 ,150, 173.5,163,falling,-1.8 ,-2.3, -1.4
"Caldwell Parish",22021,Yes,158.9 ,128.9, 194.4,20,stable,-0.8 ,-2.0, 0.3
"Franklin Parish",22041,Yes,149.7 ,129.4, 172.6,40,falling,-1.9 ,-2.8, -0.9
"Tensas Parish",22107,Yes,132.9 ,98, 178.3,10,falling,-1.9 ,-3.5, -0.2
"Cameron Parish",22023,Yes,123.3 ,90.6, 164.6,10,falling,-7.3 ,-10.9, -3.4

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
