------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=006&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '006', 'type': 'death', 'file_name': 'deathrates_034.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=006&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <65"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"East Baton Rouge Parish",22033,Yes,60.7 ,57.4, 64.2,270,falling,-1.3 ,-1.7, -0.9
"Claiborne Parish",22027,Yes,60 ,45, 78.9,11,stable,-0.8 ,-2.1, 0.5
"Plaquemines Parish",22075,Yes,59.7 ,46.8, 75.4,15,falling,-2.0 ,-3.2, -0.7
"Vermilion Parish",22113,Yes,58.8 ,50.6, 68.1,38,falling,-2.5 ,-3.2, -1.7
"Jefferson Parish",22051,Yes,57.7 ,54.7, 60.9,291,falling,-1.8 ,-2.2, -1.5
"Lincoln Parish",22061,Yes,57 ,46.8, 68.9,23,falling,-2.1 ,-3.2, -0.9
"Bossier Parish",22015,Yes,56.9 ,51, 63.4,70,falling,-2.0 ,-2.6, -1.3
"St. Charles Parish",22089,Yes,55.9 ,47.6, 65.3,34,falling,-1.8 ,-2.7, -0.8
"Lafayette Parish",22055,Yes,55.4 ,51.2, 59.8,135,falling,-2.0 ,-2.6, -1.5
"St. Tammany Parish",22103,Yes,53.9 ,50.1, 58,155,falling,-1.9 ,-2.3, -1.5
"Ascension Parish",22005,Yes,51.8 ,46.2, 57.9,63,falling,-2.5 ,-3.2, -1.9
"Franklin Parish",22041,Yes,48.5 ,36.2, 64,11,falling,-1.8 ,-3.2, -0.3
"La Salle Parish",22059,Yes,46.5 ,33, 64.1,8,falling,-2.3 ,-4.0, -0.6
"Cameron Parish",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Tensas Parish",22107,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
