------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=040&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '040', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=040&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Pancreas, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"LaFourche Parish",22057,***,15.1 ,12, 18.8,17,stable,0.7 ,-0.9, 2.4
"St. James Parish",22093,***,15.1 ,9, 24.1,4,stable,-0.3 ,-2.2, 1.6
"Jefferson Davis Parish",22053,***,15 ,9.9, 21.8,6,stable,-1.1 ,-3.2, 1.0
"Evangeline Parish",22039,***,14.8 ,9.6, 21.8,5,stable,-1.2 ,-3.1, 0.7
"Plaquemines Parish",22075,***,14.6 ,8.4, 23.5,3,stable,-0.8 ,-2.8, 1.3
"Iberia Parish",22045,***,14.5 ,11, 18.9,11,stable,-1.0 ,-2.2, 0.2
"St. John the Baptist Parish",22095,***,14.1 ,9.3, 20.4,6,*,*,*,*
"Natchitoches Parish",22069,***,14.1 ,9.5, 20.2,6,stable,2.4 ,0.0, 4.7
"Tangipahoa Parish",22105,***,14 ,11.2, 17.2,19,stable,0.4 ,-1.1, 1.8
"East Baton Rouge Parish",22033,***,13.9 ,12.3, 15.5,62,stable,0.5 ,-0.3, 1.3
"Calcasieu Parish",22019,***,13.8 ,11.7, 16.2,31,stable,1.0 ,0.0, 2.0
"West Baton Rouge Parish",22121,***,13.6 ,8.1, 21.6,4,*,*,*,*
"Morehouse Parish",22067,***,13.6 ,8.7, 20.5,5,stable,-0.5 ,-2.7, 1.8
"St. Landry Parish",22097,***,13.5 ,10.4, 17.2,13,stable,0.2 ,-1.3, 1.8
"Claiborne Parish",22027,***,13.3 ,7.6, 22.4,3,*,*,*,*
"St. Charles Parish",22089,***,13.3 ,9.1, 18.8,7,stable,0.4 ,-2.1, 3.0
"Vermilion Parish",22113,***,13.2 ,9.6, 17.9,9,stable,-1.1 ,-3.0, 0.8
"Union Parish",22111,***,13.1 ,7.7, 21.2,4,stable,0.8 ,-1.8, 3.5
"St. Tammany Parish",22103,***,13 ,11.2, 15.1,36,stable,-0.4 ,-1.7, 0.9
"St. Martin Parish",22099,***,13 ,9, 18.1,7,stable,-2.3 ,-4.5, 0.0
"Ascension Parish",22005,***,12.8 ,9.7, 16.6,13,stable,0.9 ,-0.8, 2.5
"Livingston Parish",22063,***,12.8 ,10.1, 16,16,stable,0.0 ,-1.6, 1.5
"Webster Parish",22119,***,12.8 ,8.9, 17.9,7,stable,1.2 ,-0.8, 3.1
"Caddo Parish",22017,***,12.8 ,11, 14.7,38,stable,0.9 ,-0.1, 1.8
"Lafayette Parish",22055,***,12.5 ,10.5, 14.8,28,falling,-1.7 ,-2.6, -0.8
"Washington Parish",22117,***,12.4 ,8.7, 17.3,8,stable,-0.1 ,-1.8, 1.6
"St. Bernard Parish",22087,***,12 ,7.5, 18,5,stable,0.9 ,-0.7, 2.6
"Jefferson Parish",22051,***,11.9 ,10.6, 13.4,63,stable,0.1 ,-0.6, 0.9
"Ouachita Parish",22073,***,11.3 ,9, 13.9,18,stable,-0.5 ,-2.1, 1.0
"Orleans Parish",22071,***,11.3 ,9.8, 12.9,46,stable,-0.7 ,-1.5, 0.2
"Lincoln Parish",22061,***,11.2 ,7.2, 16.6,5,stable,0.3 ,-1.7, 2.4
"Bossier Parish",22015,***,11 ,8.6, 13.9,14,stable,0.1 ,-1.4, 1.6
"Terrebonne Parish",22109,***,11 ,8.4, 14.1,13,stable,0.8 ,-0.8, 2.4
"St. Mary Parish",22101,***,10.8 ,7.4, 15.3,7,stable,-1.4 ,-3.0, 0.2
"Assumption Parish",22007,***,10.6 ,6, 17.6,3,*,*,*,*
"Beauregard Parish",22011,***,9.9 ,6.1, 15.2,4,*,*,*,*
"Sabine Parish",22085,***,8.8 ,5, 14.9,3,*,*,*,*
"Bienville Parish",22013,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell Parish",22021,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron Parish",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Catahoula Parish",22025,***,* ,*, *,3 or fewer,*,*,*,*
"Concordia Parish",22029,***,* ,*, *,3 or fewer,*,*,*,*
"East Carroll Parish",22035,***,* ,*, *,3 or fewer,*,*,*,*
"East Feliciana Parish",22037,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin Parish",22041,***,* ,*, *,3 or fewer,*,*,*,*
"Grant Parish",22043,***,* ,*, *,3 or fewer,*,*,*,*
"Jackson Parish",22049,***,* ,*, *,3 or fewer,*,*,*,*
"La Salle Parish",22059,***,* ,*, *,3 or fewer,*,*,*,*
"Madison Parish",22065,***,* ,*, *,3 or fewer,*,*,*,*
"Red River Parish",22081,***,* ,*, *,3 or fewer,*,*,*,*
"St. Helena Parish",22091,***,* ,*, *,3 or fewer,*,*,*,*
"Tensas Parish",22107,***,* ,*, *,3 or fewer,*,*,*,*
"West Carroll Parish",22123,***,* ,*, *,3 or fewer,*,*,*,*
"West Feliciana Parish",22125,***,* ,*, *,3 or fewer,*,*,*,*
"Winn Parish",22127,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.

*** No Healthy People 2020 Objective for this cancer.
State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
