------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=07&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '07', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=07&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"White Non-Hispanic, Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"West Carroll Parish (6, 7)",22123,No,206.2 ,172.7, 245.1,28,falling,-1.3 ,-2.4, -0.2
"Concordia Parish (6, 7)",22029,No,202.6 ,172.2, 237.3,33,stable,0.1 ,-1.1, 1.3
"Terrebonne Parish (6, 7)",22109,No,202.5 ,189.5, 216.3,185,*,*,*,*
"Evangeline Parish (6, 7)",22039,No,202.4 ,179.3, 227.8,58,*,*,*,*
"East Feliciana Parish (6, 7)",22037,No,202.2 ,169.3, 240.2,29,stable,0.3 ,-1.1, 1.6
"Red River Parish (6, 7)",22081,No,202 ,159.3, 254.4,16,*,*,*,*
"Webster Parish (6, 7)",22119,No,200.6 ,181.1, 222,80,stable,-0.8 ,-1.6, 0.0
"St. Landry Parish (6, 7)",22097,No,196.3 ,180.7, 213,122,stable,-0.3 ,-1.0, 0.3
"Winn Parish (6, 7)",22127,No,195.7 ,163.3, 233.2,28,*,*,*,*
"Beauregard Parish (6, 7)",22011,No,195 ,174.7, 217.1,69,stable,-0.5 ,-1.5, 0.4
"Avoyelles Parish (6, 7)",22009,No,194.2 ,174.4, 215.7,73,*,*,*,*
"Acadia Parish (6, 7)",22001,No,193.4 ,177.4, 210.4,111,*,*,*,*
"Grant Parish (6, 7)",22043,No,190.9 ,164.6, 220.4,39,stable,-1.0 ,-2.2, 0.1
"Union Parish (6, 7)",22111,No,190.1 ,164.9, 218.5,45,stable,-0.8 ,-1.9, 0.5
"Iberia Parish (6, 7)",22045,No,185.2 ,169.5, 202.1,105,falling,-1.0 ,-1.8, -0.3
"St. Mary Parish (6, 7)",22101,No,185 ,166.6, 205,76,stable,-0.9 ,-1.8, 0.0
"Ouachita Parish (6, 7)",22073,No,184.9 ,174.1, 196.2,226,falling,-0.9 ,-1.5, -0.3
"Madison Parish (6, 7)",22065,No,184.3 ,136.6, 245.3,11,stable,-0.9 ,-2.5, 0.8
"Jackson Parish (6, 7)",22049,No,184.3 ,155.3, 217.8,30,stable,-0.9 ,-2.1, 0.3
"LaFourche Parish (6, 7)",22057,No,181.9 ,169.7, 194.8,171,stable,-0.6 ,-1.4, 0.1
"Assumption Parish (6, 7)",22007,No,181.9 ,155.9, 211.2,37,falling,-1.3 ,-2.4, -0.3
"St. Martin Parish (6, 7)",22099,No,181.8 ,163.4, 201.8,75,*,*,*,*
"Iberville Parish (6, 7)",22047,No,181.5 ,156.9, 209.3,40,*,*,*,*
"Morehouse Parish (6, 7)",22067,No,181.1 ,155.9, 210,40,stable,-0.1 ,-1.2, 1.0
"Tangipahoa Parish (6, 7)",22105,No,180.9 ,169.1, 193.4,183,falling,-1.1 ,-1.8, -0.5
"Calcasieu Parish (6, 7)",22019,No,180.9 ,171.8, 190.4,305,falling,-1.2 ,-1.9, -0.4
"Plaquemines Parish (6, 7)",22075,No,180.3 ,152.6, 211.8,31,*,*,*,*
"Livingston Parish (6, 7)",22063,No,178.4 ,167.5, 189.9,214,falling,-1.6 ,-2.3, -1.0
"De Soto Parish (6, 7)",22031,No,178.3 ,153.4, 206.5,38,stable,-0.9 ,-2.1, 0.4
"St. Helena Parish (6, 7)",22091,No,176.6 ,135.4, 228.9,13,stable,-1.1 ,-2.8, 0.6
"Jefferson Parish (6, 7)",22051,No,176.3 ,170.2, 182.7,661,falling,-1.3 ,-1.9, -0.7
"West Baton Rouge Parish (6, 7)",22121,No,176.3 ,148.5, 207.9,29,falling,-1.9 ,-3.2, -0.6
"Natchitoches Parish (6, 7)",22069,No,175.9 ,154.1, 200.2,50,falling,-1.5 ,-2.3, -0.6
"St. Charles Parish (6, 7)",22089,No,175.9 ,157, 196.5,67,*,*,*,*
"Caddo Parish (6, 7)",22017,No,174.4 ,165.7, 183.5,318,falling,-0.8 ,-1.5, -0.1
"Rapides Parish (6, 7)",22079,No,172.5 ,161.6, 184,193,falling,-1.4 ,-2.0, -0.8
"Lafayette Parish (6, 7)",22055,No,171.9 ,163.2, 181.1,298,falling,-1.1 ,-1.7, -0.5
"St. John the Baptist Parish (6, 7)",22095,No,171.4 ,148.6, 197.3,42,*,*,*,*
"Pointe Coupee Parish (6, 7)",22077,No,170.2 ,145.2, 198.9,35,*,*,*,*
"Sabine Parish (6, 7)",22085,No,170 ,147.5, 195.4,45,stable,-1.0 ,-2.1, 0.1
"La Salle Parish (6, 7)",22059,No,169.5 ,142.5, 200.6,28,*,*,*,*
"Richland Parish (6, 7)",22083,No,168.7 ,142.4, 198.9,30,falling,-1.6 ,-2.7, -0.4
"St. Tammany Parish (6, 7)",22103,No,168.7 ,161.3, 176.3,418,falling,-1.3 ,-1.8, -0.7
"Claiborne Parish (6, 7)",22027,No,167.2 ,136.9, 203.8,23,*,*,*,*
"Bossier Parish (6, 7)",22015,No,166.4 ,155.3, 178.2,169,falling,-1.9 ,-2.6, -1.3
"Vermilion Parish (6, 7)",22113,No,163.3 ,148.8, 178.9,96,*,*,*,*
"Lincoln Parish (6, 7)",22061,Yes,161.3 ,141.6, 183.2,50,*,*,*,*
"Ascension Parish (6, 7)",22005,Yes,160.6 ,147.7, 174.2,126,*,*,*,*
"St. James Parish (6, 7)",22093,Yes,159.3 ,131.4, 192,23,*,*,*,*
"East Baton Rouge Parish (6, 7)",22033,Yes,152 ,145.4, 158.9,419,falling,-1.5 ,-2.1, -0.8
"Franklin Parish (6, 7)",22041,Yes,151.8 ,128.3, 178.8,31,*,*,*,*
"Caldwell Parish (6, 7)",22021,Yes,151.6 ,119.7, 190.2,16,*,*,*,*
"West Feliciana Parish (6, 7)",22125,Yes,148.3 ,115.4, 188.3,15,*,*,*,*
"Orleans Parish (6, 7)",22071,Yes,141 ,132, 150.5,196,falling,-2.0 ,-2.8, -1.2
"Cameron Parish (6, 7)",22023,Yes,126.9 ,92.9, 170.1,10,falling,-3.5 ,-5.6, -1.3
"Tensas Parish (6, 7)",22107,Yes,112.6 ,72.3, 178.3,5,falling,-2.6 ,-5.0, -0.3

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"(6) Hispanic mortality data for the United States has been excluded for the following states: Louisiana, New Hampshire, and Oklahoma. The data on Hispanic and non-Hispanic mortality for these states may be unreliable for the time period used in the generation of the recent trend (1990 - 2016) and has been excluded from the calculation of the United States recent trend. This was based on the NCHS Policy. "
(7) Data on Hispanic and non-Hispanic mortality may be unreliable for the time period used in the generation of the recent trend (1990 - 2016) for this state and the user is cautioned against drawing conclusions from such data. This was based on the NCHS Policy. 

"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
