------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=047&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '047', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=047&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Lung & Bronchus, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 45.5?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"West Baton Rouge Parish",22121,No,48.6 ,37.3, 62.2,13,falling,-1.6 ,-2.9, -0.3
"Plaquemines Parish",22075,No,48.3 ,36.4, 62.9,11,stable,-1.6 ,-3.3, 0.2
"Madison Parish",22065,No,48.1 ,32.4, 69,6,falling,-1.8 ,-3.4, -0.2
"Lincoln Parish",22061,No,48.1 ,39.5, 58,23,falling,-1.5 ,-2.7, -0.4
"Rapides Parish",22079,No,47.5 ,42.7, 52.7,74,falling,-1.4 ,-2.2, -0.7
"Jefferson Parish",22051,No,46.8 ,44.2, 49.6,249,falling,-3.1 ,-3.9, -2.3
"Claiborne Parish",22027,No,46.3 ,34.5, 61.2,10,stable,-0.7 ,-2.4, 1.0
"Natchitoches Parish",22069,No,46.1 ,37.6, 56.1,21,falling,-1.4 ,-2.5, -0.3
"Pointe Coupee Parish",22077,No,46.1 ,35.8, 58.7,14,stable,-1.0 ,-2.8, 0.9
"St. Tammany Parish",22103,No,46.1 ,42.6, 49.8,134,falling,-2.3 ,-2.8, -1.9
"Orleans Parish",22071,Yes,44.8 ,41.8, 48,177,falling,-2.1 ,-2.6, -1.6
"Franklin Parish",22041,Yes,44.6 ,34, 57.6,12,falling,-1.5 ,-2.8, -0.2
"East Baton Rouge Parish",22033,Yes,41.7 ,39.1, 44.6,188,falling,-1.9 ,-2.4, -1.4
"Sabine Parish",22085,Yes,40.4 ,31.2, 51.8,14,falling,-15.1 ,-26.7, -1.6
"St. John the Baptist Parish",22095,Yes,39.6 ,31.7, 49,19,falling,-2.3 ,-3.6, -0.9
"Cameron Parish",22023,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
