------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Bladder, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Terrebonne Parish",22109,***,3.3 ,2, 5.3,4,*,*,*,*
"St. Landry Parish",22097,***,3.2 ,1.8, 5.3,3,stable,0.2 ,-2.4, 2.9
"Tangipahoa Parish",22105,***,3.2 ,1.9, 4.9,4,*,*,*,*
"Rapides Parish",22079,***,2.3 ,1.3, 3.7,3,stable,0.4 ,-2.2, 3.1
"Acadia Parish",22001,***,* ,*, *,3 or fewer,*,*,*,*
"Allen Parish",22003,***,* ,*, *,3 or fewer,*,*,*,*
"Ascension Parish",22005,***,* ,*, *,3 or fewer,*,*,*,*
"Assumption Parish",22007,***,* ,*, *,3 or fewer,*,*,*,*
"Avoyelles Parish",22009,***,* ,*, *,3 or fewer,*,*,*,*
"Beauregard Parish",22011,***,* ,*, *,3 or fewer,*,*,*,*
"Bienville Parish",22013,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell Parish",22021,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron Parish",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Catahoula Parish",22025,***,* ,*, *,3 or fewer,*,*,*,*
"Claiborne Parish",22027,***,* ,*, *,3 or fewer,*,*,*,*
"Concordia Parish",22029,***,* ,*, *,3 or fewer,*,*,*,*
"De Soto Parish",22031,***,* ,*, *,3 or fewer,*,*,*,*
"East Carroll Parish",22035,***,* ,*, *,3 or fewer,*,*,*,*
"East Feliciana Parish",22037,***,* ,*, *,3 or fewer,*,*,*,*
"Evangeline Parish",22039,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin Parish",22041,***,* ,*, *,3 or fewer,*,*,*,*
"Grant Parish",22043,***,* ,*, *,3 or fewer,*,*,*,*
"Iberia Parish",22045,***,* ,*, *,3 or fewer,*,*,*,*
"Iberville Parish",22047,***,* ,*, *,3 or fewer,*,*,*,*
"Jackson Parish",22049,***,* ,*, *,3 or fewer,*,*,*,*
"Jefferson Davis Parish",22053,***,* ,*, *,3 or fewer,*,*,*,*
"La Salle Parish",22059,***,* ,*, *,3 or fewer,*,*,*,*
"Lincoln Parish",22061,***,* ,*, *,3 or fewer,*,*,*,*
"Madison Parish",22065,***,* ,*, *,3 or fewer,*,*,*,*
"Morehouse Parish",22067,***,* ,*, *,3 or fewer,*,*,*,*
"Natchitoches Parish",22069,***,* ,*, *,3 or fewer,*,*,*,*
"Plaquemines Parish",22075,***,* ,*, *,3 or fewer,*,*,*,*
"Pointe Coupee Parish",22077,***,* ,*, *,3 or fewer,*,*,*,*
"Red River Parish",22081,***,* ,*, *,3 or fewer,*,*,*,*
"Richland Parish",22083,***,* ,*, *,3 or fewer,*,*,*,*
"Sabine Parish",22085,***,* ,*, *,3 or fewer,*,*,*,*
"St. Bernard Parish",22087,***,* ,*, *,3 or fewer,*,*,*,*
"St. Charles Parish",22089,***,* ,*, *,3 or fewer,*,*,*,*
"St. Helena Parish",22091,***,* ,*, *,3 or fewer,*,*,*,*
"St. James Parish",22093,***,* ,*, *,3 or fewer,*,*,*,*
"St. John the Baptist Parish",22095,***,* ,*, *,3 or fewer,*,*,*,*
"St. Martin Parish",22099,***,* ,*, *,3 or fewer,*,*,*,*
"Tensas Parish",22107,***,* ,*, *,3 or fewer,*,*,*,*
"Union Parish",22111,***,* ,*, *,3 or fewer,*,*,*,*
"Vermilion Parish",22113,***,* ,*, *,3 or fewer,*,*,*,*
"Vernon Parish",22115,***,* ,*, *,3 or fewer,*,*,*,*
"Webster Parish",22119,***,* ,*, *,3 or fewer,*,*,*,*
"West Baton Rouge Parish",22121,***,* ,*, *,3 or fewer,*,*,*,*
"West Carroll Parish",22123,***,* ,*, *,3 or fewer,*,*,*,*
"West Feliciana Parish",22125,***,* ,*, *,3 or fewer,*,*,*,*
"Winn Parish",22127,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.

*** No Healthy People 2020 Objective for this cancer.
State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
