------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '1', 'age': '001', 'type': 'death', 'file_name': 'deathrates_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Livingston Parish",22063,No,227.7 ,209.5, 246.9,132,falling,-1.9 ,-2.3, -1.5
"Iberia Parish",22045,No,226.8 ,204.4, 250.9,81,falling,-1.7 ,-2.4, -1.0
"LaFourche Parish",22057,No,226.7 ,207.5, 247.2,109,falling,-1.5 ,-2.0, -0.9
"Madison Parish",22065,No,223.4 ,170.5, 287.4,13,falling,-3.4 ,-4.8, -2.0
"Pointe Coupee Parish",22077,No,220.8 ,186.2, 260.4,30,falling,-1.8 ,-2.8, -0.9
"St. Charles Parish",22089,No,220.4 ,192.9, 250.6,52,stable,-1.0 ,-1.9, 0.0
"East Baton Rouge Parish",22033,No,217.6 ,207.9, 227.6,410,falling,-1.6 ,-1.8, -1.3
"Lafayette Parish",22055,No,214.3 ,200.8, 228.4,206,falling,-1.9 ,-2.3, -1.5
"Jefferson Parish",22051,No,214.3 ,205.6, 223.3,484,falling,-1.9 ,-2.2, -1.6
"Orleans Parish",22071,No,208.2 ,198.2, 218.6,359,falling,-3.3 ,-3.8, -2.8
"Ascension Parish",22005,No,204.4 ,184, 226.3,89,falling,-2.5 ,-3.0, -1.9
"St. Tammany Parish",22103,No,202.8 ,191.4, 214.8,256,falling,-1.8 ,-2.2, -1.4
"La Salle Parish",22059,No,202 ,159.4, 252.5,16,falling,-1.9 ,-3.1, -0.8
"West Feliciana Parish",22125,No,198 ,159.1, 244.1,22,falling,-2.7 ,-4.0, -1.4
"Bossier Parish",22015,No,196.1 ,179.5, 213.7,109,falling,-3.3 ,-4.2, -2.5
"Vermilion Parish",22113,No,193.9 ,171.8, 218,59,falling,-1.9 ,-2.5, -1.2
"Claiborne Parish",22027,No,188.4 ,152.2, 231.1,19,falling,-1.6 ,-2.6, -0.6
"Sabine Parish",22085,No,185.7 ,155.8, 220.1,29,falling,-1.8 ,-2.8, -0.8
"Franklin Parish",22041,No,178.9 ,144.7, 218.9,20,falling,-2.3 ,-3.3, -1.2
"Caldwell Parish",22021,No,174.5 ,128, 232.7,10,falling,-9.4 ,-15.3, -3.0
"Cameron Parish",22023,Yes,159.1 ,103.8, 233.6,6,stable,-1.9 ,-3.7, 0.0
"Tensas Parish",22107,Yes,154.6 ,98.4, 235,5,falling,-2.4 ,-4.3, -0.4

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
