------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=020&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=020&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Colon & Rectum, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 14.5?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Vernon Parish",22115,No,20 ,14.4, 26.9,9,stable,1.8 ,-0.2, 3.8
"Jackson Parish",22049,No,19.6 ,11.9, 30.7,4,*,*,*,*
"Pointe Coupee Parish",22077,No,19.4 ,12.8, 28.5,6,stable,-1.5 ,-3.4, 0.5
"Washington Parish",22117,No,19 ,14.2, 24.9,11,stable,-0.9 ,-2.3, 0.4
"Tangipahoa Parish",22105,No,18 ,14.9, 21.7,24,falling,-1.4 ,-2.7, -0.1
"Bienville Parish",22013,No,17.9 ,10.1, 29.8,3,stable,-0.6 ,-3.5, 2.3
"Ouachita Parish",22073,No,17.8 ,15, 20.9,30,falling,-1.4 ,-2.2, -0.5
"Calcasieu Parish",22019,No,17.5 ,15.1, 20.2,39,falling,-1.6 ,-2.4, -0.9
"LaFourche Parish",22057,No,17.5 ,14.1, 21.5,19,stable,-1.0 ,-2.1, 0.1
"Assumption Parish",22007,No,17.1 ,10.7, 26.1,5,stable,-2.1 ,-4.3, 0.2
"Caddo Parish",22017,No,17 ,14.9, 19.3,50,falling,-3.5 ,-5.3, -1.7
"St. Charles Parish",22089,No,16.9 ,12.1, 23,9,stable,-1.6 ,-3.2, 0.1
"Vermilion Parish",22113,No,16.5 ,12.4, 21.6,11,stable,-0.6 ,-2.4, 1.1
"Plaquemines Parish",22075,No,16.4 ,9.8, 25.7,4,stable,-2.6 ,-6.1, 1.0
"Lincoln Parish",22061,No,16.3 ,11.4, 22.6,7,stable,-1.1 ,-2.6, 0.5
"Lafayette Parish",22055,No,16.2 ,13.9, 18.8,37,falling,-1.3 ,-2.3, -0.2
"Claiborne Parish",22027,No,16.1 ,9.2, 26.6,3,stable,-2.1 ,-4.3, 0.1
"East Baton Rouge Parish",22033,No,16 ,14.4, 17.8,71,falling,-1.8 ,-2.4, -1.2
"Rapides Parish",22079,No,15.9 ,13.1, 19.1,24,falling,-2.2 ,-3.3, -1.0
"Beauregard Parish",22011,No,15.7 ,10.7, 22.3,7,stable,-1.0 ,-2.8, 0.9
"Webster Parish",22119,No,15.7 ,11.4, 21.1,9,falling,-5.0 ,-8.0, -1.9
"Morehouse Parish",22067,No,15.7 ,10.3, 23.1,6,falling,-2.1 ,-4.0, -0.2
"Franklin Parish",22041,No,15.6 ,9.7, 24,4,stable,-1.2 ,-3.1, 0.8
"Livingston Parish",22063,No,15.4 ,12.5, 18.9,20,falling,-3.1 ,-4.5, -1.7
"Orleans Parish",22071,No,15.1 ,13.4, 17,60,falling,-5.3 ,-6.6, -4.0
"St. John the Baptist Parish",22095,No,15 ,10.4, 20.9,8,falling,-2.3 ,-4.0, -0.5
"Bossier Parish",22015,No,15 ,12.1, 18.3,19,falling,-2.4 ,-3.4, -1.3
"Jefferson Parish",22051,No,14.9 ,13.4, 16.4,80,falling,-2.4 ,-3.0, -1.7
"Richland Parish",22083,No,14.6 ,8.4, 23.6,3,stable,-0.5 ,-3.0, 2.0
"West Baton Rouge Parish",22121,Yes,14.4 ,8.5, 22.8,4,falling,-3.8 ,-6.0, -1.6
"De Soto Parish",22031,Yes,14.3 ,9.1, 21.6,5,falling,-2.8 ,-4.5, -1.0
"St. Tammany Parish",22103,Yes,14.1 ,12.2, 16.3,39,stable,-7.0 ,-18.0, 5.4
"St. Bernard Parish",22087,Yes,14.1 ,9, 20.8,5,falling,-2.4 ,-3.8, -0.9
"Ascension Parish",22005,Yes,13.6 ,10.4, 17.4,14,falling,-2.8 ,-4.3, -1.2
"Caldwell Parish",22021,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron Parish",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Catahoula Parish",22025,***,* ,*, *,3 or fewer,*,*,*,*
"East Carroll Parish",22035,***,* ,*, *,3 or fewer,*,*,*,*
"La Salle Parish",22059,***,* ,*, *,3 or fewer,*,*,*,*
"Madison Parish",22065,***,* ,*, *,3 or fewer,*,*,*,*
"Red River Parish",22081,***,* ,*, *,3 or fewer,*,*,*,*
"St. Helena Parish",22091,***,* ,*, *,3 or fewer,*,*,*,*
"Tensas Parish",22107,***,* ,*, *,3 or fewer,*,*,*,*
"West Feliciana Parish",22125,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
