------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '035', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Liver & Bile Duct, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Calcasieu Parish",22019,***,10.5 ,8.7, 12.6,24,rising,3.5 ,1.5, 5.5
"Evangeline Parish",22039,***,10.4 ,6.2, 16.4,4,*,*,*,*
"Sabine Parish",22085,***,10.3 ,6.1, 16.9,4,*,*,*,*
"Beauregard Parish",22011,***,9.9 ,6.1, 15.2,4,*,*,*,*
"Natchitoches Parish",22069,***,9.9 ,6.2, 15.1,5,*,*,*,*
"Iberia Parish",22045,***,9.7 ,6.9, 13.3,8,*,*,*,*
"Caddo Parish",22017,***,9.6 ,8.1, 11.4,29,rising,4.3 ,2.9, 5.8
"Webster Parish",22119,***,9.5 ,6.2, 14.2,5,*,*,*,*
"Orleans Parish",22071,***,9.5 ,8.2, 10.9,42,rising,2.2 ,1.1, 3.3
"Jefferson Parish",22051,***,8.8 ,7.7, 10.1,48,rising,2.6 ,1.6, 3.7
"East Baton Rouge Parish",22033,***,8.8 ,7.6, 10.2,41,rising,2.3 ,1.4, 3.1
"St. Charles Parish",22089,***,8.8 ,5.5, 13.4,5,*,*,*,*
"St. Martin Parish",22099,***,8.7 ,5.7, 12.7,6,*,*,*,*
"Tangipahoa Parish",22105,***,8.7 ,6.6, 11.2,13,rising,1.8 ,0.2, 3.4
"Washington Parish",22117,***,8.6 ,5.6, 12.7,5,stable,1.5 ,-1.1, 4.1
"Lafayette Parish",22055,***,8.5 ,6.9, 10.3,21,rising,2.3 ,0.9, 3.8
"Avoyelles Parish",22009,***,8.2 ,5, 12.7,4,*,*,*,*
"Terrebonne Parish",22109,***,8 ,6, 10.6,10,rising,2.7 ,0.3, 5.2
"St. Mary Parish",22101,***,8 ,5.2, 11.9,5,*,*,*,*
"Rapides Parish",22079,***,7.4 ,5.6, 9.6,12,stable,-0.1 ,-1.7, 1.5
"Vernon Parish",22115,***,7.3 ,4.2, 11.7,3,*,*,*,*
"Vermilion Parish",22113,***,7.2 ,4.6, 10.7,5,*,*,*,*
"St. Tammany Parish",22103,***,6.9 ,5.6, 8.5,21,stable,1.4 ,-0.3, 3.1
"Ascension Parish",22005,***,6.9 ,4.8, 9.7,7,*,*,*,*
"Bossier Parish",22015,***,6.6 ,4.8, 8.9,9,*,*,*,*
"Livingston Parish",22063,***,6.2 ,4.4, 8.5,8,stable,-1.0 ,-3.9, 1.9
"Acadia Parish",22001,***,5.3 ,3.2, 8.3,4,*,*,*,*
"Ouachita Parish",22073,***,4.9 ,3.5, 6.6,9,stable,0.1 ,-2.0, 2.2
"Allen Parish",22003,***,* ,*, *,3 or fewer,*,*,*,*
"Assumption Parish",22007,***,* ,*, *,3 or fewer,*,*,*,*
"Bienville Parish",22013,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell Parish",22021,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron Parish",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Catahoula Parish",22025,***,* ,*, *,3 or fewer,*,*,*,*
"Claiborne Parish",22027,***,* ,*, *,3 or fewer,*,*,*,*
"Concordia Parish",22029,***,* ,*, *,3 or fewer,*,*,*,*
"East Carroll Parish",22035,***,* ,*, *,3 or fewer,*,*,*,*
"East Feliciana Parish",22037,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin Parish",22041,***,* ,*, *,3 or fewer,*,*,*,*
"Grant Parish",22043,***,* ,*, *,3 or fewer,*,*,*,*
"Iberville Parish",22047,***,* ,*, *,3 or fewer,*,*,*,*
"Jackson Parish",22049,***,* ,*, *,3 or fewer,*,*,*,*
"La Salle Parish",22059,***,* ,*, *,3 or fewer,*,*,*,*
"Lincoln Parish",22061,***,* ,*, *,3 or fewer,*,*,*,*
"Madison Parish",22065,***,* ,*, *,3 or fewer,*,*,*,*
"Plaquemines Parish",22075,***,* ,*, *,3 or fewer,*,*,*,*
"Red River Parish",22081,***,* ,*, *,3 or fewer,*,*,*,*
"Richland Parish",22083,***,* ,*, *,3 or fewer,*,*,*,*
"St. Helena Parish",22091,***,* ,*, *,3 or fewer,*,*,*,*
"St. James Parish",22093,***,* ,*, *,3 or fewer,*,*,*,*
"Tensas Parish",22107,***,* ,*, *,3 or fewer,*,*,*,*
"Union Parish",22111,***,* ,*, *,3 or fewer,*,*,*,*
"West Carroll Parish",22123,***,* ,*, *,3 or fewer,*,*,*,*
"West Feliciana Parish",22125,***,* ,*, *,3 or fewer,*,*,*,*
"Winn Parish",22127,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.

*** No Healthy People 2020 Objective for this cancer.
State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
