------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Hawkins County",47073,13.2,5326,"2634 of 3141"
"Marshall County",47117,13.4,2924,"2593 of 3141"
"DeKalb County",47041,13.6,1854,"2567 of 3141"
"Rhea County",47143,14.2,3135,"2460 of 3141"
"Warren County",47177,14.4,3938,"2434 of 3141"
"Henderson County",47077,14.4,2777,"2433 of 3141"
"Sequatchie County",47153,14.5,1495,"2404 of 3141"
"Dickson County",47043,14.7,5140,"2366 of 3141"
"Giles County",47055,14.8,3020,"2351 of 3141"
"Unicoi County",47171,14.9,1962,"2327 of 3141"
"Greene County",47059,15.0,7358,"2312 of 3141"
"Stewart County",47161,15.1,1424,"2285 of 3141"
"Trousdale County",47169,15.2,913,"2267 of 3141"
"Tipton County",47167,15.3,6189,"2249 of 3141"
"McMinn County",47107,15.4,5670,"2239 of 3141"
"Carter County",47019,15.5,6398,"2217 of 3141"
"Obion County",47131,15.6,3341,"2196 of 3141"
"Bedford County",47003,15.7,4825,"2191 of 3141"
"Carroll County",47017,15.8,3062,"2157 of 3141"
"Henry County",47079,15.9,3686,"2139 of 3141"
"Jefferson County",47089,16.2,6032,"2064 of 3141"
"Hamblen County",47063,16.4,7155,"2030 of 3141"
"Chester County",47023,16.5,1790,"2024 of 3141"
"Gibson County",47053,17.8,5898,"1795 of 3141"
"Sevier County",47155,18.0,12112,"1764 of 3141"
"Dyer County",47045,18.1,4604,"1747 of 3141"
"Robertson County",47147,18.1,8372,"1739 of 3141"
"Lincoln County",47103,18.3,4314,"1707 of 3141"
"Cumberland County",47035,18.6,8189,"1649 of 3141"
"Coffee County",47031,18.9,6951,"1588 of 3141"
"Roane County",47145,19.3,7518,"1517 of 3141"
"Cheatham County",47021,19.4,5301,"1505 of 3141"
"Moore County",47127,19.5,889,"1491 of 3141"
"Franklin County",47051,20.6,5796,"1305 of 3141"
"Maury County",47119,20.7,12430,"1288 of 3141"
"Weakley County",47183,20.8,4473,"1258 of 3141"
"Bradley County",47011,21.8,15247,"1136 of 3141"
"Sullivan County",47163,22.0,24890,"1120 of 3141"
"Fayette County",47047,22.4,6397,"1059 of 3141"
"Blount County",47009,23.4,21115,"944 of 3141"
"Anderson County",47001,23.8,12753,"901 of 3141"
"Putnam County",47141,24.8,11941,"814 of 3141"
"Madison County",47113,26.1,16897,"716 of 3141"
"Loudon County",47105,26.2,9779,"713 of 3141"
"Montgomery County",47125,26.2,30946,"710 of 3141"
"Sumner County",47165,26.5,31660,"689 of 3141"
"Wilson County",47189,29.7,26135,"505 of 3141"
"Hamilton County",47065,30.5,75324,"454 of 3141"
"Shelby County",47157,30.6,185715,"448 of 3141"
"Rutherford County",47149,31.8,59024,"384 of 3141"
"Washington County",47179,31.9,27514,"382 of 3141"
"Knox County",47093,36.5,109799,"230 of 3141"
"Davidson County",47037,39.1,181425,"176 of 3141"
"Williamson County",47187,58.1,79802,"12 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
