------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Warren County",47177,50.6,20364,"1871 of 3141"
"Rhea County",47143,50.7,16451,"1884 of 3141"
"Scott County",47151,50.7,11118,"1886 of 3141"
"Robertson County",47147,50.7,34736,"1887 of 3141"
"Sequatchie County",47153,50.7,7425,"1909 of 3141"
"Rutherford County",47149,50.7,151261,"1925 of 3141"
"Moore County",47127,50.7,3194,"1928 of 3141"
"Fentress County",47049,50.7,9094,"1938 of 3141"
"Lawrence County",47099,50.7,21602,"1963 of 3141"
"Grundy County",47061,50.8,6784,"2033 of 3141"
"Decatur County",47039,50.8,5937,"2083 of 3141"
"Lincoln County",47103,50.8,17055,"2102 of 3141"
"Clay County",47027,50.8,3907,"2105 of 3141"
"Humphreys County",47085,50.9,9296,"2109 of 3141"
"Fayette County",47047,50.9,20007,"2118 of 3141"
"Lewis County",47101,50.9,6080,"2160 of 3141"
"Carter County",47019,50.9,28764,"2165 of 3141"
"Hardin County",47071,50.9,13144,"2172 of 3141"
"Roane County",47145,50.9,26956,"2185 of 3141"
"Sevier County",47155,50.9,48667,"2204 of 3141"
"Hamblen County",47063,51.0,32356,"2232 of 3141"
"Cumberland County",47035,51.0,29663,"2237 of 3141"
"White County",47185,51.0,13465,"2258 of 3141"
"Macon County",47111,51.0,11858,"2268 of 3141"
"Jefferson County",47089,51.1,27001,"2296 of 3141"
"Williamson County",47187,51.1,108349,"2324 of 3141"
"Sumner County",47165,51.1,89762,"2332 of 3141"
"Carroll County",47017,51.1,14379,"2353 of 3141"
"Wilson County",47189,51.1,65865,"2358 of 3141"
"Dickson County",47043,51.1,26241,"2360 of 3141"
"Loudon County",47105,51.1,26090,"2384 of 3141"
"Greene County",47059,51.1,35038,"2386 of 3141"
"Franklin County",47051,51.1,21173,"2399 of 3141"
"McNairy County",47109,51.2,13273,"2407 of 3141"
"Cocke County",47029,51.2,18041,"2413 of 3141"
"Coffee County",47031,51.2,27677,"2435 of 3141"
"Hawkins County",47073,51.2,28877,"2446 of 3141"
"Marion County",47115,51.2,14525,"2470 of 3141"
"McMinn County",47107,51.2,26939,"2483 of 3141"
"Weakley County",47183,51.2,17310,"2487 of 3141"
"Meigs County",47121,51.3,6063,"2489 of 3141"
"Campbell County",47013,51.3,20413,"2492 of 3141"
"Anderson County",47001,51.3,38735,"2510 of 3141"
"Cannon County",47015,51.3,7101,"2526 of 3141"
"Bradley County",47011,51.3,53198,"2530 of 3141"
"Giles County",47055,51.4,14905,"2563 of 3141"
"Knox County",47093,51.4,232447,"2588 of 3141"
"Washington County",47179,51.4,65010,"2603 of 3141"
"Sullivan County",47163,51.5,80611,"2651 of 3141"
"Blount County",47009,51.5,65495,"2663 of 3141"
"Henry County",47079,51.6,16636,"2694 of 3141"
"Claiborne County",47025,51.6,16282,"2706 of 3141"
"Benton County",47005,51.8,8360,"2798 of 3141"
"Hamilton County",47065,51.8,183596,"2807 of 3141"
"Davidson County",47037,51.8,351242,"2811 of 3141"
"Dyer County",47045,51.8,19550,"2815 of 3141"
"Henderson County",47077,51.8,14443,"2816 of 3141"
"Maury County",47119,51.8,45405,"2833 of 3141"
"Chester County",47023,52.0,8898,"2904 of 3141"
"Obion County",47131,52.1,15980,"2926 of 3141"
"Shelby County",47157,52.4,491001,"2978 of 3141"
"Gibson County",47053,52.4,25775,"2980 of 3141"
"Crockett County",47033,52.5,7639,"3001 of 3141"
"Madison County",47113,52.5,51438,"3011 of 3141"
"Haywood County",47075,53.2,9540,"3080 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
