------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Unicoi County",47171,7.8,1023,"2619 of 3141"
"Crockett County",47033,7.9,776,"2631 of 3141"
"McNairy County",47109,8.0,1445,"2643 of 3141"
"White County",47185,8.0,1494,"2650 of 3141"
"Marion County",47115,8.1,1630,"2655 of 3141"
"Obion County",47131,8.1,1743,"2665 of 3141"
"Warren County",47177,8.2,2240,"2672 of 3141"
"Hardin County",47071,8.2,1538,"2677 of 3141"
"Cocke County",47029,8.3,2096,"2680 of 3141"
"Hamblen County",47063,8.3,3601,"2681 of 3141"
"Scott County",47151,8.3,1237,"2687 of 3141"
"Trousdale County",47169,8.4,504,"2696 of 3141"
"Polk County",47139,8.5,1031,"2714 of 3141"
"Wayne County",47181,8.5,1048,"2720 of 3141"
"Lauderdale County",47097,8.7,1555,"2740 of 3141"
"Perry County",47135,8.7,488,"2750 of 3141"
"Johnson County",47091,8.8,1191,"2759 of 3141"
"Lawrence County",47099,8.9,2548,"2768 of 3141"
"Rhea County",47143,9.1,2004,"2780 of 3141"
"Grainger County",47057,9.5,1562,"2830 of 3141"
"Monroe County",47123,9.6,3065,"2836 of 3141"
"Fentress County",47049,9.8,1248,"2855 of 3141"
"Van Buren County",47175,9.9,411,"2861 of 3141"
"Macon County",47111,9.9,1547,"2862 of 3141"
"Campbell County",47013,10.0,2863,"2870 of 3141"
"Lake County",47095,10.1,572,"2876 of 3141"
"Hancock County",47067,10.2,489,"2891 of 3141"
"Jackson County",47087,10.6,909,"2913 of 3141"
"Union County",47173,10.8,1454,"2924 of 3141"
"Claiborne County",47025,11.0,2462,"2933 of 3141"
"Overton County",47133,11.5,1768,"2960 of 3141"
"Clay County",47027,12.3,686,"2986 of 3141"
"Pickett County",47137,13.2,520,"3025 of 3141"
"Grundy County",47061,14.8,1382,"3056 of 3141"
"Bledsoe County",47007,15.5,1706,"3066 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
