------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Fayette County",17051,0.5,106,"1924 of 3141"
"Jersey County",17083,0.5,110,"1895 of 3141"
"Cumberland County",17035,0.5,54,"1893 of 3141"
"Ogle County",17141,0.5,259,"1873 of 3141"
"Ford County",17053,0.5,68,"1866 of 3141"
"Washington County",17189,0.5,72,"1863 of 3141"
"Clark County",17023,0.5,83,"1830 of 3141"
"Jo Daviess County",17085,0.5,121,"1758 of 3141"
"Perry County",17145,0.6,122,"1728 of 3141"
"Henry County",17073,0.6,283,"1724 of 3141"
"Brown County",17009,0.6,41,"1659 of 3141"
"Clinton County",17027,0.6,230,"1645 of 3141"
"Franklin County",17055,0.6,251,"1578 of 3141"
"Cass County",17017,0.7,84,"1557 of 3141"
"Livingston County",17105,0.7,246,"1526 of 3141"
"Whiteside County",17195,0.7,380,"1525 of 3141"
"Monroe County",17133,0.7,231,"1501 of 3141"
"Carroll County",17015,0.7,102,"1480 of 3141"
"Marion County",17121,0.7,270,"1455 of 3141"
"Henderson County",17071,0.7,49,"1450 of 3141"
"Morgan County",17137,0.7,244,"1445 of 3141"
"Christian County",17021,0.7,242,"1426 of 3141"
"Saline County",17165,0.7,177,"1420 of 3141"
"Menard County",17129,0.7,90,"1418 of 3141"
"Richland County",17159,0.7,117,"1393 of 3141"
"Clay County",17025,0.7,99,"1379 of 3141"
"Bureau County",17011,0.8,259,"1339 of 3141"
"Stephenson County",17177,0.8,354,"1337 of 3141"
"White County",17193,0.8,111,"1321 of 3141"
"Woodford County",17203,0.8,305,"1319 of 3141"
"Grundy County",17063,0.8,401,"1301 of 3141"
"La Salle County",17099,0.8,895,"1289 of 3141"
"Douglas County",17041,0.8,161,"1282 of 3141"
"Logan County",17107,0.8,241,"1274 of 3141"
"Adams County",17001,0.8,549,"1267 of 3141"
"Lee County",17103,0.8,287,"1263 of 3141"
"Stark County",17175,0.8,47,"1245 of 3141"
"Edwards County",17047,0.9,56,"1236 of 3141"
"Vermilion County",17183,0.9,713,"1177 of 3141"
"Calhoun County",17013,0.9,45,"1158 of 3141"
"Madison County",17119,1.0,2539,"1123 of 3141"
"Tazewell County",17179,1.0,1325,"1095 of 3141"
"Kankakee County",17091,1.0,1123,"1062 of 3141"
"Williamson County",17199,1.0,691,"1049 of 3141"
"Pope County",17151,1.0,45,"1040 of 3141"
"Knox County",17095,1.0,538,"1024 of 3141"
"Macon County",17115,1.1,1228,"946 of 3141"
"Jefferson County",17081,1.1,439,"944 of 3141"
"Bond County",17005,1.2,196,"937 of 3141"
"Wabash County",17185,1.2,134,"929 of 3141"
"Boone County",17007,1.2,638,"904 of 3141"
"St. Clair County",17163,1.4,3762,"757 of 3141"
"Coles County",17029,1.5,782,"720 of 3141"
"Sangamon County",17167,2.0,3902,"546 of 3141"
"McDonough County",17109,2.3,720,"469 of 3141"
"Warren County",17187,2.3,404,"458 of 3141"
"DeKalb County",17037,2.4,2523,"444 of 3141"
"Rock Island County",17161,2.4,3570,"439 of 3141"
"Winnebago County",17201,2.6,7387,"407 of 3141"
"McHenry County",17111,2.7,8390,"375 of 3141"
"Kendall County",17093,3.2,3981,"297 of 3141"
"Jackson County",17077,3.4,1992,"284 of 3141"
"Peoria County",17143,3.9,7205,"238 of 3141"
"Kane County",17089,4.0,20973,"229 of 3141"
"McLean County",17113,5.1,8809,"162 of 3141"
"Will County",17197,5.3,36190,"151 of 3141"
"Cook County",17031,7.0,367884,"87 of 3141"
"Lake County",17097,7.2,50861,"83 of 3141"
"Champaign County",17019,10.4,21609,"46 of 3141"
"DuPage County",17043,11.4,106051,"39 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
