------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"McLean County",17113,51.3,88904,"2536 of 3141"
"Cook County",17031,51.5,2697837,"2647 of 3141"
"Pulaski County",17153,51.5,2931,"2651 of 3141"
"Peoria County",17143,51.5,95934,"2680 of 3141"
"Warren County",17187,51.6,8990,"2705 of 3141"
"Stephenson County",17177,51.6,23656,"2716 of 3141"
"Coles County",17029,51.7,27145,"2752 of 3141"
"St. Clair County",17163,51.7,136784,"2784 of 3141"
"Alexander County",17003,51.9,3518,"2866 of 3141"
"Massac County",17127,51.9,7577,"2867 of 3141"
"Sangamon County",17167,52.0,103031,"2894 of 3141"
"Macon County",17115,52.2,56148,"2950 of 3141"
"Gallatin County",17059,52.6,2751,"3022 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
