------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Lee County",17103,20.0,6939,"2486 of 3141"
"Fulton County",17057,20.0,7153,"2485 of 3141"
"Putnam County",17155,20.1,1158,"2471 of 3141"
"Montgomery County",17135,20.1,5857,"2466 of 3141"
"Marshall County",17123,20.3,2416,"2407 of 3141"
"Fayette County",17051,20.7,4555,"2265 of 3141"
"Christian County",17021,20.8,6966,"2252 of 3141"
"Mason County",17125,20.9,2900,"2217 of 3141"
"Calhoun County",17013,21.0,1026,"2182 of 3141"
"Edgar County",17045,21.0,3704,"2140 of 3141"
"Hancock County",17067,21.1,3855,"2119 of 3141"
"Jersey County",17083,21.3,4723,"2065 of 3141"
"Union County",17181,21.3,3685,"2030 of 3141"
"Clinton County",17027,21.4,8039,"2021 of 3141"
"Macoupin County",17117,21.5,9901,"1963 of 3141"
"Gallatin County",17059,21.5,1126,"1962 of 3141"
"Shelby County",17173,21.6,4722,"1959 of 3141"
"Greene County",17061,21.6,2880,"1937 of 3141"
"Pulaski County",17153,21.7,1234,"1916 of 3141"
"Washington County",17189,21.7,3096,"1907 of 3141"
"Mercer County",17131,21.7,3434,"1894 of 3141"
"Stephenson County",17177,21.8,9973,"1882 of 3141"
"DeKalb County",17037,21.8,22747,"1874 of 3141"
"Clay County",17025,21.8,2919,"1863 of 3141"
"Livingston County",17105,21.9,8045,"1842 of 3141"
"La Salle County",17099,21.9,24298,"1840 of 3141"
"Saline County",17165,21.9,5342,"1838 of 3141"
"Bureau County",17011,21.9,7353,"1837 of 3141"
"De Witt County",17039,21.9,3546,"1809 of 3141"
"Williamson County",17199,21.9,14803,"1801 of 3141"
"White County",17193,21.9,3113,"1794 of 3141"
"McLean County",17113,22.0,38031,"1790 of 3141"
"Stark County",17175,22.0,1221,"1775 of 3141"
"Wabash County",17185,22.0,2549,"1755 of 3141"
"Iroquois County",17075,22.1,6280,"1743 of 3141"
"Jefferson County",17081,22.1,8465,"1743 of 3141"
"Richland County",17159,22.1,3525,"1730 of 3141"
"Madison County",17119,22.1,58884,"1717 of 3141"
"Massac County",17127,22.2,3236,"1692 of 3141"
"Franklin County",17055,22.2,8715,"1691 of 3141"
"Warren County",17187,22.2,3871,"1674 of 3141"
"Hamilton County",17065,22.3,1840,"1633 of 3141"
"Macon County",17115,22.3,24015,"1614 of 3141"
"Pike County",17149,22.3,3556,"1612 of 3141"
"Scott County",17171,22.4,1143,"1591 of 3141"
"Menard County",17129,22.4,2779,"1585 of 3141"
"Cook County",17031,22.4,1173775,"1572 of 3141"
"Rock Island County",17161,22.4,32813,"1562 of 3141"
"Whiteside County",17195,22.6,12833,"1511 of 3141"
"Adams County",17001,22.6,15099,"1503 of 3141"
"Henry County",17073,22.6,11232,"1496 of 3141"
"Wayne County",17191,22.7,3753,"1477 of 3141"
"Piatt County",17147,22.7,3724,"1470 of 3141"
"Cumberland County",17035,22.8,2480,"1434 of 3141"
"Sangamon County",17167,22.8,45112,"1430 of 3141"
"Marion County",17121,22.8,8729,"1419 of 3141"
"Monroe County",17133,22.9,7726,"1366 of 3141"
"Clark County",17023,22.9,3654,"1344 of 3141"
"Ogle County",17141,23.0,11854,"1332 of 3141"
"Ford County",17053,23.0,3097,"1322 of 3141"
"Tazewell County",17179,23.0,31024,"1298 of 3141"
"DuPage County",17043,23.3,216674,"1211 of 3141"
"Edwards County",17047,23.3,1528,"1207 of 3141"
"Jasper County",17079,23.4,2250,"1139 of 3141"
"Winnebago County",17201,23.8,68291,"993 of 3141"
"Peoria County",17143,23.9,44405,"944 of 3141"
"Kankakee County",17091,23.9,26446,"935 of 3141"
"St. Clair County",17163,23.9,63186,"928 of 3141"
"Vermilion County",17183,23.9,18936,"923 of 3141"
"Effingham County",17049,24.0,8195,"884 of 3141"
"Alexander County",17003,24.3,1646,"752 of 3141"
"Cass County",17017,24.4,3139,"731 of 3141"
"McHenry County",17111,24.6,75721,"666 of 3141"
"Woodford County",17203,24.9,9710,"561 of 3141"
"Lake County",17097,25.1,176654,"525 of 3141"
"Moultrie County",17139,25.1,3691,"522 of 3141"
"Douglas County",17041,25.3,5011,"482 of 3141"
"Grundy County",17063,25.8,12981,"392 of 3141"
"Boone County",17007,26.0,13949,"363 of 3141"
"Will County",17197,26.1,179789,"343 of 3141"
"Kane County",17089,26.7,141456,"289 of 3141"
"Kendall County",17093,29.5,36213,"102 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
