------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Wilkes County",37193,2.0,562,"1473 of 3141"
"Gates County",37073,2.1,91,"1453 of 3141"
"Dare County",37055,2.1,313,"1452 of 3141"
"Lincoln County",37109,2.1,641,"1451 of 3141"
"Pender County",37141,2.1,433,"1444 of 3141"
"Orange County",37135,2.1,1074,"1441 of 3141"
"Jackson County",37099,2.1,334,"1440 of 3141"
"Pasquotank County",37139,2.1,303,"1431 of 3141"
"Pitt County",37147,2.1,1433,"1418 of 3141"
"Washington County",37187,2.1,109,"1417 of 3141"
"Craven County",37049,2.1,850,"1408 of 3141"
"Macon County",37113,2.1,327,"1389 of 3141"
"Cherokee County",37039,2.1,237,"1383 of 3141"
"Franklin County",37069,2.1,515,"1376 of 3141"
"Jones County",37103,2.1,89,"1353 of 3141"
"Caldwell County",37027,2.2,693,"1342 of 3141"
"Bladen County",37017,2.2,312,"1330 of 3141"
"Rockingham County",37157,2.2,807,"1324 of 3141"
"Cleveland County",37045,2.2,825,"1315 of 3141"
"Tyrrell County",37177,2.2,34,"1291 of 3141"
"Perquimans County",37143,2.2,130,"1289 of 3141"
"Forsyth County",37067,2.2,3222,"1279 of 3141"
"Currituck County",37053,2.2,217,"1277 of 3141"
"Guilford County",37081,2.2,4504,"1255 of 3141"
"Bertie County",37015,2.3,183,"1209 of 3141"
"Union County",37179,2.3,1694,"1203 of 3141"
"Henderson County",37089,2.3,1116,"1168 of 3141"
"Mecklenburg County",37119,2.3,9251,"1163 of 3141"
"Randolph County",37151,2.4,1335,"1108 of 3141"
"Avery County",37011,2.4,162,"1101 of 3141"
"Hertford County",37091,2.4,214,"1100 of 3141"
"Wayne County",37191,2.4,1152,"1093 of 3141"
"Alamance County",37001,2.4,1541,"1071 of 3141"
"Pamlico County",37137,2.5,133,"1053 of 3141"
"Lenoir County",37107,2.5,576,"1044 of 3141"
"Harnett County",37085,2.5,1107,"1039 of 3141"
"Surry County",37171,2.5,727,"1033 of 3141"
"Rowan County",37159,2.5,1290,"1029 of 3141"
"Iredell County",37097,2.5,1582,"1022 of 3141"
"Wake County",37183,2.5,9558,"1014 of 3141"
"Hoke County",37093,2.5,436,"1011 of 3141"
"Rutherford County",37161,2.5,671,"999 of 3141"
"Chowan County",37041,2.6,152,"964 of 3141"
"Durham County",37063,2.6,3130,"958 of 3141"
"Nash County",37127,2.7,989,"895 of 3141"
"Davidson County",37057,2.7,1756,"873 of 3141"
"Gaston County",37071,2.7,2198,"863 of 3141"
"Swain County",37173,2.8,151,"843 of 3141"
"Columbus County",37047,2.8,625,"832 of 3141"
"Wilson County",37195,2.8,897,"828 of 3141"
"Lee County",37105,2.8,611,"819 of 3141"
"Catawba County",37035,2.9,1770,"771 of 3141"
"McDowell County",37111,2.9,530,"765 of 3141"
"Alexander County",37003,3.1,420,"710 of 3141"
"Greene County",37079,3.1,226,"701 of 3141"
"Vance County",37181,3.1,526,"691 of 3141"
"Yadkin County",37197,3.1,481,"683 of 3141"
"Burke County",37023,3.1,1079,"674 of 3141"
"Edgecombe County",37065,3.2,677,"652 of 3141"
"Stanly County",37167,3.2,774,"619 of 3141"
"Sampson County",37163,3.3,764,"612 of 3141"
"Person County",37145,3.3,521,"593 of 3141"
"Montgomery County",37123,3.3,362,"581 of 3141"
"Buncombe County",37021,3.4,3535,"570 of 3141"
"Scotland County",37165,3.6,481,"484 of 3141"
"Robeson County",37155,3.6,1673,"483 of 3141"
"Cabarrus County",37025,3.9,2763,"401 of 3141"
"Anson County",37007,3.9,379,"397 of 3141"
"Hyde County",37095,4.3,79,"318 of 3141"
"Duplin County",37061,5.1,1098,"213 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
