------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Caswell County",37033,62.7,14311,"2759 of 3141"
"Richmond County",37153,62.8,28524,"2757 of 3141"
"Gates County",37073,63.0,7311,"2752 of 3141"
"Sampson County",37163,63.6,40472,"2738 of 3141"
"Swain County",37173,63.9,9081,"2725 of 3141"
"Jones County",37103,66.0,6456,"2679 of 3141"
"Forsyth County",37067,66.4,244659,"2670 of 3141"
"Wake County",37183,66.5,680511,"2667 of 3141"
"Duplin County",37061,67.1,39834,"2655 of 3141"
"Harnett County",37085,67.5,86860,"2645 of 3141"
"Franklin County",37069,67.7,43224,"2639 of 3141"
"Person County",37145,68.1,26718,"2622 of 3141"
"Hyde County",37095,68.2,3755,"2618 of 3141"
"Craven County",37049,70.2,72549,"2546 of 3141"
"Alamance County",37001,70.5,111229,"2542 of 3141"
"Beaufort County",37013,71.2,33684,"2529 of 3141"
"Lee County",37105,72.2,43207,"2500 of 3141"
"Cabarrus County",37025,72.6,142905,"2492 of 3141"
"Perquimans County",37143,73.4,9914,"2469 of 3141"
"Onslow County",37133,74.7,143853,"2430 of 3141"
"Orange County",37135,74.7,105901,"2428 of 3141"
"Cleveland County",37045,75.2,72981,"2404 of 3141"
"Pamlico County",37137,75.6,9676,"2397 of 3141"
"Rockingham County",37157,75.9,69500,"2388 of 3141"
"Pender County",37141,76.8,44278,"2357 of 3141"
"Gaston County",37071,76.9,164616,"2351 of 3141"
"Montgomery County",37123,77.1,21158,"2343 of 3141"
"Rowan County",37159,77.7,107976,"2326 of 3141"
"Johnston County",37101,77.8,144874,"2323 of 3141"
"Catawba County",37035,78.8,123046,"2269 of 3141"
"Chatham County",37037,80.2,54800,"2213 of 3141"
"New Hanover County",37129,80.9,177774,"2176 of 3141"
"Iredell County",37097,81.5,138309,"2147 of 3141"
"Union County",37179,81.5,180951,"2146 of 3141"
"Camden County",37029,82.3,8504,"2111 of 3141"
"Moore County",37125,82.7,77904,"2093 of 3141"
"Brunswick County",37019,83.5,102379,"2040 of 3141"
"Jackson County",37099,83.6,34877,"2037 of 3141"
"Stanly County",37167,84.1,51213,"2017 of 3141"
"Burke County",37023,84.7,75261,"1988 of 3141"
"Randolph County",37151,84.9,121255,"1976 of 3141"
"Davidson County",37057,86.0,141165,"1916 of 3141"
"Rutherford County",37161,86.1,57266,"1909 of 3141"
"Alexander County",37003,88.0,32705,"1756 of 3141"
"Graham County",37075,88.1,7585,"1745 of 3141"
"Lincoln County",37109,88.6,71325,"1680 of 3141"
"Buncombe County",37021,88.8,224099,"1662 of 3141"
"Davie County",37059,89.0,37189,"1644 of 3141"
"Caldwell County",37027,89.2,72949,"1631 of 3141"
"Carteret County",37031,89.3,61382,"1615 of 3141"
"Currituck County",37053,90.2,22780,"1540 of 3141"
"Transylvania County",37175,90.5,30144,"1507 of 3141"
"Henderson County",37089,90.8,101792,"1487 of 3141"
"Yadkin County",37197,90.8,34352,"1480 of 3141"
"Wilkes County",37193,91.1,62439,"1436 of 3141"
"McDowell County",37111,91.3,41132,"1422 of 3141"
"Surry County",37171,91.5,66168,"1393 of 3141"
"Dare County",37055,91.5,32418,"1388 of 3141"
"Polk County",37149,91.7,18745,"1361 of 3141"
"Alleghany County",37005,91.8,10042,"1344 of 3141"
"Avery County",37011,93.1,16321,"1178 of 3141"
"Macon County",37113,93.1,31810,"1167 of 3141"
"Stokes County",37169,93.2,42967,"1160 of 3141"
"Cherokee County",37039,93.7,25729,"1062 of 3141"
"Watauga County",37189,93.9,50149,"1038 of 3141"
"Ashe County",37009,94.9,25460,"850 of 3141"
"Haywood County",37087,95.7,57287,"681 of 3141"
"Madison County",37115,96.0,20483,"614 of 3141"
"Yancey County",37199,96.0,16906,"598 of 3141"
"Mitchell County",37121,96.5,14627,"477 of 3141"
"Clay County",37043,98.1,10552,"73 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
