------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Buncombe County",37021,93.6,236014,"1064 of 3141"
"Moore County",37125,93.6,88151,"1072 of 3141"
"Richmond County",37153,93.8,42609,"1090 of 3141"
"Wilkes County",37193,93.9,64330,"1105 of 3141"
"Pitt County",37147,94.0,165813,"1118 of 3141"
"McDowell County",37111,94.0,42353,"1122 of 3141"
"Rockingham County",37157,94.0,86111,"1137 of 3141"
"Burke County",37023,94.1,83675,"1144 of 3141"
"Polk County",37149,94.2,19252,"1164 of 3141"
"Jackson County",37099,94.5,39434,"1222 of 3141"
"New Hanover County",37129,94.6,207987,"1239 of 3141"
"Ashe County",37009,94.8,25446,"1280 of 3141"
"Columbus County",37047,94.9,53699,"1294 of 3141"
"Avery County",37011,94.9,16640,"1295 of 3141"
"Caldwell County",37027,94.9,77643,"1299 of 3141"
"Mitchell County",37121,95.0,14398,"1317 of 3141"
"Washington County",37187,95.0,11717,"1324 of 3141"
"Yancey County",37199,95.1,16734,"1331 of 3141"
"Swain County",37173,95.1,13507,"1333 of 3141"
"Pasquotank County",37139,95.1,37621,"1346 of 3141"
"Brunswick County",37019,95.3,116770,"1372 of 3141"
"Alexander County",37003,95.4,35447,"1401 of 3141"
"Jones County",37103,95.5,9337,"1429 of 3141"
"Edgecombe County",37065,95.7,51694,"1469 of 3141"
"Carteret County",37031,95.8,65803,"1498 of 3141"
"Person County",37145,95.9,37613,"1521 of 3141"
"Rutherford County",37161,95.9,63784,"1529 of 3141"
"Stanly County",37167,96.0,58435,"1561 of 3141"
"Warren County",37185,96.2,19425,"1619 of 3141"
"Anson County",37007,96.2,24569,"1623 of 3141"
"Caswell County",37033,96.2,21976,"1627 of 3141"
"Haywood County",37087,96.3,57616,"1630 of 3141"
"Martin County",37117,96.3,22362,"1632 of 3141"
"Hertford County",37091,96.3,23373,"1652 of 3141"
"Currituck County",37053,96.4,24328,"1663 of 3141"
"Chowan County",37041,96.4,13849,"1666 of 3141"
"Pamlico County",37137,96.4,12341,"1669 of 3141"
"Watauga County",37189,96.6,51592,"1723 of 3141"
"Cleveland County",37045,96.7,93822,"1751 of 3141"
"Clay County",37043,96.7,10402,"1772 of 3141"
"Transylvania County",37175,96.8,32231,"1808 of 3141"
"Cherokee County",37039,97.0,26650,"1895 of 3141"
"Scotland County",37165,97.2,34441,"1950 of 3141"
"Stokes County",37169,97.2,44828,"1961 of 3141"
"Halifax County",37083,97.3,50865,"1996 of 3141"
"Camden County",37029,97.3,10058,"2034 of 3141"
"Perquimans County",37143,97.5,13166,"2112 of 3141"
"Madison County",37115,97.5,20815,"2123 of 3141"
"Northampton County",37131,97.9,19993,"2315 of 3141"
"Bertie County",37015,97.9,19498,"2339 of 3141"
"Graham County",37075,98.9,8509,"2885 of 3141"
"Gates County",37073,99.3,11519,"3021 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
